date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-08-03,FEIRA DE SANTANA,6892,3,1378,8273,42,4.86,614872.0,1345.48,0.0,497.0,96.0,93.0
2020-08-03,CONCEICAO DO COITE,579,1,460,1040,0,0.61,66612.0,1561.28,0.0,106.0,5.0,3.0
2020-08-03,ITABERABA,262,27,641,930,1,0.55,64489.0,1442.11,0.0,122.0,19.0,13.0
2020-08-03,ARACI,296,0,388,684,4,0.4,54379.0,1257.84,0.0,50.0,5.0,1.0
2020-08-03,SERRINHA,285,0,368,653,0,0.38,80861.0,807.56,0.0,24.0,7.0,2.0
2020-08-03,SAO GONCALO DOS CAMPOS,102,0,278,380,0,0.22,37550.0,1011.98,0.0,28.0,4.0,3.0
2020-08-03,CONCEICAO DO JACUIPE,284,0,48,332,0,0.2,33153.0,1001.42,0.0,32.0,1.0,1.0
2020-08-03,QUEIMADAS,78,0,212,290,0,0.17,25439.0,1139.98,1.0,12.0,2.0,0.0
2020-08-03,RIACHAO DO JACUIPE,88,0,181,269,1,0.16,33436.0,804.52,0.0,13.0,3.0,1.0
2020-08-03,SANTO ESTEVAO,198,0,60,258,1,0.15,52850.0,488.17,0.0,38.0,3.0,0.0
2020-08-03,VALENTE,65,0,185,250,0,0.15,28473.0,878.02,0.0,10.0,4.0,0.0
2020-08-03,SANTA BARBARA,198,0,38,236,1,0.14,20791.0,1135.11,1.0,4.0,2.0,0.0
2020-08-03,TANQUINHO,20,1,210,231,0,0.14,7918.0,2917.4,0.0,43.0,2.0,1.0
2020-08-03,AMELIA RODRIGUES,168,0,52,220,0,0.13,25102.0,876.42,0.0,22.0,2.0,2.0
2020-08-03,SANTALUZ,54,0,162,216,2,0.13,37348.0,578.34,0.0,19.0,4.0,3.0
2020-08-03,IPIRA,181,0,25,206,4,0.12,59595.0,345.67,0.0,15.0,3.0,1.0
2020-08-03,TEOFILANDIA,56,0,139,195,0,0.11,22518.0,865.97,0.0,4.0,1.0,0.0
2020-08-03,RUY BARBOSA,26,0,158,184,0,0.11,30814.0,597.13,1.0,16.0,2.0,1.0
2020-08-03,IRAQUARA,15,0,167,182,0,0.11,25216.0,721.76,1.0,9.0,0.0,0.0
2020-08-03,RETIROLANDIA,108,0,67,175,0,0.1,14396.0,1215.62,0.0,28.0,0.0,0.0
2020-08-03,TUCANO,68,2,104,174,1,0.1,50687.0,343.28,0.0,36.0,1.0,0.0
2020-08-03,SERRA PRETA,67,0,97,164,0,0.1,14878.0,1102.3,0.0,11.0,5.0,3.0
2020-08-03,RAFAEL JAMBEIRO,112,1,45,158,0,0.09,22621.0,698.47,0.0,7.0,1.0,0.0
2020-08-03,CORACAO DE MARIA,67,2,87,156,0,0.09,22605.0,690.11,0.0,11.0,1.0,0.0
2020-08-03,MONTE SANTO,46,0,107,153,3,0.09,49418.0,309.6,0.0,13.0,5.0,1.0
2020-08-03,SOUTO SOARES,8,0,124,132,0,0.08,16979.0,777.43,1.0,11.0,1.0,0.0
2020-08-03,IACU,69,0,58,127,0,0.07,24305.0,522.53,0.0,23.0,6.0,6.0
2020-08-03,TERRA NOVA,77,1,45,123,0,0.07,13033.0,943.76,2.0,7.0,1.0,0.0
2020-08-03,PINTADAS,59,0,51,110,0,0.06,10437.0,1053.94,1.0,4.0,1.0,0.0
2020-08-03,CAPELA DO ALTO ALEGRE,76,1,28,105,0,0.06,11637.0,902.29,1.0,17.0,0.0,0.0
2020-08-03,CANSANCAO,30,0,74,104,0,0.06,34834.0,298.56,4.0,4.0,2.0,1.0
2020-08-03,LENCOIS,8,0,93,101,0,0.06,11409.0,885.27,9.0,9.0,0.0,0.0
2020-08-03,NORDESTINA,23,1,69,93,0,0.05,13130.0,708.3,1.0,18.0,0.0,0.0
2020-08-03,SEABRA,50,0,43,93,0,0.05,44091.0,210.93,1.0,18.0,3.0,6.0
2020-08-03,EUCLIDES DA CUNHA,37,0,53,90,0,0.05,60585.0,148.55,0.0,6.0,5.0,3.0
2020-08-03,IRARA,48,0,30,78,8,0.05,29034.0,268.65,0.0,8.0,2.0,0.0
2020-08-03,SANTANOPOLI S,63,0,7,70,0,0.04,8943.0,782.74,1.0,0.0,0.0,0.0
2020-08-03,BARROCAS,46,0,21,67,0,0.04,15978.0,419.33,0.0,3.0,0.0,0.0
2020-08-03,ITAETE,3,0,54,57,0,0.03,16056.0,355.01,10.0,0.0,1.0,1.0
2020-08-03,IPECAETA,49,0,7,56,0,0.03,14487.0,386.55,1.0,5.0,2.0,1.0
2020-08-03,AGUA FRIA,37,0,16,53,0,0.03,16970.0,312.32,2.0,1.0,1.0,0.0
2020-08-03,LAMARAO,33,0,19,52,0,0.03,8307.0,625.98,2.0,3.0,0.0,0.0
2020-08-03,PE DE SERRA,5,0,45,50,0,0.03,13578.0,368.24,1.0,1.0,0.0,0.0
2020-08-03,NOVA FATIMA,8,1,40,49,0,0.03,7812.0,627.24,2.0,1.0,1.0,0.0
2020-08-03,ANGUERA,43,0,2,45,1,0.03,11221.0,401.03,4.0,0.0,0.0,0.0
2020-08-03,UTINGA,10,0,32,42,0,0.02,19178.0,219.0,1.0,13.0,2.0,2.0
2020-08-03,CANDEAL,32,0,7,39,0,0.02,8258.0,472.27,0.0,4.0,0.0,0.0
2020-08-03,ANTONIO CARDOSO,28,0,10,38,0,0.02,11683.0,325.26,0.0,2.0,0.0,0.0
2020-08-03,TEODORO SAMPAIO,23,0,15,38,0,0.02,7425.0,511.78,1.0,3.0,1.0,0.0
2020-08-03,QUIJINGUE,12,0,22,34,0,0.02,27580.0,123.28,1.0,0.0,1.0,0.0
2020-08-03,MUCUGE,8,3,21,32,0,0.02,9062.0,353.12,0.0,13.0,1.0,0.0
2020-08-03,MUNDO NOVO,13,0,17,30,0,0.02,26776.0,112.04,0.0,6.0,0.0,1.0
2020-08-03,BIRITINGA,20,0,9,29,0,0.02,15979.0,181.49,2.0,2.0,0.0,0.0
2020-08-03,MARCIONILIO SOUZA,23,0,4,27,0,0.02,10406.0,259.47,7.0,1.0,1.0,0.0
2020-08-03,BONITO,14,0,10,24,0,0.01,16764.0,143.16,0.0,7.0,1.0,1.0
2020-08-03,BOA VISTA DO TUPIM,4,0,19,23,0,0.01,18576.0,123.82,4.0,4.0,0.0,0.0
2020-08-03,MACAJUBA,18,0,5,23,0,0.01,11348.0,202.68,2.0,1.0,0.0,0.0
2020-08-03,ANDARAI,7,1,13,21,0,0.01,13143.0,159.78,0.0,9.0,0.0,0.0
2020-08-03,PALMEIRAS,1,0,15,16,0,0.01,9019.0,177.4,8.0,0.0,0.0,0.0
2020-08-03,PIATA,4,0,10,14,0,0.01,17123.0,81.76,5.0,0.0,0.0,0.0
2020-08-03,SAO DOMINGOS,9,0,4,13,0,0.01,9058.0,143.52,48.0,2.0,0.0,0.0
2020-08-03,BAIXA GRANDE,8,0,4,12,0,0.01,20468.0,58.63,2.0,3.0,0.0,0.0
2020-08-03,IBITIARA,3,0,7,10,0,0.01,16339.0,61.2,6.0,0.0,1.0,0.0
2020-08-03,ABAIRA,3,2,4,9,0,0.01,8739.0,102.99,0.0,2.0,0.0,0.0
2020-08-03,NOVA REDENCAO,2,0,6,8,0,0.0,9118.0,87.74,2.0,3.0,0.0,0.0
2020-08-03,BONINAL,0,0,6,6,0,0.0,14368.0,41.76,37.0,1.0,0.0,0.0
2020-08-03,LAJEDINHO,0,0,5,5,0,0.0,3783.0,132.17,3.0,0.0,0.0,0.0
2020-08-03,ICHU,2,0,2,4,0,0.0,6206.0,64.45,22.0,0.0,1.0,0.0
2020-08-03,WAGNER,0,0,3,3,0,0.0,9345.0,32.1,4.0,0.0,1.0,0.0
2020-08-03,GAVIAO,0,0,1,1,0,0.0,4463.0,22.41,0.0,1.0,0.0,0.0
2020-08-03,IBIQUERA,1,0,0,1,0,0.0,4044.0,24.73,11.0,0.0,0.0,0.0
2020-08-03,TOTAL,11332,47,6787,18166,69,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,IRECE,238,1,307,546,0,0.32,72967.0,748.28,0.0,69.0,8.0,11.0
2020-08-03,CAPIM GROSSO,127,0,347,474,0,0.28,30662.0,1545.89,0.0,38.0,4.0,2.0
2020-08-03,JACOBINA,64,0,275,339,1,0.2,80518.0,421.02,1.0,47.0,4.0,2.0
2020-08-03,JOAO DOURADO,12,0,163,175,0,0.1,25188.0,694.78,1.0,26.0,6.0,1.0
2020-08-03,GENTIO DO OURO,5,0,161,166,0,0.1,11233.0,1477.79,4.0,0.0,0.0,0.0
2020-08-03,UMBURANAS,10,2,119,131,0,0.08,19222.0,681.51,0.0,24.0,1.0,1.0
2020-08-03,VARZEA DA ROCA,40,0,82,122,0,0.07,14104.0,865.0,0.0,42.0,1.0,1.0
2020-08-03,CAFARNAUM,2,0,116,118,0,0.07,18437.0,640.02,2.0,3.0,0.0,0.0
2020-08-03,MAIRI,49,0,62,111,0,0.07,18676.0,594.35,3.0,3.0,0.0,0.0
2020-08-03,OUROLANDIA,6,1,99,106,0,0.06,17451.0,607.42,0.0,34.0,0.0,0.0
2020-08-03,LAPAO,36,1,54,91,0,0.05,27223.0,334.28,0.0,12.0,1.0,0.0
2020-08-03,AMERICA DOURADA,6,0,84,90,0,0.05,16094.0,559.21,5.0,7.0,0.0,0.0
2020-08-03,CALDEIRAO GRANDE,5,0,80,85,0,0.05,13327.0,637.8,0.0,20.0,1.0,1.0
2020-08-03,PRESIDENTE DUTRA,15,0,62,77,0,0.05,15142.0,508.52,1.0,0.0,0.0,0.0
2020-08-03,CANARANA,20,0,47,67,0,0.04,26176.0,255.96,1.0,6.0,1.0,0.0
2020-08-03,XIQUE-XIQUE,19,0,44,63,0,0.04,46483.0,135.53,0.0,8.0,1.0,0.0
2020-08-03,VARZEA NOVA,14,0,46,60,0,0.04,12697.0,472.55,1.0,4.0,0.0,0.0
2020-08-03,MIGUEL CALMON,14,0,41,55,0,0.03,26023.0,211.35,1.0,10.0,3.0,0.0
2020-08-03,TAPIRAMUTA,22,1,31,54,0,0.03,17010.0,317.46,1.0,19.0,0.0,0.0
2020-08-03,SERROLANDIA,10,2,39,51,0,0.03,13397.0,380.68,1.0,16.0,0.0,0.0
2020-08-03,SAO GABRIEL,1,0,45,46,0,0.03,18793.0,244.77,2.0,3.0,0.0,0.0
2020-08-03,CAEM,7,0,38,45,0,0.03,9213.0,488.44,31.0,4.0,0.0,0.0
2020-08-03,QUIXABEIRA,25,0,17,42,0,0.02,8972.0,468.12,2.0,5.0,0.0,0.0
2020-08-03,MORRO DO CHAPEU,13,0,18,31,0,0.02,35413.0,87.54,0.0,9.0,0.0,0.0
2020-08-03,SAO JOSE DO JACUIPE,4,0,26,30,0,0.02,10462.0,286.75,0.0,8.0,1.0,0.0
2020-08-03,PIRITIBA,13,0,12,25,0,0.01,24755.0,100.99,2.0,4.0,1.0,1.0
2020-08-03,MIRANGABA,14,0,10,24,1,0.01,18338.0,130.88,1.0,6.0,1.0,0.0
2020-08-03,JUSSARA,3,0,19,22,0,0.01,15284.0,143.94,3.0,0.0,0.0,0.0
2020-08-03,IBITITA,15,0,3,18,0,0.01,17113.0,105.18,1.0,5.0,1.0,0.0
2020-08-03,CENTRAL,6,0,7,13,0,0.01,17266.0,75.29,1.0,1.0,0.0,0.0
2020-08-03,SAUDE,2,0,11,13,0,0.01,12913.0,100.67,2.0,1.0,0.0,0.0
2020-08-03,MULUNGU DO MORRO,3,0,9,12,0,0.01,10889.0,110.2,15.0,0.0,1.0,1.0
2020-08-03,ITAGUACU DA BAHIA,1,1,9,11,0,0.01,14429.0,76.24,1.0,0.0,0.0,0.0
2020-08-03,IBIPEBA,2,0,7,9,0,0.01,18211.0,49.42,1.0,0.0,0.0,0.0
2020-08-03,BARRO ALTO,5,0,4,9,0,0.01,14931.0,60.28,10.0,0.0,0.0,0.0
