date,id,municipio,total_obitos_munres
2020-07-21,2,ADUSTINA,1
2020-07-21,3,AGUA FRIA,1
2020-07-21,4,AIQUARA,2
2020-07-21,5,ALAGOINHAS,25
2020-07-21,6,ALCOBACA,2
2020-07-21,7,ALMADINA,1
2020-07-21,8,AMARGOSA,6
2020-07-21,9,AMELIA RODRIGUES,1
2020-07-21,10,ANAGE,1
2020-07-21,11,ANDORINHA,1
2020-07-21,12,ANTONIO GONCALVES,1
2020-07-21,13,APORA,2
2020-07-21,14,ARACI,4
2020-07-21,15,ARATUIPE,1
2020-07-21,16,AURELINO LEAL,2
2020-07-21,17,BARRA DO CHOCA,2
2020-07-21,18,BARREIRAS,11
2020-07-21,19,BARRO PRETO,3
2020-07-21,20,BELMONTE,1
2020-07-21,21,BRUMADO,3
2020-07-21,22,BUERAREMA,9
2020-07-21,23,CABACEIRAS DO PARAGUACU,1
2020-07-21,24,CACHOEIRA,5
2020-07-21,25,CACULE*,1
2020-07-21,26,CAETITE,1
2020-07-21,27,CAIRU,3
2020-07-21,28,CALDEIRAO GRANDE,1
2020-07-21,29,CAMACAN,14
2020-07-21,30,CAMACARI*,53
2020-07-21,31,CAMAMU*,7
2020-07-21,32,CAMPO ALEGRE DE LOURDES,2
2020-07-21,33,CAMPO FORMOSO,2
2020-07-21,34,CANAVIEIRAS,3
2020-07-21,35,CANDEIAS*,30
2020-07-21,36,CANDIDO SALES,4
2020-07-21,37,CANSANCAO,2
2020-07-21,38,CANUDOS,2
2020-07-21,39,CAPIM GROSSO,4
2020-07-21,40,CARDEAL DA SILVA,1
2020-07-21,41,CASA NOVA,5
2020-07-21,42,CASTRO ALVES,3
2020-07-21,43,CATU,5
2020-07-21,44,CICERO DANTAS,1
2020-07-21,45,COARACI,4
2020-07-21,46,CONCEICAO DA FEIRA,2
2020-07-21,47,CONCEICAO DO ALMEIDA,2
2020-07-21,48,CONCEICAO DO COITE,1
2020-07-21,49,CONCEICAO DO JACUIPE,1
2020-07-21,50,CONDE,4
2020-07-21,51,CONDEUBA,1
2020-07-21,52,CORACAO DE MARIA,1
2020-07-21,53,COTEGIPE,1
2020-07-21,54,CRISOPOLIS,1
2020-07-21,55,CRUZ DAS ALMAS,4
2020-07-21,56,CURACA,1
2020-07-21,57,DARIO MEIRA,2
2020-07-21,58,DIAS DAVILA,18
2020-07-21,59,ESPLANADA,1
2020-07-21,60,EUCLIDES DA CUNHA,1
2020-07-21,61,EUNAPOLIS,21
2020-07-21,62,FEIRA DE SANTANA,80
2020-07-21,63,FILADELFIA,2
2020-07-21,64,FLORESTA AZUL,2
2020-07-21,65,GANDU,15
2020-07-21,66,GLORIA,3
2020-07-21,67,GONGOGI,2
2020-07-21,68,GOVERNADOR MANGABEIRA,1
2020-07-21,69,GUARATINGA,2
2020-07-21,70,IACU,5
2020-07-21,71,IBICARAI,4
2020-07-21,72,IBIRAPITANGA,4
2020-07-21,73,IBIRAPUA,1
2020-07-21,74,IBIRATAIA,2
2020-07-21,75,IBITIARA,1
2020-07-21,76,IBITITA,1
2020-07-21,77,IBOTIRAMA,2
2020-07-21,78,ICHU,1
2020-07-21,79,IGAPORA,1
2020-07-21,80,IGRAPIUNA,2
2020-07-21,81,IGUAI,8
2020-07-21,82,ILHEUS,98
2020-07-21,83,INHAMBUPE,2
2020-07-21,84,IPECAETA,1
2020-07-21,85,IPIAU *,12
2020-07-21,86,IPIRA,3
2020-07-21,87,IRARA,1
2020-07-21,88,IRECE,2
2020-07-21,89,ITABELA,2
2020-07-21,90,ITABERABA,15
2020-07-21,91,ITABUNA,102
2020-07-21,92,ITACARE,5
2020-07-21,93,ITAGIBA,3
2020-07-21,94,ITAJUIPE,9
2020-07-21,95,ITAMARAJU,19
2020-07-21,96,ITANAGRA,2
2020-07-21,97,ITANHEM,3
2020-07-21,98,ITAPARICA,6
2020-07-21,99,ITAPE,2
2020-07-21,100,ITAPEBI,2
2020-07-21,101,ITAPETINGA,14
2020-07-21,102,ITAPICURU,1
2020-07-21,103,ITAPITANGA,1
2020-07-21,104,ITARANTIM,1
2020-07-21,105,ITATIM*,3
2020-07-21,106,ITIUBA*,1
2020-07-21,107,ITORORO,2
2020-07-21,108,ITUACU,1
2020-07-21,109,ITUBERA,7
2020-07-21,110,JACOBINA,4
2020-07-21,111,JAGUAQUARA,4
2020-07-21,112,JAGUARARI,2
2020-07-21,113,JAGUARIPE,2
2020-07-21,114,JANDAIRA,1
2020-07-21,115,JEQUIE,57
2020-07-21,116,JITAUNA,2
2020-07-21,117,JOAO DOURADO,3
2020-07-21,118,JUAZEIRO,45
2020-07-21,119,JUSSARI,1
2020-07-21,120,LAFAIETE COUTINHO,1
2020-07-21,121,LAJE,1
2020-07-21,122,LAPAO,1
2020-07-21,123,LAURO DE FREITAS,60
2020-07-21,124,LUIS EDUARDO MAGALHAES,4
2020-07-21,125,MACARANI,1
2020-07-21,126,MADRE DE DEUS,3
2020-07-21,127,MALHADA,1
2020-07-21,128,MANOEL VITORINO,4
2020-07-21,129,MANSIDAO,1
2020-07-21,130,MARACAS,3
2020-07-21,131,MARAGOGIPE,6
2020-07-21,132,MARAU,3
2020-07-21,133,MARCIONILIO SOUZA,1
2020-07-21,134,MASCOTE,1
2020-07-21,135,MATA DE SAO JOAO,2
2020-07-21,136,MEDEIROS NETO,2
2020-07-21,137,MIGUEL CALMON,1
2020-07-21,138,MILAGRES,1
2020-07-21,139,MIRANTE,1
2020-07-21,140,MONTE SANTO,5
2020-07-21,141,MORPARA,2
2020-07-21,142,MUCUGE,1
2020-07-21,143,MUCURI,6
2020-07-21,144,MULUNGU DO MORRO,1
2020-07-21,145,MUNDO NOVO*,2
2020-07-21,146,MUNIZ FERREIRA,2
2020-07-21,147,MURITIBA,1
2020-07-21,148,MUTUIPE,1
2020-07-21,149,NAZARE,4
2020-07-21,150,NILO PECANHA,1
2020-07-21,151,NOVA FATIMA,1
2020-07-21,152,NOVA IBIA,5
2020-07-21,153,NOVA VICOSA,5
2020-07-21,154,PARAMIRIM,1
2020-07-21,155,PARIPIRANGA,1
2020-07-21,156,PAU BRASIL,4
2020-07-21,157,PAULO AFONSO,10
2020-07-21,158,PINDOBACU,2
2020-07-21,159,PIRAI DO NORTE,1
2020-07-21,160,PLANALTO,1
2020-07-21,161,POCOES,2
2020-07-21,162,POJUCA,4
2020-07-21,163,PONTO NOVO,1
2020-07-21,164,PORTO SEGURO,9
2020-07-21,165,PRADO,3
2020-07-21,166,PRESIDENTE JANIO QUADROS,1
2020-07-21,167,PRESIDENTE TANCREDO NEVES,7
2020-07-21,168,QUEIMADAS,2
2020-07-21,169,QUIJINGUE,1
2020-07-21,170,REMANSO,1
2020-07-21,171,RIACHAO DO JACUIPE,3
2020-07-21,172,RIBEIRA DO POMBAL,2
2020-07-21,173,RIO DO PIRES,3
2020-07-21,174,RUY BARBOSA,2
2020-07-21,175,SALINAS DA MARGARIDA,1
2020-07-21,176,SALVADOR*,1559
2020-07-21,177,SANTA BARBARA,2
2020-07-21,178,SANTA CRUZ CABRALIA,2
2020-07-21,179,SANTA CRUZ DA VITORIA,1
2020-07-21,180,SANTA INES,1
2020-07-21,181,SANTA RITA DE CASSIA,1
2020-07-21,182,SANTA TERESINHA,1
2020-07-21,183,SANTALUZ,3
2020-07-21,184,SANTO AMARO,6
2020-07-21,185,SANTO ANTONIO DE JESUS,18
2020-07-21,186,SANTO ESTEVAO,2
2020-07-21,187,SAO DESIDERIO,1
2020-07-21,188,SAO FELIX,1
2020-07-21,189,SAO FELIX DO CORIBE,1
2020-07-21,190,SAO FRANCISCO DO CONDE,8
2020-07-21,191,SAO GONCALO DOS CAMPOS,3
2020-07-21,192,SAO JOSE DA VITORIA,1
2020-07-21,193,SAO JOSE DO JACUIPE,1
2020-07-21,194,SAO SEBASTIAO DO PASSE,7
2020-07-21,195,SAUBARA,3
2020-07-21,196,SEABRA,2
2020-07-21,197,SENHOR DO BONFIM,2
2020-07-21,198,SENTO SE,2
2020-07-21,199,SERRA PRETA,2
2020-07-21,200,SERRINHA,6
2020-07-21,201,SIMOES FILHO,42
2020-07-21,202,SOBRADINHO,11
2020-07-21,203,TANQUINHO,2
2020-07-21,204,TAPEROA,1
2020-07-21,205,TEIXEIRA DE FREITAS,41
2020-07-21,206,TEODORO SAMPAIO,1
2020-07-21,207,TERRA NOVA,1
2020-07-21,208,TUCANO,1
2020-07-21,209,UAUA,2
2020-07-21,210,UBAIRA,1
2020-07-21,211,UBAITABA,6
2020-07-21,212,UBATA,3
2020-07-21,213,UNA,2
2020-07-21,214,URANDI,2
2020-07-21,215,URUCUCA *,15
2020-07-21,216,UTINGA,2
2020-07-21,217,VALENCA,31
2020-07-21,218,VALENTE,3
2020-07-21,219,VARZEA DA ROCA,1
2020-07-21,220,VARZEDO,2
2020-07-21,221,VERA CRUZ,8
2020-07-21,222,VEREDA,2
2020-07-21,223,VITORIA DA CONQUISTA,27
2020-07-21,224,WENCESLAU GUIMARAES,3
2020-07-21,225,XIQUE-XIQUE,1
2020-07-21,226,CEARA/FORTALEZA,1
2020-07-21,227,MINAS GERAIS/DIVISA ALEGRE,1
2020-07-21,228,MINAS GERAIS/JORDANIA,1
2020-07-21,229,MINAS GERAIS/PEDRA AZUL,1
2020-07-21,230,MINAS GERAIS/SERRA DOS AIMORES,1
2020-07-21,231,PERNAMBUCO/AFRANIO,1
2020-07-21,232,PERNAMBUCO/CABO DE SANTO AGOSTINHO,1
2020-07-21,233,PERNAMBUCO/LAGOA GRANDE,1
2020-07-21,234,PERNAMBUCO/PETROLINA,2
2020-07-21,235,RIO DE JANEIRO/RIO DE JANEIRO,1
2020-07-21,236,RIO GRANDE DO SUL/CAXIAS DO SUL,1
2020-07-21,237,SAO PAULO/SAO PAULO,1
2020-07-21,238,TOCANTINS/NOVA ROSALANDIA*,1
2020-07-21,1,AIQUARA,1
