date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-08-09,FEIRA DE SANTANA,7605,3,1498,9106,41,4.76,614872.0,1480.96,0.0,373.0,137.0,134.0
2020-08-09,CONCEICAO DO COITE,688,1,539,1228,0,0.64,66612.0,1843.51,0.0,112.0,6.0,3.0
2020-08-09,ITABERABA,374,27,790,1191,0,0.62,64489.0,1846.83,0.0,102.0,23.0,17.0
2020-08-09,ARACI,345,0,402,747,0,0.39,54379.0,1373.69,0.0,50.0,5.0,1.0
2020-08-09,SERRINHA,317,0,392,709,0,0.37,80861.0,876.81,0.0,26.0,7.0,2.0
2020-08-09,SAO GONCALO DOS CAMPOS,120,0,280,400,0,0.21,37550.0,1065.25,0.0,20.0,4.0,3.0
2020-08-09,CONCEICAO DO JACUIPE,330,0,50,380,0,0.2,33153.0,1146.2,0.0,41.0,1.0,1.0
2020-08-09,SANTO ESTEVAO,287,0,71,358,0,0.19,52850.0,677.39,0.0,88.0,4.0,0.0
2020-08-09,QUEIMADAS,81,1,231,313,0,0.16,25439.0,1230.39,0.0,12.0,2.0,0.0
2020-08-09,RIACHAO DO JACUIPE,104,0,202,306,1,0.16,33436.0,915.18,0.0,6.0,3.0,1.0
2020-08-09,VALENTE,79,0,190,269,0,0.14,28473.0,944.75,0.0,13.0,4.0,0.0
2020-08-09,TANQUINHO,26,1,232,259,0,0.14,7918.0,3271.03,0.0,18.0,2.0,1.0
2020-08-09,SANTALUZ,60,0,188,248,3,0.13,37348.0,664.02,0.0,24.0,6.0,5.0
2020-08-09,SANTA BARBARA,203,0,40,243,0,0.13,20791.0,1168.77,0.0,5.0,2.0,0.0
2020-08-09,IPIRA,208,0,26,234,5,0.12,59595.0,392.65,0.0,17.0,3.0,1.0
2020-08-09,IRARA,69,0,163,232,1,0.12,29034.0,799.06,0.0,107.0,2.0,0.0
2020-08-09,TUCANO,98,2,131,231,2,0.12,50687.0,455.74,0.0,35.0,1.0,0.0
2020-08-09,AMELIA RODRIGUES,173,0,52,225,0,0.12,25102.0,896.34,0.0,8.0,2.0,2.0
2020-08-09,TEOFILANDIA,63,0,146,209,0,0.11,22518.0,928.15,1.0,12.0,1.0,0.0
2020-08-09,MACAJUBA,21,0,186,207,0,0.11,11348.0,1824.11,0.0,19.0,0.0,0.0
2020-08-09,RETIROLANDIA,129,0,74,203,0,0.11,14396.0,1410.11,0.0,37.0,0.0,0.0
2020-08-09,RUY BARBOSA,27,0,162,189,0,0.1,30814.0,613.36,1.0,10.0,2.0,1.0
2020-08-09,IRAQUARA,19,0,168,187,0,0.1,25216.0,741.59,1.0,3.0,0.0,0.0
2020-08-09,CORACAO DE MARIA,79,2,100,181,0,0.09,22605.0,800.71,1.0,15.0,1.0,0.0
2020-08-09,SERRA PRETA,79,0,100,179,0,0.09,14878.0,1203.12,0.0,8.0,6.0,3.0
2020-08-09,RAFAEL JAMBEIRO,121,1,49,171,0,0.09,22621.0,755.93,0.0,10.0,2.0,0.0
2020-08-09,MONTE SANTO,49,0,111,160,1,0.08,49418.0,323.77,3.0,10.0,5.0,1.0
2020-08-09,TERRA NOVA,84,1,58,143,3,0.07,13033.0,1097.21,0.0,15.0,2.0,1.0
2020-08-09,IACU,78,0,65,143,0,0.07,24305.0,588.36,1.0,17.0,7.0,6.0
2020-08-09,SOUTO SOARES,10,0,125,135,0,0.07,16979.0,795.1,2.0,3.0,1.0,0.0
2020-08-09,CAPELA DO ALTO ALEGRE,89,1,37,127,0,0.07,11637.0,1091.35,0.0,16.0,1.0,0.0
2020-08-09,PINTADAS,63,0,55,118,0,0.06,10437.0,1130.59,2.0,6.0,1.0,0.0
2020-08-09,CANSANCAO,30,0,84,114,0,0.06,34834.0,327.27,2.0,7.0,2.0,1.0
2020-08-09,NORDESTINA,33,1,77,111,0,0.06,13130.0,845.39,0.0,23.0,0.0,0.0
2020-08-09,EUCLIDES DA CUNHA,46,0,64,110,1,0.06,60585.0,181.56,0.0,9.0,6.0,3.0
