date,id,municipio,total_ativos
2020-07-20,1,SALVADOR,2702
2020-07-20,2,FEIRA DE SANTANA,570
2020-07-20,3,JEQUIE,447
2020-07-20,4,ITABUNA,399
2020-07-20,5,ILHEUS,354
2020-07-20,6,LAURO DE FREITAS,308
2020-07-20,7,CAMACARI,281
2020-07-20,8,VITORIA DA CONQUISTA,165
2020-07-20,9,ALAGOINHAS,155
2020-07-20,10,CANDEIAS,137
2020-07-20,11,JUAZEIRO,136
2020-07-20,12,BARREIRAS,121
2020-07-20,13,LUIS EDUARDO MAGALHAES,107
2020-07-20,14,SANTO AMARO,103
2020-07-20,15,PORTO SEGURO,98
2020-07-20,16,ARACI,98
2020-07-20,17,MADRE DE DEUS,92
2020-07-20,18,CATU,84
2020-07-20,19,SIMOES FILHO,83
2020-07-20,20,SANTO ANTONIO DE JESUS,77
2020-07-20,21,GENTIO DO OURO,77
2020-07-20,22,CONCEICAO DO COITE,77
2020-07-20,23,SAO SEBASTIAO DO PASSE,76
2020-07-20,24,CAMPO FORMOSO,68
2020-07-20,25,EUNAPOLIS,66
2020-07-20,26,SANTO ESTEVAO,62
2020-07-20,27,IRECE,62
2020-07-20,28,DIAS DAVILA,56
2020-07-20,29,CONCEICAO DA FEIRA,56
2020-07-20,30,ITABERABA,55
2020-07-20,31,GANDU,52
2020-07-20,32,JAGUAQUARA,51
2020-07-20,33,UBATA,50
2020-07-20,34,CRUZ DAS ALMAS,49
2020-07-20,35,CONCEICAO DO ALMEIDA,49
2020-07-20,36,SAO GONCALO DOS CAMPOS,48
2020-07-20,37,CAMACAN,48
2020-07-20,38,UNA,46
2020-07-20,39,TEIXEIRA DE FREITAS,45
2020-07-20,40,CACHOEIRA,45
2020-07-20,41,BUERAREMA,45
2020-07-20,42,MATA DE SAO JOAO,43
2020-07-20,43,CIPO,43
2020-07-20,44,CAMAMU,42
2020-07-20,45,RIBEIRA DO POMBAL,41
2020-07-20,46,IPIAU,40
2020-07-20,47,POJUCA,39
2020-07-20,48,PAULO AFONSO,39
2020-07-20,49,DARIO MEIRA,39
2020-07-20,50,SERRA PRETA,38
2020-07-20,51,MUCURI,38
2020-07-20,52,JACOBINA,38
2020-07-20,53,ITAPETINGA,37
2020-07-20,54,CASA NOVA,37
2020-07-20,55,VERA CRUZ,36
2020-07-20,56,SAO FRANCISCO DO CONDE,36
2020-07-20,57,SOBRADINHO,36
2020-07-20,58,CRISOPOLIS,36
2020-07-20,59,ARATACA,36
2020-07-20,60,VALENCA,35
2020-07-20,61,QUEIMADAS,34
2020-07-20,62,NOVA SOURE,34
2020-07-20,63,MEDEIROS NETO,33
2020-07-20,64,SANTALUZ,32
2020-07-20,65,LENCOIS,32
2020-07-20,66,IPIRA,32
2020-07-20,67,CAFARNAUM,32
2020-07-20,68,URUCUCA,31
2020-07-20,69,PLANALTO,31
2020-07-20,70,ITAMARAJU,31
2020-07-20,71,BRUMADO,31
2020-07-20,72,RIO REAL,29
2020-07-20,73,MARACAS,29
2020-07-20,74,PRESIDENTE TANCREDO NEVES,28
2020-07-20,75,ITAPARICA,28
2020-07-20,76,CONCEICAO DO JACUIPE,28
2020-07-20,77,CAPIM GROSSO,28
2020-07-20,78,SERRINHA,27
2020-07-20,79,BELMONTE,27
2020-07-20,80,AMELIA RODRIGUES,27
2020-07-20,81,PRESIDENTE JANIO QUADROS,26
2020-07-20,82,TAPEROA,25
2020-07-20,83,SENHOR DO BONFIM,25
2020-07-20,84,RUY BARBOSA,25
2020-07-20,85,RAFAEL JAMBEIRO,25
2020-07-20,86,CORONEL JOAO SA,25
2020-07-20,87,POCOES,24
2020-07-20,88,ITAJUIPE,24
2020-07-20,89,ITAPE,23
2020-07-20,90,IBIRATAIA,23
2020-07-20,91,AURELINO LEAL,23
2020-07-20,92,SANTA CRUZ CABRALIA,22
2020-07-20,93,PIRAI DO NORTE,22
2020-07-20,94,OUROLANDIA,22
2020-07-20,95,NAZARE,22
2020-07-20,96,MARAGOGIPE,22
2020-07-20,97,CAIRU,22
2020-07-20,98,ITACARE,21
2020-07-20,99,TUCANO,20
2020-07-20,100,TANQUINHO,20
2020-07-20,101,RETIROLANDIA,20
2020-07-20,102,JITAUNA,20
2020-07-20,103,TERRA NOVA,19
2020-07-20,104,SAO FELIPE,19
2020-07-20,105,ITABELA,19
2020-07-20,106,IGUAI,19
2020-07-20,107,IBICARAI,19
2020-07-20,108,BANZAE,19
2020-07-20,109,AMARGOSA,19
2020-07-20,110,NILO PECANHA,18
2020-07-20,111,IACU,18
2020-07-20,112,CORACAO DE MARIA,18
2020-07-20,113,ARAMARI,18
2020-07-20,114,ADUSTINA,18
2020-07-20,115,SAPEACU,17
2020-07-20,116,PINDOBACU,17
2020-07-20,117,ITUBERA,17
2020-07-20,118,FILADELFIA,17
2020-07-20,119,ENTRE RIOS,17
2020-07-20,120,BURITIRAMA,17
2020-07-20,121,UBAITABA,16
2020-07-20,122,SAO DESIDERIO,16
2020-07-20,123,INHAMBUPE,16
2020-07-20,124,IBIRAPITANGA,16
2020-07-20,125,CANAVIEIRAS,16
