date,id,municipio,total_obitos_munocor
2020-08-09,2,ALAGOINHAS,21
2020-08-09,3,ALCOBACA,2
2020-08-09,4,AMARGOSA,4
2020-08-09,5,AMELIA RODRIGUES,2
2020-08-09,6,ANAGE,1
2020-08-09,7,APORA,1
2020-08-09,8,APUAREMA,1
2020-08-09,9,ARACAJU,2
2020-08-09,10,ARACI,1
2020-08-09,11,ARARIPINA,3
2020-08-09,12,ARATACA,1
2020-08-09,13,ARATUIPE,1
2020-08-09,14,BARRA,1
2020-08-09,15,BARRA DO CHOCA,2
2020-08-09,16,BARREIRA,2
2020-08-09,17,BARREIRAS *,56
2020-08-09,18,BARRETOS,1
2020-08-09,19,BONITO,1
2020-08-09,20,BRUMADO,1
2020-08-09,21,CACHOEIRA,2
2020-08-09,22,CALDEIRAO GRANDE,1
2020-08-09,23,CAMACAN,16
2020-08-09,24,CAMACARI,49
2020-08-09,25,CAMPO FORMOSO,2
2020-08-09,26,CANAVIEIRAS,1
2020-08-09,27,CANDEIAS,15
2020-08-09,28,CANDIDO SALES,3
2020-08-09,29,CANSANCAO,1
2020-08-09,30,CANUDOS,1
2020-08-09,31,CAPIM GROSSO,2
2020-08-09,32,CARDEAL DA SILVA,1
2020-08-09,33,CASA NOVA,2
2020-08-09,34,CASTRO ALVES,2
2020-08-09,35,CATU,1
2020-08-09,36,CONCEICAO DA FEIRA,1
2020-08-09,37,CONCEICAO DO ALMEIDA,1
2020-08-09,38,CONCEICAO DO COITE,3
2020-08-09,39,CONCEICAO DO JACUIPE,1
2020-08-09,40,CONDE,1
2020-08-09,41,CONDEUBA,1
2020-08-09,42,CRUZ DAS ALMAS,1
2020-08-09,43,DARIO MEIRA,1
2020-08-09,44,DIAS DAVILA,3
2020-08-09,45,EUCLIDES DA CUNHA,3
2020-08-09,46,EUNAPOLIS,12
2020-08-09,47,FEIRA DA MATA,1
2020-08-09,48,FEIRA DE SANTANA,134
2020-08-09,49,FILADELFIA,1
2020-08-09,50,FLORIANO,1
2020-08-09,51,GANDU,11
2020-08-09,52,GUAMARE*,1
2020-08-09,53,IACU,6
2020-08-09,54,IBICARAI,2
2020-08-09,55,IBIRAPITANGA,2
2020-08-09,56,IBIRATAIA,3
2020-08-09,57,IBITITA,1
2020-08-09,58,IBOTIRAMA,1
2020-08-09,59,IGRAPIUNA,1
2020-08-09,60,IGUAI,5
2020-08-09,61,ILHEUS*,180
2020-08-09,62,IPECAETA,1
2020-08-09,63,IPIAU *,9
2020-08-09,64,IPIRA,1
2020-08-09,65,IRECE,12
2020-08-09,66,ITABELA,2
2020-08-09,67,ITABERABA,17
2020-08-09,68,ITABUNA,178
2020-08-09,69,ITACARE,1
2020-08-09,70,ITAETE,1
2020-08-09,71,ITAJUIPE,4
2020-08-09,72,ITAMARAJU,14
2020-08-09,73,ITANHEM,2
2020-08-09,74,ITAPARICA,4
2020-08-09,75,ITAPEBI,2
2020-08-09,76,ITAPETINGA,9
2020-08-09,77,ITATIM,1
2020-08-09,78,ITIRUCU,1
2020-08-09,79,ITUBERA,12
2020-08-09,80,JABORANDI,1
2020-08-09,81,JACOBINA,2
2020-08-09,82,JAGUARARI,1
2020-08-09,83,JEQUIE*,108
