210,PINDAI,6
211,OLINDINA,6
212,MORTUGABA,6
213,MORRO DO CHAPEU,6
214,ITAMBE,6
215,IBIPITANGA,6
216,CAEM,6
217,CANDIBA,6
218,CANARANA,6
219,CAMPO ALEGRE DE LOURDES,6
220,ANTONIO GONCALVES,6
221,TABOCAS DO BREJO VELHO,5
222,SANTA LUZIA,5
223,RIBEIRA DO AMPARO,5
224,PONTO NOVO,5
225,PILAO ARCADO,5
226,PIATA,5
227,NORDESTINA,5
228,MULUNGU DO MORRO,5
229,MACARANI,5
230,LICINIO DE ALMEIDA,5
231,ITAPITANGA,5
232,BARRO PRETO,5
233,ARACATU,5
234,ANAGE,5
235,SANTA RITA DE CASSIA,4
236,PINDOBACU,4
237,MUNIZ FERREIRA,4
238,MIGUEL CALMON,4
239,LAJEDAO,4
240,GONGOGI,4
241,DARIO MEIRA,4
242,DOM MACEDO COSTA,4
243,ARAMARI,4
244,ANGUERA,4
245,ANDORINHA,4
246,ANDARAI,4
247,ALMADINA,4
248,UNA,3
249,SAO GABRIEL,3
250,SATIRO DIAS,3
251,SANTA CRUZ DA VITORIA,3
252,OURICANGAS,3
253,MUTUIPE,3
254,MIRANGABA,3
255,MAIQUINIQUE,3
256,MACAUBAS,3
257,JEREMOABO,3
258,CORRENTINA,3
259,CORONEL JOAO SA,3
260,CAPELA DO ALTO ALEGRE,3
261,BONINAL,3
262,ANTONIO CARDOSO,3
263,SOUTO SOARES,2
264,SERRA DO RAMALHO,2
265,SANTA INES,2
266,RIO DO PIRES,2
267,PARATINGA,2
268,PALMAS DE MONTE ALTO,2
269,NOVA REDENCAO,2
270,MUCUGE,2
271,MIRANTE,2
272,MASCOTE,2
273,MALHADA DE PEDRAS,2
274,LAFAIETE COUTINHO,2
275,JUSSARI,2
276,ITAGI,2
277,IPECAETA,2
278,INHAMBUPE,2
279,IBITIARA,2
280,CRISOPOLIS,2
281,CRAVOLANDIA,2
282,CARDEAL DA SILVA,2
283,BARRA DA ESTIVA,2
284,BANZAE,2
285,ABAIRA,2
286,VARZEA NOVA,1
287,VARZEA DA ROCA,1
288,VARZEDO,1
289,UTINGA,1
290,UIBAI,1
291,UBAIRA,1
292,TAPIRAMUTA,1
293,SEABRA,1
294,RODELAS,1
295,RIBEIRAO DO LARGO,1
296,REMANSO,1
297,QUIXABEIRA,1
298,PE DE SERRA,1
299,PIRITIBA,1
300,PEDRAO,1
301,PEDRO ALEXANDRE,1
302,OUROLANDIA,1
303,NOVA FATIMA,1
304,MORPARA,1
305,MALHADA,1
306,JACARACI,1
307,ITIRUCU,1
308,ITAQUARA,1
309,ITANAGRA,1
310,ITAJU DO COLONIA,1
311,IRAQUARA,1
312,IRAMAIA,1
313,IBICOARA,1
314,GUAJERU,1
315,FIRMINO ALVES,1
316,DOM BASILIO,1
317,CICERO DANTAS,1
