date,id,municipio,total_obitos_munocor
2020-06-25,2,AMARGOSA,1
2020-06-25,3,ANAGE,1
2020-06-25,4,ARACAJU,1
2020-06-25,5,ARACI,1
2020-06-25,6,ARARIPINA,2
2020-06-25,7,BARREIRAS,5
2020-06-25,8,BRUMADO,1
2020-06-25,9,CALDEIRAO GRANDE,1
2020-06-25,10,CAMACAN,4
2020-06-25,11,CAMACARI,12
2020-06-25,12,CANAVIEIRAS,1
2020-06-25,13,CANDEIAS,6
2020-06-25,14,CANSANCAO,1
2020-06-25,15,CAPIM GROSSO,2
2020-06-25,16,CASTRO ALVES,1
2020-06-25,17,CONCEICAO DA FEIRA,1
2020-06-25,18,CONDE,1
2020-06-25,19,EUNAPOLIS,5
2020-06-25,20,FEIRA DE SANTANA,36
2020-06-25,21,FILADELFIA,1
2020-06-25,22,FLORIANO,1
2020-06-25,23,GANDU,5
2020-06-25,24,GUAMARE*,1
2020-06-25,25,IACU,4
2020-06-25,26,IBIRATAIA,2
2020-06-25,27,IGRAPIUNA,1
2020-06-25,28,ILHEUS*,68
2020-06-25,29,IPIAU *,3
2020-06-25,30,IPIRA,1
2020-06-25,31,ITABELA,1
2020-06-25,32,ITABERABA,2
2020-06-25,33,ITABUNA,68
2020-06-25,34,ITACARE,1
2020-06-25,35,ITAJUIPE,1
2020-06-25,36,ITAMARAJU,5
2020-06-25,37,ITAPETINGA,2
2020-06-25,38,ITUBERA,1
2020-06-25,39,JEQUIE*,31
2020-06-25,40,JOAO DOURADO,1
2020-06-25,41,JUAZEIRO,16
2020-06-25,42,LAURO DE FREITAS*,21
2020-06-25,43,MANOEL VITORINO,1
2020-06-25,44,MEDEIROS NETO,1
2020-06-25,45,MILAGRES,1
2020-06-25,46,MUCURI,1
2020-06-25,47,MULUNGU DO MORRO,1
2020-06-25,48,NAZARE,1
2020-06-25,49,NOVA VICOSA,2
2020-06-25,50,PAULO AFONSO,2
2020-06-25,51,PETROLINA,3
2020-06-25,52,PILAO ARCADO*,1
2020-06-25,53,POCOES,1
2020-06-25,54,POJUCA,1
2020-06-25,55,PORTO SEGURO,2
2020-06-25,56,REMANSO,4
2020-06-25,57,RIACHAO DO JACUIPE,1
2020-06-25,58,RIBEIRA DO POMBAL,1
2020-06-25,59,RUY BARBOSA,1
2020-06-25,60,SALVADOR*,1152
2020-06-25,61,SANTA MARIA DA VITORIA,1
2020-06-25,62,SANTA TERESINHA,1
2020-06-25,63,SANTALUZ,1
2020-06-25,64,SANTO ANTONIO DE JESUS,3
2020-06-25,65,SAO FELIX,1
2020-06-25,66,SAO GONCALO DOS CAMPOS,1
2020-06-25,67,SAO SEBASTIAO DO PASSE,1
2020-06-25,68,SEABRA,1
2020-06-25,69,SENHOR DO BONFIM,1
2020-06-25,70,SERRINHA,2
2020-06-25,71,SIMOES FILHO,11
2020-06-25,72,SOBRADINHO,3
2020-06-25,73,TEIXEIRA DE FREITAS,15
2020-06-25,74,URUCUCA,2
2020-06-25,75,UTINGA,1
2020-06-25,76,VALENCA,10
2020-06-25,77,VALENCA,1
2020-06-25,78,VARZEA DA ROCA,1
2020-06-25,79,VERA CRUZ,1
2020-06-25,80,VITORIA DA CONQUISTA,40
2020-06-25,1,SALVADOR,26814
