date,id,municipio,total_obitos_munocor
2020-07-04,2,AMARGOSA,1
2020-07-04,3,ANAGE,1
2020-07-04,4,APORA,1
2020-07-04,5,ARACAJU,1
2020-07-04,6,ARACI,1
2020-07-04,7,ARARIPINA,2
2020-07-04,8,BARRA DO CHOCA,1
2020-07-04,9,BARREIRAS,10
2020-07-04,10,BRUMADO,1
2020-07-04,11,CALDEIRAO GRANDE,1
2020-07-04,12,CAMACAN,4
2020-07-04,13,CAMACARI,21
2020-07-04,14,CANAVIEIRAS,1
2020-07-04,15,CANDEIAS,6
2020-07-04,16,CANDIDO SALES,1
2020-07-04,17,CANSANCAO,1
2020-07-04,18,CAPIM GROSSO,2
2020-07-04,19,CARDEAL DA SILVA,1
2020-07-04,20,CASTRO ALVES,1
2020-07-04,21,CONCEICAO DA FEIRA,1
2020-07-04,22,CONDE,1
2020-07-04,23,DIAS DAVILA,1
2020-07-04,24,EUNAPOLIS,7
2020-07-04,25,FEIRA DE SANTANA,45
2020-07-04,26,FILADELFIA,1
2020-07-04,27,FLORIANO,1
2020-07-04,28,GANDU,9
2020-07-04,29,GUAMARE*,1
2020-07-04,30,IACU,4
2020-07-04,31,IBIRATAIA,2
2020-07-04,32,IGRAPIUNA,1
2020-07-04,33,ILHEUS*,80
2020-07-04,34,IPIAU *,4
2020-07-04,35,IPIRA,1
2020-07-04,36,IRECE,1
2020-07-04,37,ITABELA,1
2020-07-04,38,ITABERABA,6
2020-07-04,39,ITABUNA,88
2020-07-04,40,ITACARE,1
2020-07-04,41,ITAJUIPE,1
2020-07-04,42,ITAMARAJU,7
2020-07-04,43,ITAPEBI,1
2020-07-04,44,ITAPETINGA,2
2020-07-04,45,ITUBERA,2
2020-07-04,46,JACOBINA,1
2020-07-04,47,JEQUIE*,38
2020-07-04,48,JOAO DOURADO,1
2020-07-04,49,JUAZEIRO,26
2020-07-04,50,LAURO DE FREITAS*,29
2020-07-04,51,MANOEL VITORINO,1
2020-07-04,52,MEDEIROS NETO,1
2020-07-04,53,MILAGRES,1
2020-07-04,54,MONTE SANTO,1
2020-07-04,55,MUCURI,2
2020-07-04,56,MULUNGU DO MORRO,1
2020-07-04,57,NAZARE,1
2020-07-04,58,NOVA IBIA,1
2020-07-04,59,NOVA VICOSA,2
2020-07-04,60,PAULO AFONSO,8
2020-07-04,61,PETROLINA,4
2020-07-04,62,PILAO ARCADO*,1
2020-07-04,63,POCOES,1
2020-07-04,64,POJUCA,1
2020-07-04,65,PORTO SEGURO,8
2020-07-04,66,PRADO,2
2020-07-04,67,REMANSO,6
2020-07-04,68,RIACHAO DO JACUIPE,1
2020-07-04,69,RIBEIRA DO POMBAL,1
2020-07-04,70,RUY BARBOSA,1
2020-07-04,71,SALVADOR*,1428
2020-07-04,72,SANTA MARIA DA VITORIA,1
2020-07-04,73,SANTA RITA DE CASSIA,1
2020-07-04,74,SANTA TERESINHA,1
2020-07-04,75,SANTALUZ,1
2020-07-04,76,SANTO ANTONIO DE JESUS,5
2020-07-04,77,SAO FELIX,3
2020-07-04,78,SAO GONCALO DOS CAMPOS,3
2020-07-04,79,SAO SEBASTIAO DO PASSE,1
2020-07-04,80,SEABRA,1
2020-07-04,81,SENHOR DO BONFIM,1
2020-07-04,82,SERRINHA,2
2020-07-04,83,SIMOES FILHO,19
2020-07-04,84,SOBRADINHO,4
2020-07-04,85,TEIXEIRA DE FREITAS,27
2020-07-04,86,TOBIAS BARRETO,1
2020-07-04,87,URUCUCA,2
2020-07-04,88,UTINGA,1
2020-07-04,89,VALENCA,17
2020-07-04,90,VALENCA,1
2020-07-04,91,VARZEA DA ROCA,1
2020-07-04,92,VERA CRUZ,1
2020-07-04,93,VITORIA DA CONQUISTA,52
2020-07-04,1,SALVADOR,38030
