date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-08-06,VARZEA DA ROCA,41,0,88,129,7,0.07,14104,914.63,0
2020-08-06,CAFARNAUM,3,0,118,121,1,0.07,18437,656.29,1
2020-08-06,MAIRI,57,0,62,119,1,0.07,18676,637.18,0
2020-08-06,OUROLANDIA,8,1,106,115,3,0.06,17451,658.99,0
2020-08-06,LAPAO,51,1,54,106,1,0.06,27223,389.38,1
2020-08-06,CALDEIRAO GRANDE,5,0,99,104,3,0.06,13327,780.37,0
2020-08-06,AMERICA DOURADA,6,0,84,90,0,0.05,16094,559.21,8
2020-08-06,PRESIDENTE DUTRA,22,0,63,85,0,0.05,15142,561.35,1
2020-08-06,SERROLANDIA,10,2,64,76,15,0.04,13397,567.29,0
2020-08-06,CANARANA,21,0,49,70,0,0.04,26176,267.42,0
2020-08-06,XIQUE-XIQUE,21,0,46,67,1,0.04,46483,144.14,0
2020-08-06,TAPIRAMUTA,23,1,40,64,5,0.04,17010,376.25,0
2020-08-06,VARZEA NOVA,14,0,48,62,0,0.03,12697,488.30,0
2020-08-06,MIGUEL CALMON,14,0,42,56,2,0.03,26023,215.19,1
2020-08-06,SAO GABRIEL,4,0,48,52,6,0.03,18793,276.70,1
2020-08-06,MORRO DO CHAPEU,17,0,33,50,3,0.03,35413,141.19,0
2020-08-06,CAEM,7,0,42,49,0,0.03,9213,531.86,34
2020-08-06,QUIXABEIRA,26,0,20,46,0,0.03,8972,512.71,0
2020-08-06,SAO JOSE DO JACUIPE,4,0,40,44,1,0.02,10462,420.57,0
2020-08-06,MIRANGABA,16,0,12,28,3,0.02,18338,152.69,0
2020-08-06,JUSSARA,8,0,19,27,1,0.01,15284,176.66,1
2020-08-06,PIRITIBA,13,0,14,27,0,0.01,24755,109.07,0
2020-08-06,IBITITA,20,0,3,23,0,0.01,17113,134.40,0
2020-08-06,CENTRAL,7,0,9,16,1,0.01,17266,92.67,0
2020-08-06,MULUNGU DO MORRO,4,0,9,13,0,0.01,10889,119.39,18
2020-08-06,ITAGUACU DA BAHIA,1,1,10,12,0,0.01,14429,83.17,0
2020-08-06,SAUDE,1,0,11,12,0,0.01,12913,92.93,5
2020-08-06,IBIPEBA,4,0,7,11,0,0.01,18211,60.40,1
2020-08-06,BARRO ALTO,5,0,4,9,0,0.00,14931,60.28,13
2020-08-06,VARZEA DO POCO,7,0,1,8,0,0.00,9170,87.24,1
2020-08-06,UIBAI,2,0,6,8,4,0.00,13887,57.61,4
2020-08-06,BARRA DO MENDES,4,0,3,7,0,0.00,13865,50.49,0
2020-08-06,TOTAL,960,9,2653,3622,123,2
2020-08-06,TEIXEIRA DE FREITAS,520,17,1780,2317,17,1.28,160487,1443.73,0
2020-08-06,EUNAPOLIS,612,119,1338,2069,14,1.14,113380,1824.84,0
2020-08-06,PORTO SEGURO,527,23,1343,1893,26,1.05,148686,1273.15,0
2020-08-06,ITAMARAJU,197,90,1105,1392,39,0.77,64486,2158.61,0
2020-08-06,MEDEIROS NETO,55,184,406,645,12,0.36,22688,2842.91,0
2020-08-06,ITABELA,158,98,205,461,19,0.25,30584,1507.32,0
2020-08-06,MUCURI,116,26,256,398,1,0.22,41748,953.34,0
2020-08-06,SANTA CRUZ CABRALIA,184,0,195,379,8,0.21,27778,1364.39,0
2020-08-06,NOVA VICOSA,144,10,166,320,2,0.18,43376,737.74,0
2020-08-06,PRADO,68,10,218,296,0,0.16,28174,1050.61,0
2020-08-06,ALCOBACA,29,97,165,291,6,0.16,22470,1295.06,0
2020-08-06,BELMONTE,82,0,186,268,12,0.15,23328,1148.83,0
2020-08-06,GUARATINGA,104,3,121,228,1,0.13,20843,1093.89,0
2020-08-06,ITANHEM,27,37,131,195,0,0.11,19405,1004.90,2
2020-08-06,CARAVELAS,69,17,79,165,1,0.09,22016,749.45,0
2020-08-06,ITAPEBI,114,0,14,128,0,0.07,10259,1247.68,0
2020-08-06,VEREDA,48,0,38,86,0,0.05,6205,1385.98,1
2020-08-06,IBIRAPUA,21,0,52,73,0,0.04,8637,845.20,0
2020-08-06,JUCURUCU,10,0,60,70,0,0.04,9126,767.04,1
2020-08-06,ITAGIMIRIM,48,0,13,61,0,0.03,6869,888.05,0
2020-08-06,LAJEDAO,18,9,4,31,0,0.02,3955,783.82,2
2020-08-06,TOTAL,3151,740,7875,11766,158,7
2020-08-06,SALVADOR,44203,738,15617,60558,50,33.49,2872347,2108.31,0
2020-08-06,LAURO DE FREITAS,2445,10,2183,4638,28,2.56,198440,2337.23,0
2020-08-06,CAMACARI,2172,145,2063,4380,48,2.42,299132,1464.24,0
2020-08-06,CANDEIAS,640,123,874,1637,12,0.91,87076,1879.97,0
2020-08-06,SIMOES FILHO,681,1,888,1570,14,0.87,134377,1168.35,0
2020-08-06,SANTO ANTONIO DE JESUS,921,5,553,1479,14,0.82,101512,1456.97,0
2020-08-06,DIAS DAVILA,609,53,351,1013,5,0.56,81089,1249.24,0
2020-08-06,SAO SEBASTIAO DO PASSE,149,0,543,692,15,0.38,44300,1562.08,0
2020-08-06,SAO FRANCISCO DO CONDE,199,2,433,634,4,0.35,39802,1592.88,0
2020-08-06,SANTO AMARO,539,6,80,625,1,0.35,60069,1040.47,0
2020-08-06,PRESIDENTE TANCREDO NEVES,71,11,521,603,16,0.33,27719,2175.40,0
2020-08-06,MADRE DE DEUS,343,2,243,588,16,0.33,21093,2787.65,0
2020-08-06,POJUCA,300,1,236,537,4,0.30,39519,1358.84,0
2020-08-06,MATA DE SAO JOAO,377,12,44,433,0,0.24,46583,929.52,0
2020-08-06,CRUZ DAS ALMAS,318,0,104,422,10,0.23,63239,667.31,0
2020-08-06,CONCEICAO DA FEIRA,177,1,235,413,4,0.23,22581,1828.97,0
2020-08-06,MARAGOGIPE,225,0,143,368,11,0.20,44677,823.69,0
2020-08-06,CACHOEIRA,281,0,33,314,5,0.17,33470,938.15,1
2020-08-06,CONCEICAO DO ALMEIDA,132,0,164,296,12,0.16,17247,1716.24,0
2020-08-06,NAZARE,172,1,109,282,2,0.16,28525,988.61,0
2020-08-06,ITAPARICA,107,0,163,270,3,0.15,22228,1214.68,0
2020-08-06,VERA CRUZ,194,0,59,253,4,0.14,43223,585.34,0
2020-08-06,CASTRO ALVES,32,31,155,218,3,0.12,26264,830.03,0
2020-08-06,AMARGOSA,139,8,69,216,2,0.12,37241,580.01,0
2020-08-06,SAO FELIPE,58,0,151,209,0,0.12,21074,991.74,0
2020-08-06,SAPEACU,98,0,100,198,1,0.11,17398,1138.06,0
2020-08-06,SALINAS DA MARGARIDA,58,0,117,175,1,0.10,15667,1117.00,0
2020-08-06,MURITIBA,127,0,41,168,0,0.09,29399,571.45,2
2020-08-06,CONDE,117,0,48,165,0,0.09,25837,638.62,0
2020-08-06,JAGUARIPE,42,0,121,163,4,0.09,18788,867.58,0
2020-08-06,SAO FELIX,40,0,90,130,0,0.07,14740,881.95,1
2020-08-06,LAJE,37,4,76,117,1,0.06,23840,490.77,0
2020-08-06,MUTUIPE,37,4,59,100,3,0.06,22221,450.02,0
2020-08-06,GOVERNADOR MANGABEIRA,62,0,32,94,0,0.05,20722,453.62,2
2020-08-06,MILAGRES,27,0,52,79,1,0.04,10950,721.46,0
2020-08-06,ITATIM,39,5,33,77,0,0.04,14487,531.51,0
2020-08-06,MUNIZ FERREIRA,20,0,48,68,6,0.04,7422,916.20,0
2020-08-06,VARZEDO,39,6,8,53,1,0.03,8838,599.68,1
2020-08-06,ELISIO MEDRADO,39,3,5,47,0,0.03,8122,578.68,0
2020-08-06,ARATUIPE,25,0,20,45,1,0.02,8825,509.92,0
2020-08-06,CABACEIRAS DO PARAGUACU,31,1,13,45,0,0.02,18807,239.27,0
2020-08-06,SAUBARA,29,0,13,42,1,0.02,12043,348.75,12
2020-08-06,DOM MACEDO COSTA,15,0,21,36,2,0.02,4058,887.14,2
2020-08-06,SANTA TERESINHA,9,2,24,35,0,0.02,10405,336.38,0
2020-08-06,SAO MIGUEL DAS MATAS,20,1,12,33,0,0.02,11675,282.66,3
2020-08-06,JIQUIRICA,21,0,3,24,0,0.01,14537,165.10,1
2020-08-06,UBAIRA,16,0,8,24,0,0.01,19895,120.63,3
2020-08-06,NOVA ITARANA,4,0,13,17,0,0.01,8226,206.66,13
2020-08-06,TOTAL,56436,1176,26971,84583,305,47
2020-08-06,ALAGOINHAS,905,5,1436,2346,50,1.30,151596,1547.53,0
2020-08-06,CATU,458,0,491,949,4,0.52,54704,1734.79,0
2020-08-06,RIBEIRA DO POMBAL,396,5,41,442,1,0.24,53807,821.45,0
2020-08-06,ITAPICURU,27,0,386,413,20,0.23,35576,1160.89,0
2020-08-06,NOVA SOURE,18,1,241,260,0,0.14,26947,964.86,0
2020-08-06,RIO REAL,97,0,161,258,5,0.14,40732,633.41,0
2020-08-06,ENTRE RIOS,64,21,118,203,3,0.11,41780,485.88,0
2020-08-06,ESPLANADA,37,13,137,187,3,0.10,37237,502.19,0
2020-08-06,JANDAIRA,25,1,160,186,3,0.10,10709,1736.86,0
2020-08-06,CICERO DANTAS,21,0,126,147,0,0.08,32515,452.10,0
2020-08-06,INHAMBUPE,54,0,82,136,10,0.08,39926,340.63,0
2020-08-06,CORONEL JOAO SA,7,0,124,131,0,0.07,15895,824.16,0
2020-08-06,CRISOPOLIS,34,3,78,115,6,0.06,21103,544.95,0
2020-08-06,CIPO,12,0,101,113,0,0.06,17300,653.18,0
2020-08-06,PARIPIRANGA,40,0,70,110,1,0.06,28989,379.45,0
2020-08-06,OLINDINA,8,0,99,107,0,0.06,28229,379.04,1
2020-08-06,ARAMARI,54,0,30,84,1,0.05,11397,737.04,0
2020-08-06,ANTAS,19,0,65,84,1,0.05,19291,435.44,0
2020-08-06,NOVO TRIUNFO,8,0,74,82,9,0.05,15440,531.09,0
2020-08-06,SITIO DO QUINTO,22,0,57,79,1,0.04,9986,791.11,1
2020-08-06,BANZAE,56,0,23,79,26,0.04,13229,597.17,0
2020-08-06,APORA,19,5,51,75,1,0.04,17731,422.99,1
2020-08-06,RIBEIRA DO AMPARO,5,0,67,72,1,0.04,14592,493.42,0
