date,id,municipio,total_obitos_munocor
2020-07-23,2,ALAGOINHAS,21
2020-07-23,3,ALCOBACA,1
2020-07-23,4,AMARGOSA,4
2020-07-23,5,AMELIA RODRIGUES,1
2020-07-23,6,ANAGE,1
2020-07-23,7,APORA,1
2020-07-23,8,ARACAJU,2
2020-07-23,9,ARACI,1
2020-07-23,10,ARARIPINA,3
2020-07-23,11,BARRA,1
2020-07-23,12,BARRA DO CHOCA,2
2020-07-23,13,BARREIRAS,18
2020-07-23,14,BARRETOS,1
2020-07-23,15,BONITO,1
2020-07-23,16,BRUMADO,1
2020-07-23,17,CACHOEIRA,1
2020-07-23,18,CALDEIRAO GRANDE,1
2020-07-23,19,CAMACAN,10
2020-07-23,20,CAMACARI,39
2020-07-23,21,CAMPO FORMOSO,1
2020-07-23,22,CANAVIEIRAS,1
2020-07-23,23,CANDEIAS,14
2020-07-23,24,CANDIDO SALES,3
2020-07-23,25,CANSANCAO,1
2020-07-23,26,CANUDOS,1
2020-07-23,27,CAPIM GROSSO,2
2020-07-23,28,CARDEAL DA SILVA,1
2020-07-23,29,CASA NOVA,1
2020-07-23,30,CASTRO ALVES,2
2020-07-23,31,CATU,1
2020-07-23,32,CONCEICAO DA FEIRA,1
2020-07-23,33,CONCEICAO DO ALMEIDA,1
2020-07-23,34,CONCEICAO DO COITE,3
2020-07-23,35,CONCEICAO DO JACUIPE,1
2020-07-23,36,CONDE,1
2020-07-23,37,CONDEUBA,1
2020-07-23,38,CRUZ DAS ALMAS,1
2020-07-23,39,DIAS DAVILA,3
2020-07-23,40,EUNAPOLIS,10
2020-07-23,41,FEIRA DA MATA,1
2020-07-23,42,FEIRA DE SANTANA,74
2020-07-23,43,FILADELFIA,1
2020-07-23,44,FLORIANO,1
2020-07-23,45,GANDU,11
2020-07-23,46,GUAMARE*,1
2020-07-23,47,IACU,6
2020-07-23,48,IBICARAI,1
2020-07-23,49,IBIRAPITANGA,2
2020-07-23,50,IBIRATAIA,2
2020-07-23,51,IGRAPIUNA,1
2020-07-23,52,IGUAI,4
2020-07-23,53,ILHEUS*,146
2020-07-23,54,IPECAETA,1
2020-07-23,55,IPIAU *,6
2020-07-23,56,IPIRA,1
2020-07-23,57,IRECE,3
2020-07-23,58,ITABELA,1
2020-07-23,59,ITABERABA,12
2020-07-23,60,ITABUNA,150
2020-07-23,61,ITACARE,1
2020-07-23,62,ITAJUIPE,3
2020-07-23,63,ITAMARAJU,14
2020-07-23,64,ITANHEM,1
2020-07-23,65,ITAPARICA,4
2020-07-23,66,ITAPEBI,2
2020-07-23,67,ITAPETINGA,7
2020-07-23,68,ITUBERA,4
2020-07-23,69,JACOBINA,1
2020-07-23,70,JAGUARARI,1
2020-07-23,71,JEQUIE*,77
2020-07-23,72,JITAUNA,1
2020-07-23,73,JOAO DOURADO,1
2020-07-23,74,JUAZEIRO,50
2020-07-23,75,LAURO DE FREITAS*,49
2020-07-23,76,LUIS EDUARDO MAGALHAES,1
2020-07-23,77,MANOEL VITORINO,1
2020-07-23,78,MARACAS,2
2020-07-23,79,MARAGOGIPE,3
2020-07-23,80,MEDEIROS NETO,3
2020-07-23,81,MILAGRES,1
2020-07-23,82,MONTE SANTO,1
2020-07-23,83,MUCURI,2
2020-07-23,84,MULUNGU DO MORRO,1
2020-07-23,85,MUNDO NOVO,1
2020-07-23,86,MUTUIPE,1
2020-07-23,87,NAZARE,2
2020-07-23,88,NOVA IBIA,3
2020-07-23,89,NOVA VICOSA,2
2020-07-23,90,PAULO AFONSO,10
2020-07-23,91,PETROLINA,7
2020-07-23,92,PILAO ARCADO*,1
2020-07-23,93,PINDOBACU,2
2020-07-23,94,POCOES,1
2020-07-23,95,POJUCA,1
2020-07-23,96,PORTO SEGURO,16
2020-07-23,97,PRADO,2
2020-07-23,98,PRESIDENTE TANCREDO NEVES,3
2020-07-23,99,RECIFE,2
2020-07-23,100,REMANSO,14
2020-07-23,101,RIACHAO DO JACUIPE,1
2020-07-23,102,RIBEIRA DO POMBAL,1
2020-07-23,103,RIO DO PIRES,2
2020-07-23,104,RUY BARBOSA,1
2020-07-23,105,SALGUEIRO,1
2020-07-23,106,SALVADOR*,1899
2020-07-23,107,SANTA MARIA DA VITORIA,1
2020-07-23,108,SANTA RITA DE CASSIA,1
2020-07-23,109,SANTA TERESINHA,1
2020-07-23,110,SANTALUZ,3
2020-07-23,111,SANTO ANTONIO DE JESUS,23
2020-07-23,112,SAO FELIPE,1
2020-07-23,113,SAO FELIX,3
2020-07-23,114,SAO FELIX DO CORIBE,1
2020-07-23,115,SAO FRANCISCO DO CONDE,1
2020-07-23,116,SAO GONCALO DOS CAMPOS,3
2020-07-23,117,SAO SEBASTIAO DO PASSE,3
2020-07-23,118,SEABRA,5
2020-07-23,119,SENHOR DO BONFIM,2
2020-07-23,120,SERRA PRETA,2
2020-07-23,121,SERRINHA,2
2020-07-23,122,SIMOES FILHO,24
2020-07-23,123,SOBRADINHO,3
2020-07-23,124,TANQUINHO,1
2020-07-23,125,TEIXEIRA DE FREITAS,52
2020-07-23,126,TOBIAS BARRETO,1
2020-07-23,127,UBAITABA,1
2020-07-23,128,UBATA,2
2020-07-23,129,URUCUCA,2
2020-07-23,130,UTINGA,2
2020-07-23,131,VALENCA,24
2020-07-23,132,VALENCA,1
2020-07-23,133,VARZEA DA ROCA,1
2020-07-23,134,VERA CRUZ,1
2020-07-23,135,VITORIA DA CONQUISTA,87
2020-07-23,1,SALVADOR,50156
