date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-06-30,FEIRA DE SANTANA,2841,4,351,3196,138,4.49,614872.0,519.78,0.0,1153.0,48.0,43.0
2020-06-30,ITABERABA,68,5,174,247,14,0.35,64489.0,383.01,0.0,120.0,9.0,5.0
2020-06-30,SERRINHA,134,3,93,230,37,0.32,80861.0,284.44,0.0,67.0,3.0,2.0
2020-06-30,ARACI,67,0,143,210,10,0.29,54379.0,386.18,0.0,97.0,1.0,1.0
2020-06-30,CONCEICAO DO COITE,73,1,103,177,1,0.25,66612.0,265.72,0.0,71.0,,
2020-06-30,VALENTE,79,0,98,177,40,0.25,28473.0,621.64,3.0,41.0,3.0,
2020-06-30,CONCEICAO DO JACUIPE,134,0,24,158,0,0.22,33153.0,476.58,5.0,76.0,,
2020-06-30,TEOFILANDIA,33,0,111,144,1,0.2,22518.0,639.49,0.0,,,
2020-06-30,SANTA BARBARA,127,0,4,131,13,0.18,20791.0,630.08,0.0,55.0,,
2020-06-30,SAO GONCALO DOS CAMPOS,46,0,64,110,21,0.15,37550.0,292.94,0.0,47.0,2.0,2.0
2020-06-30,AMELIA RODRIGUES,63,0,22,85,8,0.12,25102.0,338.62,0.0,34.0,,
2020-06-30,RUY BARBOSA,17,0,66,83,3,0.12,30814.0,269.36,0.0,51.0,1.0,1.0
2020-06-30,PINTADAS,39,0,41,80,1,0.11,10437.0,766.5,0.0,52.0,,
2020-06-30,IPIRA,65,0,8,73,1,0.1,59595.0,122.49,0.0,30.0,2.0,1.0
2020-06-30,MONTE SANTO,33,0,36,69,3,0.1,49418.0,139.63,0.0,28.0,1.0,
2020-06-30,SANTALUZ,21,0,48,69,1,0.1,37348.0,184.75,0.0,40.0,1.0,1.0
2020-06-30,TERRA NOVA,52,1,11,64,0,0.09,13033.0,491.06,0.0,39.0,1.0,
2020-06-30,RIACHAO DO JACUIPE,27,0,34,61,3,0.09,33436.0,182.44,1.0,14.0,2.0,1.0
2020-06-30,RAFAEL JAMBEIRO,42,0,15,57,1,0.08,22621.0,251.98,1.0,16.0,,
2020-06-30,RETIROLANDIA,22,0,32,54,1,0.08,14396.0,375.1,0.0,27.0,,
2020-06-30,NORDESTINA,11,0,42,53,1,0.07,13130.0,403.66,0.0,31.0,,
2020-06-30,QUEIMADAS,33,0,17,50,1,0.07,25439.0,196.55,0.0,29.0,,
2020-06-30,CORACAO DE MARIA,28,0,21,49,0,0.07,22605.0,216.77,1.0,22.0,,
2020-06-30,ITAETE,0,0,47,47,0,0.07,16056.0,292.73,3.0,1.0,,
2020-06-30,IACU,27,0,13,40,2,0.06,24305.0,164.58,1.0,2.0,4.0,4.0
