date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-07-21,FEIRA DE SANTANA,5203,1,860,6064,91,4.86,614872.0,986.22,0.0,487.0,80.0,72.0
2020-07-21,ITABERABA,143,18,396,557,23,0.45,64489.0,863.71,0.0,65.0,15.0,9.0
2020-07-21,CONCEICAO DO COITE,333,1,217,551,3,0.44,66612.0,827.18,0.0,65.0,1.0,1.0
2020-07-21,ARACI,211,0,318,529,2,0.42,54379.0,972.8,0.0,77.0,4.0,1.0
2020-07-21,SERRINHA,218,0,180,398,1,0.32,80861.0,492.2,0.0,18.0,6.0,2.0
2020-07-21,SAO GONCALO DOS CAMPOS,73,0,205,278,1,0.22,37550.0,740.35,1.0,36.0,3.0,3.0
2020-07-21,CONCEICAO DO JACUIPE,211,0,46,257,2,0.21,33153.0,775.19,0.0,17.0,1.0,1.0
2020-07-21,VALENTE,55,0,161,216,0,0.17,28473.0,758.61,11.0,5.0,3.0,0.0
2020-07-21,SANTA BARBARA,181,0,27,208,0,0.17,20791.0,1000.43,1.0,8.0,2.0,0.0
2020-07-21,QUEIMADAS,69,0,134,203,13,0.16,25439.0,797.99,0.0,29.0,2.0,0.0
2020-07-21,RIACHAO DO JACUIPE,54,0,141,195,2,0.16,33436.0,583.2,0.0,8.0,3.0,1.0
2020-07-21,TEOFILANDIA,47,0,129,176,0,0.14,22518.0,781.6,0.0,11.0,0.0,0.0
2020-07-21,AMELIA RODRIGUES,126,0,47,173,0,0.14,25102.0,689.19,0.0,24.0,1.0,1.0
2020-07-21,SANTO ESTEVAO,124,0,42,166,5,0.13,52850.0,314.1,0.0,52.0,2.0,0.0
2020-07-21,SANTALUZ,34,0,125,159,4,0.13,37348.0,425.73,0.0,9.0,3.0,3.0
2020-07-21,IPIRA,129,0,15,144,6,0.12,59595.0,241.63,0.0,24.0,3.0,1.0
2020-07-21,RUY BARBOSA,23,0,117,140,1,0.11,30814.0,454.34,2.0,22.0,2.0,1.0
