date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-07-13,FEIRA DE SANTANA,4480,1,621,5102,27,4.81,614872.0,829.77,0.0,1489.0,65.0,59.0
2020-07-13,CONCEICAO DO COITE,267,1,189,457,1,0.43,66612.0,686.06,0.0,274.0,0.0,0.0
2020-07-13,ARACI,152,0,272,424,11,0.4,54379.0,779.71,0.0,208.0,3.0,1.0
2020-07-13,ITABERABA,102,12,302,416,2,0.39,64489.0,645.07,0.0,158.0,12.0,6.0
2020-07-13,SERRINHA,190,0,135,325,0,0.31,80861.0,401.92,0.0,76.0,6.0,2.0
2020-07-13,SAO GONCALO DOS CAMPOS,64,0,179,243,0,0.23,37550.0,647.14,0.0,110.0,3.0,3.0
2020-07-13,CONCEICAO DO JACUIPE,177,0,41,218,1,0.21,33153.0,657.56,0.0,65.0,0.0,0.0
2020-07-13,VALENTE,48,0,156,204,0,0.19,28473.0,716.47,3.0,32.0,3.0,0.0
2020-07-13,SANTA BARBARA,172,0,20,192,1,0.18,20791.0,923.48,0.0,43.0,2.0,0.0
2020-07-13,TEOFILANDIA,41,0,120,161,0,0.15,22518.0,714.98,1.0,11.0,0.0,0.0
2020-07-13,RIACHAO DO JACUIPE,38,0,116,154,0,0.15,33436.0,460.58,1.0,48.0,2.0,1.0
2020-07-13,QUEIMADAS,64,0,75,139,0,0.13,25439.0,546.41,0.0,87.0,2.0,0.0
2020-07-13,AMELIA RODRIGUES,102,0,35,137,2,0.13,25102.0,545.77,0.0,53.0,1.0,1.0
2020-07-13,SANTALUZ,29,0,99,128,16,0.12,37348.0,342.72,0.0,62.0,3.0,3.0
2020-07-13,RUY BARBOSA,22,0,101,123,0,0.12,30814.0,399.17,1.0,46.0,2.0,1.0
2020-07-13,MONTE SANTO,37,0,68,105,1,0.1,49418.0,212.47,0.0,34.0,2.0,1.0
2020-07-13,IPIRA,89,0,11,100,1,0.09,59595.0,167.8,1.0,27.0,3.0,1.0
2020-07-13,SANTO ESTEVAO,66,0,31,97,0,0.09,52850.0,183.54,0.0,57.0,1.0,0.0
2020-07-13,SERRA PRETA,32,0,65,97,0,0.09,14878.0,651.97,0.0,75.0,2.0,1.0
2020-07-13,IRAQUARA,8,0,84,92,0,0.09,25216.0,364.85,1.0,85.0,0.0,0.0
2020-07-13,SOUTO SOARES,5,0,84,89,0,0.08,16979.0,524.18,1.0,83.0,0.0,0.0
2020-07-13,RETIROLANDIA,46,0,43,89,0,0.08,14396.0,618.23,0.0,38.0,0.0,0.0
2020-07-13,PINTADAS,47,0,42,89,0,0.08,10437.0,852.74,0.0,19.0,0.0,0.0
2020-07-13,TERRA NOVA,62,1,25,88,0,0.08,13033.0,675.21,3.0,32.0,1.0,0.0
2020-07-13,RAFAEL JAMBEIRO,69,0,19,88,0,0.08,22621.0,389.02,1.0,35.0,0.0,0.0
2020-07-13,CANSANCAO,25,0,57,82,0,0.08,34834.0,235.4,1.0,22.0,2.0,1.0
2020-07-13,CORACAO DE MARIA,41,2,37,80,1,0.08,22605.0,353.9,1.0,31.0,1.0,0.0
