date,id,municipio,total_ativos
2020-06-26,1,SALVADOR,9967
2020-06-26,2,ITABUNA,920
2020-06-26,3,FEIRA DE SANTANA,909
2020-06-26,4,TEIXEIRA DE FREITAS,643
2020-06-26,5,CAMACARI,554
2020-06-26,6,LAURO DE FREITAS,420
2020-06-26,7,GANDU,378
2020-06-26,8,ILHEUS,367
2020-06-26,9,JUAZEIRO,324
2020-06-26,10,SIMOES FILHO,299
2020-06-26,11,VALENCA,279
2020-06-26,12,EUNAPOLIS,271
2020-06-26,13,JEQUIE,269
2020-06-26,14,VITORIA DA CONQUISTA,249
2020-06-26,15,SANTO ANTONIO DE JESUS,230
2020-06-26,16,ITAMARAJU,230
2020-06-26,17,CANDEIAS,202
2020-06-26,18,IPIAU,195
2020-06-26,19,ALAGOINHAS,167
2020-06-26,20,IGUAI,165
2020-06-26,21,ITABERABA,143
2020-06-26,22,CATU,141
2020-06-26,23,PORTO SEGURO,133
2020-06-26,24,BARREIRAS,133
2020-06-26,25,CAMACAN,117
2020-06-26,26,ARACI,117
2020-06-26,27,LUIS EDUARDO MAGALHAES,108
2020-06-26,28,SAO FRANCISCO DO CONDE,104
2020-06-26,29,POJUCA,103
2020-06-26,30,MADRE DE DEUS,103
2020-06-26,31,URUCUCA,92
2020-06-26,32,POCOES,92
2020-06-26,33,CONCEICAO DO JACUIPE,87
2020-06-26,34,SERRINHA,86
2020-06-26,35,BRUMADO,85
2020-06-26,36,SANTO AMARO,79
2020-06-26,37,PAULO AFONSO,78
2020-06-26,38,IBICARAI,75
2020-06-26,39,SOBRADINHO,73
2020-06-26,40,SANTA BARBARA,68
2020-06-26,41,DIAS DAVILA,66
2020-06-26,42,CONCEICAO DO COITE,64
2020-06-26,43,CAMPO FORMOSO,62
2020-06-26,44,TEOFILANDIA,61
2020-06-26,45,MATA DE SAO JOAO,61
2020-06-26,46,RUY BARBOSA,60
2020-06-26,47,MUCURI,56
2020-06-26,48,MEDEIROS NETO,56
2020-06-26,49,NOVA VICOSA,54
2020-06-26,50,AURELINO LEAL,52
2020-06-26,51,JOAO DOURADO,51
2020-06-26,52,SENHOR DO BONFIM,50
2020-06-26,53,RIBEIRA DO POMBAL,49
2020-06-26,54,PRADO,49
2020-06-26,55,ITAJUIPE,49
2020-06-26,56,VERA CRUZ,48
2020-06-26,57,SAO SEBASTIAO DO PASSE,48
2020-06-26,58,PRESIDENTE TANCREDO NEVES,48
2020-06-26,59,ITACARE,48
2020-06-26,60,CAPIM GROSSO,48
2020-06-26,61,IRECE,45
2020-06-26,62,TERRA NOVA,44
2020-06-26,63,CONCEICAO DA FEIRA,44
2020-06-26,64,IPIRA,43
2020-06-26,65,ITAPEBI,42
2020-06-26,66,TEOLANDIA,41
2020-06-26,67,MURITIBA,41
2020-06-26,68,MAIRI,41
2020-06-26,69,JACOBINA,41
2020-06-26,70,FILADELFIA,41
2020-06-26,71,VALENTE,40
2020-06-26,72,MARAGOGIPE,40
2020-06-26,73,SANTA CRUZ CABRALIA,39
2020-06-26,74,IBIRAPITANGA,39
2020-06-26,75,RIACHAO DAS NEVES,38
2020-06-26,76,CANDIDO SALES,38
2020-06-26,77,CRUZ DAS ALMAS,38
2020-06-26,78,CASA NOVA,37
2020-06-26,79,FLORESTA AZUL,35
2020-06-26,80,ENTRE RIOS,35
2020-06-26,81,ALCOBACA,35
2020-06-26,82,UBATA,34
2020-06-26,83,SAO JOSE DA VITORIA,34
2020-06-26,84,CAATIBA,34
2020-06-26,85,UBAITABA,32
2020-06-26,86,ENCRUZILHADA,31
2020-06-26,87,CACHOEIRA,31
2020-06-26,88,PINTADAS,30
2020-06-26,89,ITAPETINGA,30
2020-06-26,90,GUARATINGA,30
2020-06-26,91,BELMONTE,30
2020-06-26,92,SAO GONCALO DOS CAMPOS,29
2020-06-26,93,SANTALUZ,29
2020-06-26,94,JAGUARARI,29
2020-06-26,95,AMELIA RODRIGUES,29
2020-06-26,96,ITABELA,28
2020-06-26,97,ITAPICURU,27
2020-06-26,98,ITANHEM,27
2020-06-26,99,QUEIMADAS,26
2020-06-26,100,CAMAMU,26
2020-06-26,101,RAFAEL JAMBEIRO,25
2020-06-26,102,UMBURANAS,24
2020-06-26,103,ITAPARICA,24
2020-06-26,104,CASTRO ALVES,24
2020-06-26,105,BOM JESUS DA LAPA,24
2020-06-26,106,WENCESLAU GUIMARAES,23
2020-06-26,107,PIRAI DO NORTE,23
2020-06-26,108,IBIRAPUA,23
2020-06-26,109,CONDE,23
2020-06-26,110,APORA,23
2020-06-26,111,ITAGIBA,22
2020-06-26,112,IGRAPIUNA,22
2020-06-26,113,ESPLANADA,22
2020-06-26,114,CARAVELAS,22
2020-06-26,115,MONTE SANTO,21
2020-06-26,116,COARACI,21
2020-06-26,117,RIACHAO DO JACUIPE,20
2020-06-26,118,NOVA SOURE,20
2020-06-26,119,MILAGRES,20
2020-06-26,120,MARACAS,20
2020-06-26,121,JAGUAQUARA,19
2020-06-26,122,RETIROLANDIA,18
2020-06-26,123,NOVA IBIA,18
2020-06-26,124,IBICUI,18
2020-06-26,125,SENTO SE,17
2020-06-26,126,PARIPIRANGA,17
2020-06-26,127,OLIVEIRA DOS BREJINHOS,17
2020-06-26,128,NAZARE,17
2020-06-26,129,CONCEICAO DO ALMEIDA,17
2020-06-26,130,RIO REAL,16
2020-06-26,131,QUIJINGUE,16
2020-06-26,132,LAPAO,16
2020-06-26,133,IBOTIRAMA,16
2020-06-26,134,IBIRATAIA,16
2020-06-26,135,GUANAMBI,16
2020-06-26,136,CALDEIRAO GRANDE,16
2020-06-26,137,BARRA,16
2020-06-26,138,AGUA FRIA,15
2020-06-26,139,SAO FELIX,15
2020-06-26,140,SAO DESIDERIO,15
2020-06-26,141,SAPEACU,15
2020-06-26,142,SANTO ESTEVAO,15
2020-06-26,143,PLANALTO,15
2020-06-26,144,PINDOBACU,15
2020-06-26,145,MARAU,15
2020-06-26,146,JITAUNA,15
2020-06-26,147,BURITIRAMA,15
2020-06-26,148,BUERAREMA,15
2020-06-26,149,VEREDA,14
2020-06-26,150,MANSIDAO,14
2020-06-26,151,GENTIO DO OURO,14
2020-06-26,152,APUAREMA,14
2020-06-26,153,URANDI,13
2020-06-26,154,SAO FELIPE,13
2020-06-26,155,SERROLANDIA,13
2020-06-26,156,RIACHO DE SANTANA,13
2020-06-26,157,PIRIPA,13
2020-06-26,158,MUQUEM DE SAO FRANCISCO,13
2020-06-26,159,CORACAO DE MARIA,13
2020-06-26,160,CAIRU,13
2020-06-26,161,TAPEROA,12
2020-06-26,162,SERRA PRETA,12
2020-06-26,163,ITORORO,12
2020-06-26,164,ITATIM,12
2020-06-26,165,ITAPE,12
2020-06-26,166,GLORIA,12
2020-06-26,167,AMERICA DOURADA,12
2020-06-26,168,UAUA,11
2020-06-26,169,SITIO DO QUINTO,11
2020-06-26,170,ITARANTIM,11
2020-06-26,171,CRISTOPOLIS,11
2020-06-26,172,CANSANCAO,11
2020-06-26,173,AMARGOSA,11
2020-06-26,174,ACAJUTIBA,11
2020-06-26,175,TUCANO,10
2020-06-26,176,SANTANOPOLIS,10
2020-06-26,177,SANTA TERESINHA,10
2020-06-26,178,NOVO TRIUNFO,10
2020-06-26,179,JANDAIRA,10
2020-06-26,180,BREJOES,10
2020-06-26,181,SANTA BRIGIDA,9
2020-06-26,182,SALINAS DA MARGARIDA,9
2020-06-26,183,GOVERNADOR MANGABEIRA,9
2020-06-26,184,EUCLIDES DA CUNHA,9
2020-06-26,185,CANDEAL,9
2020-06-26,186,ADUSTINA,9
2020-06-26,187,SAO DOMINGOS,8
2020-06-26,188,SAUBARA,8
2020-06-26,189,PRESIDENTE DUTRA,8
2020-06-26,190,NOVA CANAA,8
2020-06-26,191,MACAJUBA,8
2020-06-26,192,LAJE,8
2020-06-26,193,IRARA,8
2020-06-26,194,IACU,8
2020-06-26,195,CURACA,8
2020-06-26,196,CONDEUBA,8
2020-06-26,197,CABACEIRAS DO PARAGUACU,8
2020-06-26,198,TANQUINHO,7
2020-06-26,199,PAU BRASIL,7
2020-06-26,200,NILO PECANHA,7
2020-06-26,201,LAMARAO,7
2020-06-26,202,JAGUARIPE,7
2020-06-26,203,ITAETE,7
2020-06-26,204,CAEM,7
2020-06-26,205,BARRO PRETO,7
2020-06-26,206,ANTONIO GONCALVES,7
2020-06-26,207,VARZEA NOVA,6
2020-06-26,208,PONTO NOVO,6
2020-06-26,209,PINDAI,6
2020-06-26,210,OLINDINA,6
2020-06-26,211,MORTUGABA,6
2020-06-26,212,MIGUEL CALMON,6
2020-06-26,213,LIVRAMENTO DE NOSSA SENHORA,6
2020-06-26,214,ITUBERA,6
2020-06-26,215,ITAMBE,6
2020-06-26,216,CANDIBA,6
2020-06-26,217,CANARANA,6
2020-06-26,218,CAETITE,6
2020-06-26,219,BARROCAS,6
2020-06-26,220,BARRA DO CHOCA,6
2020-06-26,221,TEODORO SAMPAIO,5
2020-06-26,222,TABOCAS DO BREJO VELHO,5
2020-06-26,223,PIATA,5
2020-06-26,224,OURICANGAS,5
2020-06-26,225,NORDESTINA,5
2020-06-26,226,MUNIZ FERREIRA,5
2020-06-26,227,MORRO DO CHAPEU,5
2020-06-26,228,MACARANI,5
2020-06-26,229,LICINIO DE ALMEIDA,5
2020-06-26,230,ITAPITANGA,5
2020-06-26,231,IRAQUARA,5
2020-06-26,232,CAPELA DO ALTO ALEGRE,5
2020-06-26,233,CAMPO ALEGRE DE LOURDES,5
2020-06-26,234,ARACATU,5
2020-06-26,235,ANDORINHA,5
2020-06-26,236,ANAGE,5
2020-06-26,237,ALMADINA,5
2020-06-26,238,UNA,4
2020-06-26,239,SANTA RITA DE CASSIA,4
2020-06-26,240,SANTA LUZIA,4
2020-06-26,241,RIBEIRA DO AMPARO,4
2020-06-26,242,POTIRAGUA,4
2020-06-26,243,MACAUBAS,4
2020-06-26,244,LAJEDAO,4
2020-06-26,245,INHAMBUPE,4
2020-06-26,246,GONGOGI,4
2020-06-26,247,DOM MACEDO COSTA,4
2020-06-26,248,ANDARAI,4
2020-06-26,249,PILAO ARCADO,3
2020-06-26,250,MIRANGABA,3
2020-06-26,251,MASCOTE,3
2020-06-26,252,MAIQUINIQUE,3
