date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-26,CAPIM GROSSO,7,2,66,75,8,0.13,30662,244.60,1
2020-06-26,IRECE,17,3,46,66,1,0.12,72967,90.45,0
2020-06-26,MAIRI,9,0,37,46,0,0.08,18676,246.31,0
2020-06-26,XIQUE-XIQUE,4,2,27,33,0,0.06,46483,70.99,0
2020-06-26,CALDEIRAO GRANDE,3,0,21,24,5,0.04,13327,180.09,3
2020-06-26,CANARANA,8,0,13,21,0,0.04,26176,80.23,0
2020-06-26,LAPAO,5,1,12,18,3,0.03,27223,66.12,0
2020-06-26,SERROLANDIA,5,3,8,16,0,0.03,13397,119.43,1
2020-06-26,PRESIDENTE DUTRA,2,0,14,16,1,0.03,15142,105.67,0
2020-06-26,GENTIO DO OURO,1,0,13,14,4,0.03,11233,124.63,1
2020-06-26,MIGUEL CALMON,6,0,8,14,0,0.03,26023,53.80,0
2020-06-26,CAEM,5,0,7,12,1,0.02,9213,130.25,0
2020-06-26,AMERICA DOURADA,0,0,12,12,1,0.02,16094,74.56,0
2020-06-26,MORRO DO CHAPEU,4,0,5,9,0,0.02,35413,25.41,2
2020-06-26,QUIXABEIRA,4,1,3,8,0,0.01,8972,89.17,5
2020-06-26,VARZEA NOVA ,2,0,5,7,3,0.01,12697,55.13,0
2020-06-26,MULUNGU DO MORRO,2,0,4,6,0,0.01,10889,55.10,9
2020-06-26,IBIPEBA,0,0,5,5,0,0.01,18211,27.46,25
2020-06-26,MIRANGABA,0,0,5,5,0,0.01,18338,27.27,15
2020-06-26,SAO GABRIEL ,1,0,3,4,0,0.01,18793,21.28,10
2020-06-26,PIRITIBA,1,1,1,3,0,0.01,24755,12.12,21
2020-06-26,SAO JOSE DO JACUIPE,1,0,2,3,0,0.01,10462,28.68,16
2020-06-26,VARZEA DA ROCA,2,0,1,3,0,0.01,14104,21.27,12
2020-06-26,TAPIRAMUTA,2,0,0,2,0,0.00,17010,11.76,0
2020-06-26,BARRA DO MENDES,0,0,2,2,0,0.00,13865,14.42,18
2020-06-26,OUROLANDIA,0,0,2,2,0,0.00,17451,11.46,1
2020-06-26,UIBAI,0,0,1,1,0,0.00,13887,7.20,2
2020-06-26,TOTAL ,124,19,529,672,36,1
2020-06-26,TEIXEIRA DE FREITAS,231,17,768,1016,14,1.82,160487,633.07,0
2020-06-26,EUNAPOLIS,127,64,347,538,7,0.96,113380,474.51,0
2020-06-26,ITAMARAJU,62,26,366,454,12,0.81,64486,704.03,0
2020-06-26,PORTO SEGURO,205,2,88,295,0,0.53,148686,198.40,0
2020-06-26,MUCURI,19,6,105,130,6,0.23,41748,311.39,0
2020-06-26,NOVA VICOSA ,39,7,79,125,2,0.22,43376,288.18,0
2020-06-26,SANTA CRUZ CABRALIA,56,0,28,84,0,0.15,27778,302.40,1
2020-06-26,PRADO,29,14,37,80,1,0.14,28174,283.95,0
2020-06-26,MEDEIROS NETO,6,13,50,69,3,0.12,22688,304.13,0
2020-06-26,BELMONTE,26,1,29,56,0,0.10,23328,240.05,0
2020-06-26,IBIRAPUA,9,0,45,54,0,0.10,8637,625.22,1
2020-06-26,ITAPEBI,49,0,0,49,0,0.09,10259,477.63,0
2020-06-26,ITABELA,29,12,7,48,1,0.09,30584,156.94,0
2020-06-26,ALCOBACA,4,4,33,41,1,0.07,22470,182.47,0
2020-06-26,ITANHEM,11,13,13,37,1,0.07,19405,190.67,0
2020-06-26,GUARATINGA,18,8,7,33,0,0.06,20843,158.33,0
2020-06-26,VEREDA,22,0,6,28,0,0.05,6205,451.25,1
2020-06-26,CARAVELAS,13,0,12,25,5,0.04,22016,113.55,0
2020-06-26,LAJEDAO,8,0,0,8,0,0.01,3955,202.28,1
2020-06-26,TOTAL ,963,187,2020,3170,53,6
2020-06-26,SALVADOR,25382,688,1596,27666,47,49.60,2872347,963.18,0
2020-06-26,LAURO DE FREITAS,1020,14,188,1222,11,2.19,198440,615.80,0
2020-06-26,CAMACARI,652,81,372,1105,17,1.98,299132,369.40,0
2020-06-26,SIMOES FILHO ,288,28,373,689,11,1.24,134377,512.74,0
2020-06-26,CANDEIAS,250,110,229,589,15,1.06,87076,676.42,0
2020-06-26,SANTO ANTONIO DE JESUS,211,2,132,345,3,0.62,101512,339.86,0
2020-06-26,DIAS DAVILA ,136,17,74,227,2,0.41,81089,279.94,0
2020-06-26,SAO FRANCISCO DO CONDE,87,0,116,203,4,0.36,39802,510.02,0
2020-06-26,POJUCA,83,0,98,181,2,0.32,39519,458.01,0
2020-06-26,MADRE DE DEUS,100,4,59,163,20,0.29,21093,772.77,0
2020-06-26,SAO SEBASTIAO DO PASSE,68,0,75,143,15,0.26,44300,322.80,0
2020-06-26,MATA DE SAO JOAO,107,9,19,135,0,0.24,46583,289.81,0
2020-06-26,SANTO AMARO ,118,0,8,126,1,0.23,60069,209.76,0
2020-06-26,CRUZ DAS ALMAS,63,0,15,78,1,0.14,63239,123.34,2
2020-06-26,CONCEICAO DA FEIRA,33,0,41,74,0,0.13,22581,327.71,1
2020-06-26,VERA CRUZ ,64,1,2,67,2,0.12,43223,155.01,0
2020-06-26,MARAGOGIPE,61,0,5,66,0,0.12,44677,147.73,1
2020-06-26,ITAPARICA,28,3,32,63,2,0.11,22228,283.43,1
2020-06-26,MURITIBA,32,0,26,58,0,0.10,29399,197.29,0
2020-06-26,PRESIDENTE TANCREDO NEVES,14,1,38,53,3,0.10,27719,191.20,0
2020-06-26,CASTRO ALVES,6,7,39,52,0,0.09,26264,197.99,0
2020-06-26,MILAGRES,19,0,32,51,2,0.09,10950,465.75,1
2020-06-26,CACHOEIRA,40,0,5,45,0,0.08,33470,134.45,1
2020-06-26,ITATIM,10,5,20,35,0,0.06,14487,241.60,1
2020-06-26,CONDE,20,0,14,34,1,0.06,25837,131.59,2
2020-06-26,SAUBARA,22,3,8,33,0,0.06,12043,274.02,1
2020-06-26,AMARGOSA,22,1,6,29,0,0.05,37241,77.87,0
2020-06-26,NAZARE,21,0,4,25,2,0.04,28525,87.64,0
2020-06-26,CONCEICAO DO ALMEIDA,16,0,9,25,0,0.04,17247,144.95,1
2020-06-26,SANTA TERESINHA,4,1,17,22,0,0.04,10405,211.44,1
2020-06-26,SAPEACU,20,0,2,22,0,0.04,17398,126.45,0
2020-06-26,MUTUIPE,10,2,10,22,0,0.04,22221,99.01,2
2020-06-26,JAGUARIPE,2,0,17,19,0,0.03,18788,101.13,1
2020-06-26,SAO FELIX ,11,0,8,19,0,0.03,14740,128.90,0
2020-06-26,LAJE,7,4,5,16,0,0.03,23840,67.11,5
2020-06-26,GOVERNADOR MANGABEIRA,11,3,2,16,0,0.03,20722,77.21,1
2020-06-26,SAO FELIPE ,10,0,5,15,0,0.03,21074,71.18,0
2020-06-26,SALINAS DA MARGARIDA,4,0,9,13,0,0.02,15667,82.98,9
2020-06-26,CABACEIRAS DO PARAGUACU,9,1,1,11,1,0.02,18807,58.49,2
2020-06-26,MUNIZ FERREIRA,4,0,5,9,0,0.02,7422,121.26,0
2020-06-26,VARZEDO,4,0,1,5,0,0.01,8838,56.57,9
2020-06-26,DOM MACEDO COSTA,2,0,2,4,0,0.01,4058,98.57,1
2020-06-26,SAO MIGUEL DAS MATAS,1,1,0,2,0,0.00,11675,17.13,16
2020-06-26,ARATUIPE,1,0,0,1,0,0.00,8825,11.33,28
2020-06-26,JIQUIRICA,1,0,0,1,0,0.00,14537,6.88,33
2020-06-26,ELISIO MEDRADO,0,1,0,1,0,0.00,8122,12.31,0
2020-06-26,UBAIRA,1,0,0,1,1,0.00,19895,5.03,12
2020-06-26,NOVA ITARANA,1,0,0,1,0,0.00,8226,12.16,0
2020-06-26,TOTAL ,29076,987,3719,33782,163,61
2020-06-26,ALAGOINHAS,258,1,92,351,0,0.63,151596,231.54,0
2020-06-26,CATU,68,1,157,226,3,0.41,54704,413.13,0
2020-06-26,RIBEIRA DO POMBAL,67,4,10,81,0,0.15,53807,150.54,0
