date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-23,FEIRA DE SANTANA,1405,3,76,1484,143,3.08,614872,241.35,0
2020-06-23,SERRINHA,110,3,72,185,0,0.38,80861,228.79,0
2020-06-23,CONCEICAO DO JACUIPE,146,0,1,147,50,0.31,33153,443.40,0
2020-06-23,TEOFILANDIA,31,0,110,141,0,0.29,22518,626.17,0
2020-06-23,ITABERABA,51,1,80,132,0,0.27,64489,204.69,0
2020-06-23,ARACI,47,0,75,122,12,0.25,54379,224.35,0
2020-06-23,VALENTE,32,0,71,103,0,0.21,28473,361.75,0
2020-06-23,CONCEICAO DO COITE,37,1,52,90,0,0.19,66612,135.11,0
2020-06-23,SANTA BARBARA,89,0,1,90,0,0.19,20791,432.88,0
2020-06-23,RUY BARBOSA ,14,2,40,56,0,0.12,30814,181.74,0
2020-06-23,IPIRA,52,0,3,55,0,0.11,59595,92.29,1
2020-06-23,AMELIA RODRIGUES,40,0,14,54,6,0.11,25102,215.12,0
2020-06-23,ITAETE,0,0,46,46,0,0.10,16056,286.50,2
2020-06-23,SAO GONCALO DOS CAMPOS,22,0,19,41,0,0.09,37550,109.19,1
2020-06-23,SANTALUZ,17,0,24,41,0,0.09,37348,109.78,0
2020-06-23,IACU,25,0,11,36,0,0.07,24305,148.12,0
2020-06-23,RAFAEL JAMBEIRO,31,0,4,35,0,0.07,22621,154.72,0
2020-06-23,BARROCAS,17,1,15,33,0,0.07,15978,206.53,4
2020-06-23,MONTE SANTO ,26,0,7,33,0,0.07,49418,66.78,1
2020-06-23,QUEIMADAS,24,0,7,31,0,0.06,25439,121.86,0
2020-06-23,TERRA NOVA ,27,1,2,30,2,0.06,13033,230.18,0
2020-06-23,CANSANCAO,12,1,15,28,2,0.06,34834,80.38,2
2020-06-23,PINTADAS,25,0,3,28,0,0.06,10437,268.28,0
2020-06-23,RETIROLANDIA,18,0,9,27,0,0.06,14396,187.55,1
2020-06-23,AGUA FRIA ,19,4,2,25,0,0.05,16970,147.32,0
2020-06-23,SANTO ESTEVAO,13,0,12,25,1,0.05,52850,47.30,0
2020-06-23,RIACHAO DO JACUIPE,11,0,13,24,0,0.05,33436,71.78,0
2020-06-23,CORACAO DE MARIA,20,0,3,23,0,0.05,22605,101.75,2
2020-06-23,ANGUERA,23,0,0,23,0,0.05,11221,204.97,17
2020-06-23,SEABRA,16,0,7,23,0,0.05,44091,52.16,3
2020-06-23,NORDESTINA,10,3,4,17,0,0.04,13130,129.47,3
2020-06-23,SAO DOMINGOS,12,0,5,17,0,0.04,9058,187.68,7
2020-06-23,SERRA PRETA ,15,0,1,16,0,0.03,14878,107.54,0
2020-06-23,EUCLIDES DA CUNHA,11,0,5,16,0,0.03,60585,26.41,0
2020-06-23,SANTANOPOLI S,16,0,0,16,0,0.03,8943,178.91,2
2020-06-23,TUCANO,8,0,7,15,0,0.03,50687,29.59,9
2020-06-23,LAMARAO,6,3,6,15,0,0.03,8307,180.57,12
2020-06-23,TANQUINHO,7,2,5,14,0,0.03,7918,176.81,2
2020-06-23,QUIJINGUE,7,0,7,14,1,0.03,27580,50.76,2
2020-06-23,IRARA,13,0,1,14,1,0.03,29034,48.22,0
2020-06-23,CANDEAL,12,0,1,13,0,0.03,8258,157.42,0
2020-06-23,PIATA,1,0,6,7,0,0.01,17123,40.88,9
2020-06-23,MARCIONILIO SOUZA,5,0,2,7,0,0.01,10406,67.27,12
2020-06-23,IBITIARA,2,1,4,7,0,0.01,16339,42.84,6
2020-06-23,ANTONIO CARDOSO,2,0,4,6,0,0.01,11683,51.36,7
2020-06-23,ABAIRA,3,2,0,5,0,0.01,8739,57.21,39
2020-06-23,TEODORO SAMPAIO,4,0,1,5,0,0.01,7425,67.34,1
2020-06-23,ANDARAI,2,0,3,5,0,0.01,13143,38.04,1
