date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-07-24,FEIRA DE SANTANA,5840,2,931,6773,219,4.84,614872,1101.53,0
2020-07-24,ITABERABA,200,23,470,693,18,0.50,64489,1074.60,0
2020-07-24,CONCEICAO DO COITE,382,1,263,646,29,0.46,66612,969.80,0
2020-07-24,ARACI,245,0,336,581,17,0.42,54379,1068.43,0
2020-07-24,SERRINHA,248,0,253,501,2,0.36,80861,619.58,0
2020-07-24,SAO GONCALO DOS CAMPOS,78,0,226,304,0,0.22,37550,809.59,0
2020-07-24,CONCEICAO DO JACUIPE,229,0,48,277,2,0.20,33153,835.52,0
2020-07-24,VALENTE,59,0,174,233,1,0.17,28473,818.32,14
2020-07-24,QUEIMADAS,71,0,156,227,4,0.16,25439,892.33,0
2020-07-24,SANTA BARBARA,190,0,28,218,0,0.16,20791,1048.53,0
2020-07-24,RIACHAO DO JACUIPE,57,0,156,213,0,0.15,33436,637.04,0
2020-07-24,SANTO ESTEVAO,151,0,46,197,0,0.14,52850,372.75,0
2020-07-24,AMELIA RODRIGUES,146,0,47,193,0,0.14,25102,768.86,0
2020-07-24,TEOFILANDIA,50,0,137,187,0,0.13,22518,830.45,0
2020-07-24,SANTALUZ,40,0,133,173,1,0.12,37348,463.21,0
2020-07-24,TANQUINHO,17,1,148,166,1,0.12,7918,2096.49,0
2020-07-24,IRAQUARA,11,0,150,161,0,0.12,25216,638.48,0
2020-07-24,IPIRA,142,0,17,159,13,0.11,59595,266.80,0
2020-07-24,RUY BARBOSA,25,0,131,156,5,0.11,30814,506.26,0
2020-07-24,SERRA PRETA,56,0,82,138,1,0.10,14878,927.54,0
2020-07-24,RAFAEL JAMBEIRO,104,0,32,136,1,0.10,22621,601.21,0
2020-07-24,CORACAO DE MARIA,58,2,76,136,1,0.10,22605,601.64,0
2020-07-24,MONTE SANTO,41,0,93,134,6,0.10,49418,271.16,0
2020-07-24,RETIROLANDIA,75,0,58,133,1,0.10,14396,923.87,0
2020-07-24,SOUTO SOARES,7,0,105,112,4,0.08,16979,659.64,0
2020-07-24,TERRA NOVA,74,1,32,107,1,0.08,13033,820.99,0
2020-07-24,PINTADAS,56,0,49,105,0,0.08,10437,1006.04,0
2020-07-24,IACU,55,0,45,100,1,0.07,24305,411.44,0
2020-07-24,LENCOIS,8,0,91,99,2,0.07,11409,867.74,0
2020-07-24,TUCANO,42,1,53,96,8,0.07,50687,189.40,0
2020-07-24,CANSANCAO,28,0,63,91,0,0.07,34834,261.24,0
2020-07-24,NORDESTINA,17,1,55,73,4,0.05,13130,555.98,0
