1,SALVADOR,2879
2,FEIRA DE SANTANA,623
3,ILHEUS,408
4,ITABUNA,397
5,JEQUIE,368
6,CAMACARI,319
7,LAURO DE FREITAS,237
8,ALAGOINHAS,230
9,VITORIA DA CONQUISTA,208
10,BARREIRAS,147
11,JUAZEIRO,142
12,PORTO SEGURO,120
13,EUNAPOLIS,117
14,SANTO ANTONIO DE JESUS,114
15,ITABERABA,113
16,CANDEIAS,107
17,SANTO AMARO,90
18,LUIS EDUARDO MAGALHAES,89
19,CATU,87
20,CONCEICAO DO COITE,86
21,CONCEICAO DO ALMEIDA,78
22,SIMOES FILHO,77
23,CAMACAN,75
24,ARACI,74
25,DIAS DAVILA,72
26,JAGUAQUARA,68
27,SAO SEBASTIAO DO PASSE,67
28,MADRE DE DEUS,66
29,SANTO ESTEVAO,64
30,CAMPO FORMOSO,60
31,IPIAU,58
32,ITAPETINGA,57
33,BRUMADO,55
34,MARACAS,53
35,CAFARNAUM,52
36,IBIRATAIA,51
37,CASA NOVA,51
38,CAMAMU,50
39,IRECE,49
40,POJUCA,48
41,GENTIO DO OURO,48
42,CAPIM GROSSO,48
43,CACHOEIRA,48
44,CRUZ DAS ALMAS,47
45,TEIXEIRA DE FREITAS,46
46,PAULO AFONSO,46
47,ITAPE,45
48,UBATA,44
49,MARAGOGIPE,44
50,LENCOIS,44
51,CRISOPOLIS,44
52,MEDEIROS NETO,43
53,SAO FRANCISCO DO CONDE,42
54,GANDU,41
55,ARATACA,41
56,PARIPIRANGA,40
57,ITAMARAJU,40
58,POCOES,39
59,MATA DE SAO JOAO,39
60,TAPEROA,38
61,IBICARAI,38
62,ALMADINA,38
63,DARIO MEIRA,37
64,ITABELA,36
65,CORACAO DE MARIA,36
66,CIPO,36
67,ITACARE,35
68,AMELIA RODRIGUES,35
69,VERA CRUZ,34
70,SERRINHA,34
71,SANTA CRUZ CABRALIA,34
72,VALENCA,33
73,SAO FELIPE,33
74,RIBEIRA DO POMBAL,33
75,OUROLANDIA,33
76,JITAUNA,33
77,MUCURI,32
78,ARAMARI,32
79,SOBRADINHO,31
80,ITAPICURU,31
81,FILADELFIA,31
82,AURELINO LEAL,31
83,RIO REAL,30
84,PRESIDENTE JANIO QUADROS,30
85,CORONEL JOAO SA,30
86,SENHOR DO BONFIM,29
87,MARAU,29
88,CONCEICAO DA FEIRA,28
89,RETIROLANDIA,27
90,JACOBINA,27
91,ITORORO,27
92,TANQUINHO,26
93,SAO GONCALO DOS CAMPOS,26
94,NILO PECANHA,26
95,JAGUARARI,26
96,ITAJUIPE,26
97,SAPEACU,25
98,ITAPARICA,25
99,FLORESTA AZUL,25
100,CONCEICAO DO JACUIPE,25
101,AMARGOSA,25
102,URUCUCA,24
103,SERRA PRETA,23
104,SEABRA,23
105,PRESIDENTE TANCREDO NEVES,23
106,IACU,23
107,BUERAREMA,23
108,URANDI,22
109,RUY BARBOSA,22
110,PINDOBACU,22
111,NOVA SOURE,22
112,NAZARE,22
113,JAGUARIPE,22
114,BANZAE,22
115,UNA,21
116,INHAMBUPE,21
117,WENCESLAU GUIMARAES,20
118,RAFAEL JAMBEIRO,20
119,PIRAI DO NORTE,20
120,IPIRA,20
121,CONDE,20
122,ANTAS,20
123,SAO DESIDERIO,19
124,PLANALTO,19
125,MURITIBA,19
126,IRAQUARA,19
127,AIQUARA,19
128,PRADO,18
129,LAJE,18
130,BOM JESUS DA LAPA,18
131,BARRA,18
132,TREMEDAL,17
133,SAO FELIX,17
134,SANTA LUZIA,17
135,GUANAMBI,17
136,ESPLANADA,17
137,ENTRE RIOS,17
138,ABARE,17
139,UBAITABA,16
140,TEOLANDIA,16
141,SALINAS DA MARGARIDA,16
142,MONTE SANTO,16
143,CURACA,16
144,BARRO PRETO,16
145,QUEIMADAS,15
146,OLINDINA,15
147,MACURURE,15
148,ITARANTIM,15
149,IGUAI,15
150,IBICUI,15
151,VALENTE,14
152,SANTA BARBARA,14
153,ITUBERA,14
154,IPECAETA,14
155,IBIRAPITANGA,14
156,CAIRU,14
157,BARRA DO CHOCA,14
