date,id,municipio,total_obitos_munres
2020-07-30,2,ADUSTINA,1
2020-07-30,3,AGUA FRIA,1
2020-07-30,4,AIQUARA,3
2020-07-30,5,ALAGOINHAS,31
2020-07-30,6,ALCOBACA,2
2020-07-30,7,ALMADINA,1
2020-07-30,8,AMARGOSA,6
2020-07-30,9,AMELIA RODRIGUES,2
2020-07-30,10,ANAGE,1
2020-07-30,11,ANDORINHA,1
2020-07-30,12,ANTONIO GONCALVES,1
2020-07-30,13,APORA,2
2020-07-30,14,ARACI,4
2020-07-30,15,ARATACA,1
2020-07-30,16,ARATUIPE,1
2020-07-30,17,AURELINO LEAL,2
2020-07-30,18,BARRA,2
2020-07-30,19,BARRA DO CHOCA,2
2020-07-30,20,BARREIRAS,18
2020-07-30,21,BARRO PRETO,3
2020-07-30,22,BELMONTE,1
2020-07-30,23,BOA NOVA,1
2020-07-30,24,BONITO,1
2020-07-30,25,BRUMADO,3
2020-07-30,26,BUERAREMA,9
2020-07-30,27,BURITIRAMA,1
2020-07-30,28,CABACEIRAS DO PARAGUACU,1
2020-07-30,29,CACHOEIRA,5
2020-07-30,30,CACULE*,1
2020-07-30,31,CAETITE,2
2020-07-30,32,CAIRU,3
2020-07-30,33,CALDEIRAO GRANDE,1
2020-07-30,34,CAMACAN,17
2020-07-30,35,CAMACARI*,56
2020-07-30,36,CAMAMU*,9
2020-07-30,37,CAMPO ALEGRE DE LOURDES,2
2020-07-30,38,CAMPO FORMOSO,5
2020-07-30,39,CANARANA,1
2020-07-30,40,CANAVIEIRAS,3
2020-07-30,41,CANDEIAS*,34
2020-07-30,42,CANDIDO SALES,5
2020-07-30,43,CANSANCAO,2
2020-07-30,44,CANUDOS,2
2020-07-30,45,CAPIM GROSSO,4
2020-07-30,46,CARDEAL DA SILVA,1
2020-07-30,47,CARINHANHA,2
2020-07-30,48,CASA NOVA,6
2020-07-30,49,CASTRO ALVES,3
2020-07-30,50,CATU,6
2020-07-30,51,CICERO DANTAS,1
2020-07-30,52,COARACI,5
2020-07-30,53,CONCEICAO DA FEIRA,2
2020-07-30,54,CONCEICAO DO ALMEIDA,2
2020-07-30,55,CONCEICAO DO COITE,3
2020-07-30,56,CONCEICAO DO JACUIPE,1
2020-07-30,57,CONDE,4
2020-07-30,58,CONDEUBA,1
2020-07-30,59,CORACAO DE MARIA,1
2020-07-30,60,CORDEIROS,1
2020-07-30,61,CORIBE,1
2020-07-30,62,COTEGIPE,2
2020-07-30,63,CRISOPOLIS,1
2020-07-30,64,CRUZ DAS ALMAS,4
2020-07-30,65,CURACA,1
2020-07-30,66,DARIO MEIRA,3
2020-07-30,67,DIAS DAVILA,18
2020-07-30,68,ENTRE RIOS,1
2020-07-30,69,ESPLANADA,1
2020-07-30,70,EUCLIDES DA CUNHA,5
2020-07-30,71,EUNAPOLIS,21
2020-07-30,72,FEIRA DE SANTANA,94
2020-07-30,73,FILADELFIA,2
2020-07-30,74,FLORESTA AZUL,2
2020-07-30,75,GANDU,16
2020-07-30,76,GLORIA,3
2020-07-30,77,GONGOGI,2
2020-07-30,78,GOVERNADOR MANGABEIRA,1
2020-07-30,79,GUARATINGA,2
2020-07-30,80,IACU,6
2020-07-30,81,IBICARAI,4
2020-07-30,82,IBIRAPITANGA,4
2020-07-30,83,IBIRAPUA,2
2020-07-30,84,IBIRATAIA,2
2020-07-30,85,IBITIARA,1
2020-07-30,86,IBITITA,1
2020-07-30,87,IBOTIRAMA,4
2020-07-30,88,ICHU,1
2020-07-30,89,IGAPORA,1
2020-07-30,90,IGRAPIUNA,3
2020-07-30,91,IGUAI,10
2020-07-30,92,ILHEUS,117
2020-07-30,93,INHAMBUPE,2
2020-07-30,94,IPECAETA,2
2020-07-30,95,IPIAU *,14
2020-07-30,96,IPIRA,3
2020-07-30,97,IRARA,1
2020-07-30,98,IRECE,6
2020-07-30,99,ITABELA,3
2020-07-30,100,ITABERABA,19
2020-07-30,101,ITABUNA,119
2020-07-30,102,ITACARE,6
2020-07-30,103,ITAETE,1
2020-07-30,104,ITAGIBA,5
2020-07-30,105,ITAJUIPE,11
2020-07-30,106,ITAMARAJU,19
2020-07-30,107,ITAMARI,1
2020-07-30,108,ITANAGRA,1
2020-07-30,109,ITANHEM,6
2020-07-30,110,ITAPARICA,7
