date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-08-11,FEIRA DE SANTANA,7753,3,1532,9288,101,4.75,614872.0,1510.56,0.0,366.0,140.0,0.0
2020-08-11,CONCEICAO DO COITE,707,1,540,1248,8,0.64,66612.0,1873.54,0.0,83.0,6.0,3.0
2020-08-11,ITABERABA,387,27,791,1205,28,0.62,64489.0,1868.54,0.0,71.0,24.0,19.0
2020-08-11,ARACI,363,0,402,765,5,0.39,54379.0,1406.79,0.0,50.0,6.0,1.0
2020-08-11,SERRINHA,322,0,392,714,4,0.37,80861.0,883.0,0.0,21.0,7.0,2.0
2020-08-11,SAO GONCALO DOS CAMPOS,123,0,280,403,5,0.21,37550.0,1073.24,0.0,18.0,5.0,3.0
2020-08-11,CONCEICAO DO JACUIPE,341,0,50,391,0,0.2,33153.0,1179.38,0.0,43.0,1.0,1.0
2020-08-11,SANTO ESTEVAO,308,0,72,380,6,0.19,52850.0,719.02,0.0,90.0,4.0,0.0
2020-08-11,RIACHAO DO JACUIPE,107,0,221,328,4,0.17,33436.0,980.98,0.0,7.0,3.0,1.0
2020-08-11,QUEIMADAS,81,1,231,313,3,0.16,25439.0,1230.39,2.0,8.0,2.0,0.0
2020-08-11,VALENTE,86,0,192,278,1,0.14,28473.0,976.36,0.0,17.0,4.0,0.0
2020-08-11,SANTALUZ,66,0,194,260,2,0.13,37348.0,696.16,0.0,28.0,6.0,5.0
2020-08-11,TANQUINHO,27,1,232,260,0,0.13,7918.0,3283.66,0.0,10.0,2.0,1.0
2020-08-11,SANTA BARBARA,205,0,40,245,0,0.13,20791.0,1178.39,0.0,6.0,2.0,0.0
2020-08-11,TUCANO,109,2,134,245,6,0.13,50687.0,483.36,0.0,36.0,1.0,0.0
2020-08-11,IPIRA,218,0,27,245,8,0.13,59595.0,411.11,0.0,19.0,3.0,1.0
2020-08-11,IRARA,70,0,165,235,1,0.12,29034.0,809.4,0.0,102.0,2.0,0.0
2020-08-11,AMELIA RODRIGUES,179,0,52,231,2,0.12,25102.0,920.25,0.0,13.0,2.0,2.0
2020-08-11,TEOFILANDIA,64,0,146,210,0,0.11,22518.0,932.59,0.0,12.0,1.0,0.0
2020-08-11,MACAJUBA,21,0,186,207,0,0.11,11348.0,1824.11,2.0,4.0,0.0,0.0
2020-08-11,RETIROLANDIA,132,0,74,206,0,0.11,14396.0,1430.95,1.0,25.0,0.0,0.0
2020-08-11,RUY BARBOSA,32,0,162,194,1,0.1,30814.0,629.58,0.0,5.0,2.0,1.0
2020-08-11,IRAQUARA,19,0,168,187,1,0.1,25216.0,741.59,3.0,3.0,0.0,0.0
2020-08-11,SERRA PRETA,86,0,100,186,0,0.1,14878.0,1250.17,1.0,5.0,6.0,3.0
