date,id,municipio,total_obitos_munocor
2020-07-13,2,AMARGOSA,2
2020-07-13,3,AMELIA RODRIGUES,1
2020-07-13,4,ANAGE,1
2020-07-13,5,APORA,1
2020-07-13,6,ARACAJU,2
2020-07-13,7,ARACI,1
2020-07-13,8,ARARIPINA,3
2020-07-13,9,BARRA DO CHOCA,2
2020-07-13,10,BARREIRAS,13
2020-07-13,11,BARRETOS,1
2020-07-13,12,BRUMADO,1
2020-07-13,13,CALDEIRAO GRANDE,1
2020-07-13,14,CAMACAN,6
2020-07-13,15,CAMACARI,27
2020-07-13,16,CAMAMU,1
2020-07-13,17,CAMPO FORMOSO,1
2020-07-13,18,CANAVIEIRAS,1
2020-07-13,19,CANDEIAS,10
2020-07-13,20,CANDIDO SALES,2
2020-07-13,21,CANSANCAO,1
2020-07-13,22,CANUDOS,1
2020-07-13,23,CAPIM GROSSO,2
2020-07-13,24,CARDEAL DA SILVA,1
2020-07-13,25,CASA NOVA,1
2020-07-13,26,CASTRO ALVES,2
2020-07-13,27,CATU,1
2020-07-13,28,CONCEICAO DA FEIRA,1
2020-07-13,29,CONDE,1
2020-07-13,30,CRUZ DAS ALMAS,1
2020-07-13,31,DIAS DAVILA,3
2020-07-13,32,EUNAPOLIS,10
2020-07-13,33,FEIRA DE SANTANA,59
2020-07-13,34,FILADELFIA,1
2020-07-13,35,FLORIANO,1
2020-07-13,36,GANDU,10
2020-07-13,37,GUAMARE*,1
2020-07-13,38,IACU,4
2020-07-13,39,IBICARAI,1
2020-07-13,40,IBIRAPITANGA,2
2020-07-13,41,IBIRATAIA,2
2020-07-13,42,IGRAPIUNA,1
2020-07-13,43,IGUAI,1
2020-07-13,44,ILHEUS*,113
2020-07-13,45,IPECAETA,1
2020-07-13,46,IPIAU *,5
2020-07-13,47,IPIRA,1
2020-07-13,48,IRECE,1
2020-07-13,49,ITABELA,1
2020-07-13,50,ITABERABA,6
2020-07-13,51,ITABUNA,114
2020-07-13,52,ITACARE,1
2020-07-13,53,ITAJUIPE,2
2020-07-13,54,ITAMARAJU,9
2020-07-13,55,ITANHEM,1
2020-07-13,56,ITAPARICA,2
2020-07-13,57,ITAPEBI,1
2020-07-13,58,ITAPETINGA,4
2020-07-13,59,ITUBERA,2
2020-07-13,60,JACOBINA,1
2020-07-13,61,JEQUIE*,54
2020-07-13,62,JOAO DOURADO,1
2020-07-13,63,JUAZEIRO,36
2020-07-13,64,LAURO DE FREITAS*,43
2020-07-13,65,MANOEL VITORINO,1
2020-07-13,66,MARACAS,1
2020-07-13,67,MARAGOGIPE,1
2020-07-13,68,MEDEIROS NETO,1
2020-07-13,69,MILAGRES,1
2020-07-13,70,MONTE SANTO,1
2020-07-13,71,MUCURI,2
2020-07-13,72,MULUNGU DO MORRO,1
2020-07-13,73,NAZARE,2
2020-07-13,74,NOVA IBIA,2
2020-07-13,75,NOVA VICOSA,2
2020-07-13,76,PAULO AFONSO,9
2020-07-13,77,PETROLINA,6
2020-07-13,78,PILAO ARCADO*,1
2020-07-13,79,PINDOBACU,1
2020-07-13,80,POCOES,1
2020-07-13,81,POJUCA,1
2020-07-13,82,PORTO SEGURO,12
2020-07-13,83,PRADO,2
2020-07-13,84,PRESIDENTE TANCREDO NEVES,2
2020-07-13,85,RECIFE,1
2020-07-13,86,REMANSO,11
2020-07-13,87,RIACHAO DO JACUIPE,1
2020-07-13,88,RIBEIRA DO POMBAL,1
2020-07-13,89,RIO DO PIRES,1
2020-07-13,90,RUY BARBOSA,1
2020-07-13,91,SALGUEIRO,1
2020-07-13,92,SALVADOR*,1683
2020-07-13,93,SANTA MARIA DA VITORIA,1
2020-07-13,94,SANTA RITA DE CASSIA,1
2020-07-13,95,SANTA TERESINHA,1
2020-07-13,96,SANTALUZ,3
2020-07-13,97,SANTO ANTONIO DE JESUS,17
2020-07-13,98,SAO FELIX,3
2020-07-13,99,SAO FRANCISCO DO CONDE,1
2020-07-13,100,SAO GONCALO DOS CAMPOS,3
2020-07-13,101,SAO SEBASTIAO DO PASSE,3
2020-07-13,102,SEABRA,2
2020-07-13,103,SENHOR DO BONFIM,1
2020-07-13,104,SERRA PRETA,1
2020-07-13,105,SERRINHA,2
2020-07-13,106,SIMOES FILHO,23
2020-07-13,107,SOBRADINHO,3
2020-07-13,108,TEIXEIRA DE FREITAS,32
2020-07-13,109,TOBIAS BARRETO,1
2020-07-13,110,UBAITABA,1
2020-07-13,111,URUCUCA,2
2020-07-13,112,UTINGA,1
2020-07-13,113,VALENCA,20
2020-07-13,114,VALENCA,1
2020-07-13,115,VARZEA DA ROCA,1
2020-07-13,116,VERA CRUZ,1
2020-07-13,117,VITORIA DA CONQUISTA,62
2020-07-13,1,SALVADOR,43210
