date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-07-01,FEIRA DE SANTANA,2915,4,370,3289,273,4.42,614872.0,534.91,0.0,1066.0,49.0,44.0
2020-07-01,SERRINHA,138,3,127,268,4,0.36,80861.0,331.43,0.0,85.0,3.0,2.0
2020-07-01,ITABERABA,73,6,185,264,12,0.35,64489.0,409.37,0.0,126.0,9.0,5.0
2020-07-01,ARACI,72,0,152,224,16,0.3,54379.0,411.92,0.0,99.0,1.0,1.0
2020-07-01,VALENTE,79,0,138,217,0,0.29,28473.0,762.13,0.0,79.0,3.0,0.0
2020-07-01,CONCEICAO DO COITE,85,1,104,190,2,0.26,66612.0,285.23,0.0,80.0,0.0,0.0
2020-07-01,CONCEICAO DO JACUIPE,137,0,24,161,0,0.22,33153.0,485.63,6.0,74.0,0.0,0.0
2020-07-01,TEOFILANDIA,33,0,112,145,0,0.19,22518.0,643.93,0.0,0.0,0.0,0.0
2020-07-01,SANTA BARBARA,128,0,6,134,20,0.18,20791.0,644.51,0.0,50.0,0.0,0.0
2020-07-01,SAO GONCALO DOS CAMPOS,46,0,82,128,20,0.17,37550.0,340.88,0.0,57.0,2.0,2.0
2020-07-01,AMELIA RODRIGUES,68,0,24,92,4,0.12,25102.0,366.5,0.0,38.0,0.0,0.0
2020-07-01,RUY BARBOSA,19,0,68,87,8,0.12,30814.0,282.34,0.0,53.0,1.0,1.0
2020-07-01,PINTADAS,39,0,41,80,1,0.11,10437.0,766.5,1.0,50.0,0.0,0.0
2020-07-01,IPIRA,65,0,9,74,2,0.1,59595.0,124.17,0.0,29.0,2.0,1.0
2020-07-01,MONTE SANTO,34,0,37,71,2,0.1,49418.0,143.67,0.0,26.0,2.0,1.0
2020-07-01,SANTALUZ,21,0,48,69,5,0.09,37348.0,184.75,1.0,34.0,1.0,1.0
2020-07-01,RIACHAO DO JACUIPE,30,0,35,65,8,0.09,33436.0,194.4,0.0,12.0,2.0,1.0
2020-07-01,TERRA NOVA,53,1,11,65,2,0.09,13033.0,498.73,0.0,38.0,1.0,0.0
2020-07-01,RAFAEL JAMBEIRO,49,0,15,64,2,0.09,22621.0,282.92,0.0,21.0,0.0,0.0
2020-07-01,QUEIMADAS,40,0,18,58,2,0.08,25439.0,228.0,0.0,37.0,0.0,0.0
2020-07-01,RETIROLANDIA,23,0,33,56,0,0.08,14396.0,389.0,0.0,29.0,0.0,0.0
2020-07-01,NORDESTINA,11,0,44,55,0,0.07,13130.0,418.89,0.0,31.0,0.0,0.0
2020-07-01,CORACAO DE MARIA,30,2,22,54,0,0.07,22605.0,238.89,0.0,20.0,0.0,0.0
2020-07-01,IRAQUARA,4,0,45,49,24,0.07,25216.0,194.32,0.0,45.0,0.0,0.0
2020-07-01,ITAETE,0,0,47,47,1,0.06,16056.0,292.73,4.0,1.0,0.0,0.0
2020-07-01,SANTO ESTEVAO,23,0,20,43,1,0.06,52850.0,81.36,0.0,19.0,1.0,0.0
2020-07-01,IACU,27,0,15,42,1,0.06,24305.0,172.8,0.0,2.0,4.0,4.0
2020-07-01,CANSANCAO,18,1,18,37,17,0.05,34834.0,106.22,0.0,8.0,2.0,1.0
2020-07-01,BARROCAS,18,1,17,36,0,0.05,15978.0,225.31,1.0,3.0,0.0,0.0
2020-07-01,AGUA FRIA,25,4,2,31,0,0.04,16970.0,182.68,3.0,10.0,1.0,0.0
2020-07-01,TUCANO,12,0,18,30,5,0.04,50687.0,59.19,0.0,13.0,1.0,0.0
2020-07-01,TANQUINHO,13,0,16,29,7,0.04,7918.0,366.25,2.0,11.0,1.0,0.0
2020-07-01,EUCLIDES DA CUNHA,16,0,13,29,0,0.04,60585.0,47.87,0.0,10.0,1.0,0.0
2020-07-01,ANGUERA,28,0,0,28,0,0.04,11221.0,249.53,1.0,4.0,0.0,0.0
2020-07-01,IRARA,20,0,6,26,0,0.03,29034.0,89.55,1.0,8.0,0.0,0.0
2020-07-01,SANTANOPOLI S,23,0,1,24,0,0.03,8943.0,268.37,1.0,0.0,0.0,0.0
2020-07-01,SEABRA,10,0,14,24,0,0.03,44091.0,54.43,3.0,0.0,1.0,1.0
