date,id,municipio,total_obitos_munres
2020-07-31,2,ADUSTINA,1
2020-07-31,3,AGUA FRIA,1
2020-07-31,4,AIQUARA,3
2020-07-31,5,ALAGOINHAS,31
2020-07-31,6,ALCOBACA,2
2020-07-31,7,ALMADINA,1
2020-07-31,8,AMARGOSA,6
2020-07-31,9,AMELIA RODRIGUES,2
2020-07-31,10,ANAGE,1
2020-07-31,11,ANDORINHA,1
2020-07-31,12,ANTONIO GONCALVES,1
2020-07-31,13,APORA,2
2020-07-31,14,ARACI,4
2020-07-31,15,ARATACA,1
2020-07-31,16,ARATUIPE,1
2020-07-31,17,AURELINO LEAL,2
2020-07-31,18,BARRA,2
2020-07-31,19,BARRA DO CHOCA,2
2020-07-31,20,BARREIRAS,19
2020-07-31,21,BARRO PRETO,3
2020-07-31,22,BELMONTE,1
2020-07-31,23,BOA NOVA,1
2020-07-31,24,BONITO,1
2020-07-31,25,BRUMADO,3
2020-07-31,26,BUERAREMA,9
2020-07-31,27,BURITIRAMA,1
2020-07-31,28,CABACEIRAS DO PARAGUACU,1
2020-07-31,29,CACHOEIRA,5
2020-07-31,30,CACULE*,1
2020-07-31,31,CAETITE,3
2020-07-31,32,CAIRU,3
2020-07-31,33,CALDEIRAO GRANDE,1
2020-07-31,34,CAMACAN,17
2020-07-31,35,CAMACARI*,56
2020-07-31,36,CAMAMU*,9
2020-07-31,37,CAMPO ALEGRE DE LOURDES,2
2020-07-31,38,CAMPO FORMOSO,5
2020-07-31,39,CANARANA,1
2020-07-31,40,CANAVIEIRAS,3
2020-07-31,41,CANDEIAS*,34
2020-07-31,42,CANDIDO SALES,5
2020-07-31,43,CANSANCAO,2
2020-07-31,44,CANUDOS,2
2020-07-31,45,CAPIM GROSSO,4
2020-07-31,46,CARDEAL DA SILVA,1
2020-07-31,47,CARINHANHA,2
2020-07-31,48,CASA NOVA,6
2020-07-31,49,CASTRO ALVES,3
2020-07-31,50,CATU,6
2020-07-31,51,CICERO DANTAS,1
2020-07-31,52,COARACI,5
2020-07-31,53,CONCEICAO DA FEIRA,2
2020-07-31,54,CONCEICAO DO ALMEIDA,2
2020-07-31,55,CONCEICAO DO COITE,3
2020-07-31,56,CONCEICAO DO JACUIPE,1
2020-07-31,57,CONDE,4
2020-07-31,58,CONDEUBA,1
2020-07-31,59,CORACAO DE MARIA,1
2020-07-31,60,CORDEIROS,1
2020-07-31,61,CORIBE,1
2020-07-31,62,COTEGIPE,2
2020-07-31,63,CRISOPOLIS,1
2020-07-31,64,CRUZ DAS ALMAS,5
2020-07-31,65,CURACA,1
2020-07-31,66,DARIO MEIRA,3
2020-07-31,67,DIAS DAVILA,18
2020-07-31,68,ENTRE RIOS,1
2020-07-31,69,ESPLANADA,1
2020-07-31,70,EUCLIDES DA CUNHA,5
2020-07-31,71,EUNAPOLIS,21
2020-07-31,72,FEIRA DE SANTANA,95
2020-07-31,73,FILADELFIA,2
2020-07-31,74,FLORESTA AZUL,2
2020-07-31,75,GANDU,16
2020-07-31,76,GLORIA,3
2020-07-31,77,GONGOGI,2
2020-07-31,78,GOVERNADOR MANGABEIRA,1
2020-07-31,79,GUARATINGA,2
2020-07-31,80,IACU,6
2020-07-31,81,IBICARAI,4
2020-07-31,82,IBIRAPITANGA,4
2020-07-31,83,IBIRAPUA,2
2020-07-31,84,IBIRATAIA,2
2020-07-31,85,IBITIARA,1
2020-07-31,86,IBITITA,1
2020-07-31,87,IBOTIRAMA,4
2020-07-31,88,ICHU,1
2020-07-31,89,IGAPORA,1
2020-07-31,90,IGRAPIUNA,3
2020-07-31,91,IGUAI,10
2020-07-31,92,ILHEUS,121
2020-07-31,93,INHAMBUPE,2
