date,id,municipio,total_obitos_munres
2020-07-12,2,ADUSTINA,1
2020-07-12,3,AGUA FRIA,1
2020-07-12,4,AIQUARA,1
2020-07-12,5,ALAGOINHAS,15
2020-07-12,6,ALCOBACA,1
2020-07-12,7,ALMADINA,1
2020-07-12,8,AMARGOSA,3
2020-07-12,9,AMELIA RODRIGUES,1
2020-07-12,10,ANAGE,1
2020-07-12,11,ANDORINHA,1
2020-07-12,12,APORA,2
2020-07-12,13,ARACI,3
2020-07-12,14,ARATUIPE,1
2020-07-12,15,AURELINO LEAL,1
2020-07-12,16,BARRA DO CHOCA,2
2020-07-12,17,BARREIRAS,6
2020-07-12,18,BARRO PRETO,2
2020-07-12,19,BELMONTE,1
2020-07-12,20,BRUMADO,3
2020-07-12,21,BUERAREMA,9
2020-07-12,22,CABACEIRAS DO PARAGUACU,1
2020-07-12,23,CACHOEIRA,1
2020-07-12,24,CACULE*,1
2020-07-12,25,CAIRU,3
2020-07-12,26,CALDEIRAO GRANDE,1
2020-07-12,27,CAMACAN,11
2020-07-12,28,CAMACARI*,34
2020-07-12,29,CAMAMU*,5
2020-07-12,30,CAMPO ALEGRE DE LOURDES,2
2020-07-12,31,CAMPO FORMOSO,1
2020-07-12,32,CANAVIEIRAS,3
2020-07-12,33,CANDEIAS*,26
2020-07-12,34,CANDIDO SALES,4
2020-07-12,35,CANSANCAO,2
2020-07-12,36,CANUDOS,2
2020-07-12,37,CAPIM GROSSO,4
2020-07-12,38,CARDEAL DA SILVA,1
2020-07-12,39,CASA NOVA,5
2020-07-12,40,CASTRO ALVES,3
2020-07-12,41,CATU,3
2020-07-12,42,CICERO DANTAS,1
2020-07-12,43,COARACI,4
2020-07-12,44,CONCEICAO DA FEIRA,2
2020-07-12,45,CONDE,4
2020-07-12,46,CORACAO DE MARIA,1
2020-07-12,47,COTEGIPE,1
2020-07-12,48,CRISOPOLIS,1
2020-07-12,49,CRUZ DAS ALMAS,4
2020-07-12,50,DARIO MEIRA,2
2020-07-12,51,DIAS DAVILA,17
2020-07-12,52,EUCLIDES DA CUNHA,1
2020-07-12,53,EUNAPOLIS,19
2020-07-12,54,FEIRA DE SANTANA,64
2020-07-12,55,FILADELFIA,2
2020-07-12,56,FLORESTA AZUL,1
2020-07-12,57,GANDU,14
2020-07-12,58,GLORIA,3
