date,id,municipio,total_ativos
2020-07-12,1,SALVADOR,7720
2020-07-12,2,FEIRA DE SANTANA,1441
2020-07-12,3,ILHEUS,1375
2020-07-12,4,LAURO DE FREITAS,1357
2020-07-12,5,ITABUNA,881
2020-07-12,6,CAMACARI,878
2020-07-12,7,JEQUIE,723
2020-07-12,8,JUAZEIRO,577
2020-07-12,9,TEIXEIRA DE FREITAS,459
2020-07-12,10,VITORIA DA CONQUISTA,384
2020-07-12,11,ALAGOINHAS,351
2020-07-12,12,PORTO SEGURO,309
2020-07-12,13,GANDU,292
2020-07-12,14,JAGUAQUARA,280
2020-07-12,15,CANDEIAS,278
2020-07-12,16,SANTO ANTONIO DE JESUS,262
2020-07-12,17,CAMAMU,258
2020-07-12,18,EUNAPOLIS,249
2020-07-12,19,CONCEICAO DO COITE,237
2020-07-12,20,LUIS EDUARDO MAGALHAES,228
2020-07-12,21,BARREIRAS,223
2020-07-12,22,PRESIDENTE TANCREDO NEVES,211
2020-07-12,23,IPIAU,195
2020-07-12,24,SAO SEBASTIAO DO PASSE,193
2020-07-12,25,ARACI,193
2020-07-12,26,ITAMARAJU,192
2020-07-12,27,MADRE DE DEUS,166
2020-07-12,28,CAPIM GROSSO,159
2020-07-12,29,ITABERABA,156
2020-07-12,30,WENCESLAU GUIMARAES,151
2020-07-12,31,CAMPO FORMOSO,148
2020-07-12,32,VALENCA,144
2020-07-12,33,SANTO AMARO,144
2020-07-12,34,DIAS DAVILA,142
2020-07-12,35,ITAJUIPE,139
2020-07-12,36,IRECE,138
2020-07-12,37,SIMOES FILHO,137
2020-07-12,38,RIBEIRA DO POMBAL,129
2020-07-12,39,CONCEICAO DA FEIRA,128
2020-07-12,40,ITAPETINGA,127
2020-07-12,41,SAO FRANCISCO DO CONDE,126
2020-07-12,42,UBATA,117
2020-07-12,43,POJUCA,114
2020-07-12,44,JACOBINA,114
2020-07-12,45,CAMACAN,113
2020-07-12,46,SAO GONCALO DOS CAMPOS,112
2020-07-12,47,MEDEIROS NETO,109
2020-07-12,48,CRUZ DAS ALMAS,109
2020-07-12,49,NOVA SOURE,108
2020-07-12,50,FILADELFIA,97
2020-07-12,51,GENTIO DO OURO,96
2020-07-12,52,BARRA DO CHOCA,96
2020-07-12,53,URUCUCA,93
2020-07-12,54,ITUBERA,92
2020-07-12,55,QUEIMADAS,87
2020-07-12,56,MUCURI,85
2020-07-12,57,IRAQUARA,85
2020-07-12,58,SOUTO SOARES,84
2020-07-12,59,PAULO AFONSO,78
2020-07-12,60,AURELINO LEAL,77
2020-07-12,61,ITANHEM,76
2020-07-12,62,CACHOEIRA,76
2020-07-12,63,SERRA PRETA,74
2020-07-12,64,MATA DE SAO JOAO,73
2020-07-12,65,CASA NOVA,73
2020-07-12,66,CATU,71
2020-07-12,67,BRUMADO,71
2020-07-12,68,SOBRADINHO,70
2020-07-12,69,TAPEROA,68
2020-07-12,70,SANTA CRUZ CABRALIA,68
2020-07-12,71,PIRAI DO NORTE,68
2020-07-12,72,IBIRAPITANGA,68
2020-07-12,73,PRADO,65
2020-07-12,74,IGUAI,65
2020-07-12,75,CONCEICAO DO JACUIPE,65
2020-07-12,76,SERRINHA,63
2020-07-12,77,CARAVELAS,63
2020-07-12,78,BUERAREMA,62
2020-07-12,79,SENHOR DO BONFIM,61
2020-07-12,80,POCOES,61
2020-07-12,81,VERA CRUZ,60
2020-07-12,82,UNA,60
2020-07-12,83,NOVA IBIA,60
2020-07-12,84,NAZARE,59
2020-07-12,85,ALCOBACA,56
2020-07-12,86,CIPO,54
2020-07-12,87,RUY BARBOSA,53
2020-07-12,88,CONCEICAO DO ALMEIDA,53
2020-07-12,89,AMERICA DOURADA,52
2020-07-12,90,SANTO ESTEVAO,50
2020-07-12,91,SANTALUZ,50
2020-07-12,92,ITAPARICA,50
2020-07-12,93,IBICARAI,50
2020-07-12,94,DARIO MEIRA,50
2020-07-12,95,NILO PECANHA,49
2020-07-12,96,MARACAS,49
2020-07-12,97,ITAPE,49
2020-07-12,98,BELMONTE,49
2020-07-12,99,RIACHAO DO JACUIPE,48
2020-07-12,100,MARAGOGIPE,48
2020-07-12,101,JOAO DOURADO,48
2020-07-12,102,AMELIA RODRIGUES,48
2020-07-12,103,PLANALTO,47
2020-07-12,104,ITABELA,45
2020-07-12,105,GUARATINGA,45
2020-07-12,106,FLORESTA AZUL,45
2020-07-12,107,UBAITABA,43
2020-07-12,108,CAPELA DO ALTO ALEGRE,43
2020-07-12,109,SANTA BARBARA,42
2020-07-12,110,MURITIBA,42
2020-07-12,111,SANTA LUZIA,41
2020-07-12,112,PRESIDENTE DUTRA,41
2020-07-12,113,LENCOIS,41
2020-07-12,114,IBIRATAIA,41
2020-07-12,115,BARRO PRETO,41
2020-07-12,116,RIO REAL,40
2020-07-12,117,ENTRE RIOS,40
2020-07-12,118,AMARGOSA,40
2020-07-12,119,UAUA,39
2020-07-12,120,PINDOBACU,39
2020-07-12,121,NOVA VICOSA,38
2020-07-12,122,JAGUARARI,38
2020-07-12,123,CANDIDO SALES,38
2020-07-12,124,RETIROLANDIA,37
2020-07-12,125,MANOEL VITORINO,37
2020-07-12,126,JAGUARIPE,37
2020-07-12,127,TEOLANDIA,36
2020-07-12,128,RAFAEL JAMBEIRO,35
2020-07-12,129,MAIRI,34
2020-07-12,130,GUANAMBI,34
2020-07-12,131,MONTE SANTO,33
2020-07-12,132,MACURURE,33
2020-07-12,133,ITAGIBA,33
2020-07-12,134,CORACAO DE MARIA,33
2020-07-12,135,APUAREMA,33
2020-07-12,136,TERRA NOVA,32
2020-07-12,137,SITIO DO QUINTO,31
2020-07-12,138,CAATIBA,31
2020-07-12,139,TUCANO,30
2020-07-12,140,IBICUI,30
2020-07-12,141,ALMADINA,30
2020-07-12,142,ADUSTINA,30
2020-07-12,143,OLINDINA,29
2020-07-12,144,VALENTE,28
2020-07-12,145,SAO DESIDERIO,28
2020-07-12,146,MACARANI,27
2020-07-12,147,LAPAO,27
2020-07-12,148,IPIRA,27
2020-07-12,149,CICERO DANTAS,27
2020-07-12,150,CASTRO ALVES,27
2020-07-12,151,AIQUARA,27
2020-07-12,152,VEREDA,26
2020-07-12,153,ITAPICURU,26
2020-07-12,154,ITACARE,26
2020-07-12,155,SAPEACU,25
2020-07-12,156,NOVO TRIUNFO,25
2020-07-12,157,COARACI,25
2020-07-12,158,CAIRU,25
2020-07-12,159,SAO FELIPE,24
2020-07-12,160,PRESIDENTE JANIO QUADROS,24
2020-07-12,161,MARAU,24
2020-07-12,162,CANSANCAO,24
2020-07-12,163,CANAVIEIRAS,24
2020-07-12,164,CRISOPOLIS,23
2020-07-12,165,CONDE,23
2020-07-12,166,SANTANOPOLIS,22
2020-07-12,167,CORONEL JOAO SA,22
2020-07-12,168,CANARANA,22
2020-07-12,169,ANAGE,22
2020-07-12,170,OUROLANDIA,21
2020-07-12,171,ITAPEBI,21
2020-07-12,172,GOVERNADOR MANGABEIRA,21
2020-07-12,173,TANQUINHO,20
2020-07-12,174,EUCLIDES DA CUNHA,20
2020-07-12,175,ANTONIO GONCALVES,20
2020-07-12,176,SAO FELIX,19
2020-07-12,177,JEREMOABO,19
2020-07-12,178,ANTAS,19
2020-07-12,179,ANDORINHA,19
2020-07-12,180,VARZEA NOVA,18
2020-07-12,181,PARIPIRANGA,18
2020-07-12,182,NOVA CANAA,18
2020-07-12,183,IBOTIRAMA,18
2020-07-12,184,ACAJUTIBA,18
2020-07-12,185,PINTADAS,17
2020-07-12,186,INHAMBUPE,17
2020-07-12,187,SALINAS DA MARGARIDA,16
2020-07-12,188,LAJEDO DO TABOCAL,16
2020-07-12,189,LAJE,16
2020-07-12,190,JUSSARA,16
2020-07-12,191,IGRAPIUNA,16
2020-07-12,192,BOM JESUS DA SERRA,16
2020-07-12,193,BANZAE,16
2020-07-12,194,JITAUNA,15
2020-07-12,195,ITORORO,15
2020-07-12,196,ENCRUZILHADA,15
2020-07-12,197,BURITIRAMA,15
2020-07-12,198,BARRA,15
2020-07-12,199,TAPIRAMUTA,14
2020-07-12,200,MUTUIPE,14
2020-07-12,201,MASCOTE,14
2020-07-12,202,CALDEIRAO GRANDE,14
2020-07-12,203,VARZEA DA ROCA,13
2020-07-12,204,RIACHO DE SANTANA,13
2020-07-12,205,REMANSO,13
2020-07-12,206,PE DE SERRA,13
2020-07-12,207,NOVA ITARANA,13
2020-07-12,208,NORDESTINA,13
2020-07-12,209,ITARANTIM,13
2020-07-12,210,CORRENTINA,13
2020-07-12,211,MIGUEL CALMON,12
2020-07-12,212,LAMARAO,12
2020-07-12,213,JUCURUCU,12
2020-07-12,214,ITIRUCU,12
2020-07-12,215,CAETITE,12
2020-07-12,216,BOM JESUS DA LAPA,12
2020-07-12,217,TEOFILANDIA,11
2020-07-12,218,TEODORO SAMPAIO,11
2020-07-12,219,POTIRAGUA,11
2020-07-12,220,MAIQUINIQUE,11
2020-07-12,221,JANDAIRA,11
2020-07-12,222,GLORIA,11
2020-07-12,223,CRISTOPOLIS,11
2020-07-12,224,URANDI,10
2020-07-12,225,PONTO NOVO,10
2020-07-12,226,ITAMARI,10
2020-07-12,227,IPECAETA,10
2020-07-12,228,HELIOPOLIS,10
2020-07-12,229,ESPLANADA,10
2020-07-12,230,CURACA,10
2020-07-12,231,CAMPO ALEGRE DE LOURDES,10
2020-07-12,232,SAO JOSE DA VITORIA,9
2020-07-12,233,SAO GABRIEL,9
2020-07-12,234,SANTA BRIGIDA,9
2020-07-12,235,RIACHAO DAS NEVES,9
2020-07-12,236,MUCUGE,9
2020-07-12,237,ITATIM,9
2020-07-12,238,ITAGIMIRIM,9
2020-07-12,239,IRAJUBA,9
2020-07-12,240,IACU,9
2020-07-12,241,FATIMA,9
2020-07-12,242,DOM MACEDO COSTA,9
2020-07-12,243,ARAMARI,9
2020-07-12,244,AGUA FRIA,8
2020-07-12,245,SATIRO DIAS,8
2020-07-12,246,SANTA RITA DE CASSIA,8
2020-07-12,247,RIO DO PIRES,8
2020-07-12,248,RIBEIRA DO AMPARO,8
2020-07-12,249,PEDRO ALEXANDRE,8
2020-07-12,250,PARATINGA,8
2020-07-12,251,JUSSARI,8
2020-07-12,252,ITAQUARA,8
2020-07-12,253,ITAMBE,8
2020-07-12,254,ITAGUACU DA BAHIA,8
2020-07-12,255,IRARA,8
2020-07-12,256,FORMOSA DO RIO PRETO,8
2020-07-12,257,VARZEDO,7
2020-07-12,258,UMBURANAS,7
2020-07-12,259,SEABRA,7
2020-07-12,260,SANTA MARIA DA VITORIA,7
2020-07-12,261,RIBEIRAO DO LARGO,7
2020-07-12,262,MUNIZ FERREIRA,7
2020-07-12,263,ITAJU DO COLONIA,7
2020-07-12,264,IBICOARA,7
2020-07-12,265,CORDEIROS,7
2020-07-12,266,CABACEIRAS DO PARAGUACU,7
2020-07-12,267,APORA,7
2020-07-12,268,SAO MIGUEL DAS MATAS,6
2020-07-12,269,QUIXABEIRA,6
2020-07-12,270,PIRITIBA,6
2020-07-12,271,PALMAS DE MONTE ALTO,6
2020-07-12,272,MUQUEM DE SAO FRANCISCO,6
2020-07-12,273,IBIRAPUA,6
2020-07-12,274,ARACAS,6
2020-07-12,275,ARATACA,6
2020-07-12,276,XIQUE-XIQUE,5
2020-07-12,277,UIBAI,5
2020-07-12,278,UBAIRA,5
2020-07-12,279,SAO FELIX DO CORIBE,5
2020-07-12,280,PAU BRASIL,5
2020-07-12,281,PALMEIRAS,5
2020-07-12,282,OURICANGAS,5
2020-07-12,283,MILAGRES,5
2020-07-12,284,MACAUBAS,5
2020-07-12,285,LAFAIETE COUTINHO,5
2020-07-12,286,CANUDOS,5
2020-07-12,287,CAETANOS,5
2020-07-12,288,BIRITINGA,5
2020-07-12,289,BARROCAS,5
2020-07-12,290,SAUDE,4
2020-07-12,291,SANTA INES,4
2020-07-12,292,PILAO ARCADO,4
2020-07-12,293,MULUNGU DO MORRO,4
2020-07-12,294,ITIUBA,4
2020-07-12,295,ITAGI,4
2020-07-12,296,ITAETE,4
2020-07-12,297,ELISIO MEDRADO,4
2020-07-12,298,CANDEAL,4
2020-07-12,299,BOQUIRA,4
2020-07-12,300,BARRO ALTO,4
2020-07-12,301,BARRA DO ROCHA,4
2020-07-12,302,ANGUERA,4
2020-07-12,303,UTINGA,3
2020-07-12,304,SAO DOMINGOS,3
2020-07-12,305,SERROLANDIA,3
2020-07-12,306,RIO DE CONTAS,3
2020-07-12,307,PIRIPA,3
2020-07-12,308,MORRO DO CHAPEU,3
