ibgeID,city,population,regex
2929503,São Sebastião do Passé,44300,^[^A-Z]*SAO[^A-Z]+SEBASTIAO[^A-Z]+DO[^A-Z]+PASSE[^A-Z]*$
2929503,São Sebastião do Passé,44300,^[^A-Z]*SÃO[^A-Z]+SEBASTIÃO[^A-Z]+DO[^A-Z]+PASSÉ[^A-Z]*$
2928604,Santo Amaro,60069,^[^A-Z]*SANTO[^A-Z]+AMARO[^A-Z]*$
2921005,Mata de São João,46583,^[^A-Z]*MATA[^A-Z]+DE[^A-Z]+SAO[^A-Z]+JOAO[^A-Z]*$
2921005,Mata de São João,46583,^[^A-Z]*MATA[^A-Z]+DE[^A-Z]+SÃO[^A-Z]+JOÃO[^A-Z]*$
2933208,Vera Cruz,43223,^[^A-Z]*VERA[^A-Z]+CRUZ[^A-Z]*$
2909802,Cruz das Almas,63239,^[^A-Z]*CRUZ[^A-Z]+DAS[^A-Z]+ALMAS[^A-Z]*$
2908200,Conceição da Feira,22581,^[^A-Z]*CONCEICAO[^A-Z]+DA[^A-Z]+FEIRA[^A-Z]*$
2908200,Conceição da Feira,22581,^[^A-Z]*CONCEIÇÃO[^A-Z]+DA[^A-Z]+FEIRA[^A-Z]*$
2920601,Maragogipe,44677,^[^A-Z]*MARAGOGIPE[^A-Z]*$
2925758,Presidente Tancredo Neves,27719,^[^A-Z]*PRESIDENTE[^A-Z]+TANCREDO[^A-Z]+NEVES[^A-Z]*$
2904902,Cachoeira,33470,^[^A-Z]*CACHOEIRA[^A-Z]*$
2916104,Itaparica,22228,^[^A-Z]*ITAPARICA[^A-Z]*$
2922300,Muritiba,29399,^[^A-Z]*MURITIBA[^A-Z]*$
2907301,Castro Alves,26264,^[^A-Z]*CASTRO[^A-Z]+ALVES[^A-Z]*$
2921302,Milagres,10950,^[^A-Z]*MILAGRES[^A-Z]*$
2922508,Nazaré,28525,^[^A-Z]*NAZARE[^A-Z]*$
2922508,Nazaré,28525,^[^A-Z]*NAZARÉ[^A-Z]*$
2901007,Amargosa,37241,^[^A-Z]*AMARGOSA[^A-Z]*$
2908606,Conde,25837,^[^A-Z]*CONDE[^A-Z]*$
2908309,Conceição do Almeida,17247,^[^A-Z]*CONCEICAO[^A-Z]+DO[^A-Z]+ALMEIDA[^A-Z]*$
2908309,Conceição do Almeida,17247,^[^A-Z]*CONCEIÇÃO[^A-Z]+DO[^A-Z]+ALMEIDA[^A-Z]*$
2916856,Itatim,14487,^[^A-Z]*ITATIM[^A-Z]*$
2929750,Saubara,12043,^[^A-Z]*SAUBARA[^A-Z]*$
2929602,Sapeaçu,17398,^[^A-Z]*SAPEACU[^A-Z]*$
2929602,Sapeaçu,17398,^[^A-Z]*SAPEAÇU[^A-Z]*$
2917805,Jaguaripe,18788,^[^A-Z]*JAGUARIPE[^A-Z]*$
2922409,Mutuípe,22221,^[^A-Z]*MUTUIPE[^A-Z]*$
2922409,Mutuípe,22221,^[^A-Z]*MUTUÍPE[^A-Z]*$
2929008,São Félix,14740,^[^A-Z]*SAO[^A-Z]+FELIX[^A-Z]*$
2929008,São Félix,14740,^[^A-Z]*SÃO[^A-Z]+FÉLIX[^A-Z]*$
2911600,Governador Mangabeira,20722,^[^A-Z]*GOVERNADOR[^A-Z]+MANGABEIRA[^A-Z]*$
2928505,Santa Teresinha,10405,^[^A-Z]*SANTA[^A-Z]+TERE[SZ]INHA[^A-Z]*$
2929107,São Felipe,21074,^[^A-Z]*SAO[^A-Z]+FELIPE[^A-Z]*$
2929107,São Felipe,21074,^[^A-Z]*SÃO[^A-Z]+FELIPE[^A-Z]*$
2918803,Laje,23840,^[^A-Z]*LAJE[^A-Z]*$
2904852,Cabaceiras do Paraguaçu,18807,^[^A-Z]*CABACEIRAS[^A-Z]+DO[^A-Z]+PARAGUACU[^A-Z]*$
2904852,Cabaceiras do Paraguaçu,18807,^[^A-Z]*CABACEIRAS[^A-Z]+DO[^A-Z]+PARAGUAÇU[^A-Z]*$
2927309,Salinas da Margarida,15667,^[^A-Z]*SALINAS[^A-Z]+DA[^A-Z]+MARGARIDA[^A-Z]*$
2922201,Muniz Ferreira,7422,^[^A-Z]*MUNIZ[^A-Z]+FERREIRA[^A-Z]*$
2910206,Dom Macedo Costa,4058,^[^A-Z]*DOM[^A-Z]+MACEDO[^A-Z]+COSTA[^A-Z]*$
2932101,Ubaíra,19895,^[^A-Z]*UBAIRA[^A-Z]*$
2932101,Ubaíra,19895,^[^A-Z]*UBAÍRA[^A-Z]*$
2933174,Varzedo,8838,^[^A-Z]*VARZEDO[^A-Z]*$
2929404,São Miguel das Matas,11675,^[^A-Z]*SAO[^A-Z]+MIGUEL[^A-Z]+DAS[^A-Z]+MATAS[^A-Z]*$
2929404,São Miguel das Matas,11675,^[^A-Z]*SÃO[^A-Z]+MIGUEL[^A-Z]+DAS[^A-Z]+MATAS[^A-Z]*$
2922805,Nova Itarana,8226,^[^A-Z]*NOVA[^A-Z]+ITARANA[^A-Z]*$
2918209,Jiquiriçá,14537,^[^A-Z]*JIQUIRICA[^A-Z]*$
2918209,Jiquiriçá,14537,^[^A-Z]*JIQUIRIÇÁ[^A-Z]*$
2910305,Elísio Medrado,8122,^[^A-Z]*ELISIO[^A-Z]+MEDRADO[^A-Z]*$
2910305,Elísio Medrado,8122,^[^A-Z]*ELÍSIO[^A-Z]+MEDRADO[^A-Z]*$
2902302,Aratuípe,8825,^[^A-Z]*ARATUIPE[^A-Z]*$
2902302,Aratuípe,8825,^[^A-Z]*ARATUÍPE[^A-Z]*$
2900702,Alagoinhas,151596,^[^A-Z]*ALAGOINHAS[^A-Z]*$
2907509,Catu,54704,^[^A-Z]*CATU[^A-Z]*$
2926608,Ribeira do Pombal,53807,^[^A-Z]*RIBEIRA[^A-Z]+DO[^A-Z]+POMBAL[^A-Z]*$
2910503,Entre Rios,41780,^[^A-Z]*ENTRE[^A-Z]+RIOS[^A-Z]*$
2922904,Nova Soure,26947,^[^A-Z]*NOVA[^A-Z]+SOURE[^A-Z]*$
2917904,Jandaíra,10709,^[^A-Z]*JANDAIRA[^A-Z]*$
2917904,Jandaíra,10709,^[^A-Z]*JANDAÍRA[^A-Z]*$
2916500,Itapicuru,35576,^[^A-Z]*ITAPICURU[^A-Z]*$
2927002,Rio Real,40732,^[^A-Z]*RIO[^A-Z]+REAL[^A-Z]*$
2910602,Esplanada,37237,^[^A-Z]*ESPLANADA[^A-Z]*$
2901908,Aporá,17731,^[^A-Z]*APORA[^A-Z]*$
2901908,Aporá,17731,^[^A-Z]*APORÁ[^A-Z]*$
2907806,Cícero Dantas,32515,^[^A-Z]*CICERO[^A-Z]+DANTAS[^A-Z]*$
2907806,Cícero Dantas,32515,^[^A-Z]*CÍCERO[^A-Z]+DANTAS[^A-Z]*$
2930766,Sítio do Quinto,9986,^[^A-Z]*SITIO[^A-Z]+DO[^A-Z]+QUINTO[^A-Z]*$
2930766,Sítio do Quinto,9986,^[^A-Z]*SÍTIO[^A-Z]+DO[^A-Z]+QUINTO[^A-Z]*$
2900355,Adustina,17040,^[^A-Z]*ADUSTINA[^A-Z]*$
2902658,Banzaê,13229,^[^A-Z]*BANZAE[^A-Z]*$
2902658,Banzaê,13229,^[^A-Z]*BANZAÊ[^A-Z]*$
2923803,Paripiranga,28989,^[^A-Z]*PARIPIRANGA[^A-Z]*$
2900306,Acajutiba,15159,^[^A-Z]*ACAJUTIBA[^A-Z]*$
2929701,Sátiro Dias,17273,^[^A-Z]*SATIRO[^A-Z]+DIAS[^A-Z]*$
2929701,Sátiro Dias,17273,^[^A-Z]*SÁTIRO[^A-Z]+DIAS[^A-Z]*$
2923050,Novo Triunfo,15440,^[^A-Z]*NOVO[^A-Z]+TRIUNFO[^A-Z]*$
2923035,Novo Horizonte,12385,^[^A-Z]*NOVO[^A-Z]+HORIZONTE[^A-Z]*$
2912608,Ibiquera,4044,^[^A-Z]*IBIQUERA[^A-Z]*$
2928208,Santana,26614,^[^A-Z]*SANTANA[^A-Z]*$
2930303,Serra Dourada,17386,^[^A-Z]*SERRA[^A-Z]+DOURADA[^A-Z]*$
2931004,Tanhaçu,20403,^[^A-Z]*TANHACU[^A-Z]*$
2931004,Tanhaçu,20403,^[^A-Z]*TANHAÇU[^A-Z]*$
2929800,Saúde,12913,^[^A-Z]*SAUDE[^A-Z]*$
2929800,Saúde,12913,^[^A-Z]*SAÚDE[^A-Z]*$
2907608,Central,17266,^[^A-Z]*CENTRAL[^A-Z]*$
2921054,Matina,12201,^[^A-Z]*MATINA[^A-Z]*$
2904050,Bonito,16764,^[^A-Z]*BONITO[^A-Z]*$
2931053,Tanque Novo,17366,^[^A-Z]*TANQUE[^A-Z]+NOVO[^A-Z]*$
2911253,Gavião,4463,^[^A-Z]*GAVIÃO[^A-Z]*$
2911253,Gavião,4463,^[^A-Z]*GAVIAO[^A-Z]*$
2931053,Tanque Novo,17366,^[^A-Z]*TANQUE[^A-Z]+NOVO[^A-Z]*$
2900504,Érico Cardoso,10610,^[^A-Z]*ERICO[^A-Z]+CARDOSO[^A-Z]*$
2900504,Érico Cardoso,10610,^[^A-Z]*ÉRICO[^A-Z]+CARDOSO[^A-Z]*$
2903508,Belo Campo,17211,^[^A-Z]*BELO[^A-Z]+CAMPO[^A-Z]*$
2903235,Barro Alto,14931,^[^A-Z]*BARRO[^A-Z]+ALTO[^A-Z]*$
2930006,Sebastião Laranjeiras,11434,^[^A-Z]*SEBASTIAO[^A-Z]+LARANJEIRAS[^A-Z]*$
