date,id,municipio,total_obitos_munres
2020-07-17,2,ADUSTINA,1
2020-07-17,3,AGUA FRIA,1
2020-07-17,4,AIQUARA,1
2020-07-17,5,ALAGOINHAS,21
2020-07-17,6,ALCOBACA,2
2020-07-17,7,ALMADINA,1
2020-07-17,8,AMARGOSA,3
2020-07-17,9,AMELIA RODRIGUES,1
2020-07-17,10,ANAGE,1
2020-07-17,11,ANDORINHA,1
2020-07-17,12,APORA,2
2020-07-17,13,ARACI,4
2020-07-17,14,ARATUIPE,1
2020-07-17,15,AURELINO LEAL,1
2020-07-17,16,BARRA DO CHOCA,2
2020-07-17,17,BARREIRAS,10
2020-07-17,18,BARRO PRETO,3
2020-07-17,19,BELMONTE,1
2020-07-17,20,BRUMADO,3
2020-07-17,21,BUERAREMA,9
2020-07-17,22,CABACEIRAS DO PARAGUACU,1
2020-07-17,23,CACHOEIRA,5
2020-07-17,24,CACULE*,1
2020-07-17,25,CAETITE,1
2020-07-17,26,CAIRU,3
2020-07-17,27,CALDEIRAO GRANDE,1
2020-07-17,28,CAMACAN,11
2020-07-17,29,CAMACARI*,47
2020-07-17,30,CAMAMU*,5
2020-07-17,31,CAMPO ALEGRE DE LOURDES,2
2020-07-17,32,CAMPO FORMOSO,2
2020-07-17,33,CANAVIEIRAS,3
2020-07-17,34,CANDEIAS*,29
2020-07-17,35,CANDIDO SALES,4
2020-07-17,36,CANSANCAO,2
2020-07-17,37,CANUDOS,2
2020-07-17,38,CAPIM GROSSO,4
2020-07-17,39,CARDEAL DA SILVA,1
2020-07-17,40,CASA NOVA,5
2020-07-17,41,CASTRO ALVES,3
2020-07-17,42,CATU,5
2020-07-17,43,CICERO DANTAS,1
2020-07-17,44,COARACI,4
2020-07-17,45,CONCEICAO DA FEIRA,2
2020-07-17,46,CONCEICAO DO ALMEIDA,1
2020-07-17,47,CONCEICAO DO JACUIPE,1
2020-07-17,48,CONDE,4
2020-07-17,49,CONDEUBA,1
2020-07-17,50,CORACAO DE MARIA,1
2020-07-17,51,COTEGIPE,1
2020-07-17,52,CRISOPOLIS,1
2020-07-17,53,CRUZ DAS ALMAS,4
2020-07-17,54,DARIO MEIRA,2
2020-07-17,55,DIAS DAVILA,18
2020-07-17,56,ESPLANADA,1
2020-07-17,57,EUCLIDES DA CUNHA,1
2020-07-17,58,EUNAPOLIS,19
2020-07-17,59,FEIRA DE SANTANA,72
2020-07-17,60,FILADELFIA,2
2020-07-17,61,FLORESTA AZUL,1
2020-07-17,62,GANDU,14
2020-07-17,63,GLORIA,3
2020-07-17,64,GONGOGI,2
2020-07-17,65,GOVERNADOR MANGABEIRA,1
2020-07-17,66,GUARATINGA,2
2020-07-17,67,IACU,5
2020-07-17,68,IBICARAI,3
2020-07-17,69,IBIRAPITANGA,3
2020-07-17,70,IBIRAPUA,1
2020-07-17,71,IBIRATAIA,2
2020-07-17,72,IBITIARA,1
2020-07-17,73,IBOTIRAMA,1
2020-07-17,74,ICHU,1
2020-07-17,75,IGAPORA,1
2020-07-17,76,IGRAPIUNA,1
2020-07-17,77,IGUAI,5
2020-07-17,78,ILHEUS,74
2020-07-17,79,INHAMBUPE,2
2020-07-17,80,IPECAETA,1
2020-07-17,81,IPIAU *,11
2020-07-17,82,IPIRA,3
2020-07-17,83,IRARA,1
2020-07-17,84,IRECE,2
2020-07-17,85,ITABELA,1
2020-07-17,86,ITABERABA,14
