date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-08-06,FEIRA DE SANTANA,7265,3,1430,8698,123,4.81,614872.0,1414.6,0.0,484.0,97.0,94.0
2020-08-06,CONCEICAO DO COITE,626,1,488,1115,37,0.62,66612.0,1673.87,0.0,70.0,5.0,3.0
2020-08-06,ITABERABA,314,27,694,1035,32,0.57,64489.0,1604.92,0.0,125.0,23.0,16.0
2020-08-06,ARACI,319,0,398,717,7,0.4,54379.0,1318.52,0.0,51.0,5.0,1.0
2020-08-06,SERRINHA,299,0,385,684,0,0.38,80861.0,845.9,0.0,20.0,7.0,2.0
2020-08-06,SAO GONCALO DOS CAMPOS,114,0,279,393,1,0.22,37550.0,1046.6,0.0,23.0,4.0,3.0
2020-08-06,CONCEICAO DO JACUIPE,297,0,49,346,1,0.19,33153.0,1043.65,0.0,23.0,1.0,1.0
2020-08-06,SANTO ESTEVAO,235,0,66,301,3,0.17,52850.0,569.54,0.0,60.0,3.0,0.0
2020-08-06,QUEIMADAS,80,0,218,298,3,0.16,25439.0,1171.43,1.0,10.0,2.0,0.0
2020-08-06,RIACHAO DO JACUIPE,97,0,188,285,7,0.16,33436.0,852.37,0.0,8.0,3.0,1.0
2020-08-06,VALENTE,74,0,187,261,1,0.14,28473.0,916.66,0.0,11.0,4.0,0.0
2020-08-06,TANQUINHO,23,1,219,243,5,0.13,7918.0,3068.96,0.0,28.0,2.0,1.0
2020-08-06,SANTA BARBARA,200,0,38,238,0,0.13,20791.0,1144.73,0.0,3.0,2.0,0.0
2020-08-06,SANTALUZ,57,0,170,227,3,0.13,37348.0,607.8,0.0,17.0,4.0,3.0
2020-08-06,AMELIA RODRIGUES,168,0,52,220,1,0.12,25102.0,876.42,3.0,12.0,2.0,2.0
2020-08-06,IPIRA,189,0,26,215,13,0.12,59595.0,360.77,1.0,13.0,3.0,1.0
2020-08-06,TUCANO,86,2,118,206,6,0.11,50687.0,406.42,0.0,34.0,1.0,0.0
2020-08-06,TEOFILANDIA,57,0,141,198,1,0.11,22518.0,879.3,0.0,2.0,1.0,0.0
2020-08-06,RUY BARBOSA,26,0,160,186,0,0.1,30814.0,603.62,0.0,11.0,2.0,1.0
2020-08-06,RETIROLANDIA,111,0,74,185,0,0.1,14396.0,1285.08,0.0,23.0,0.0,0.0
2020-08-06,IRAQUARA,15,0,167,182,0,0.1,25216.0,721.76,4.0,1.0,0.0,0.0
2020-08-06,SERRA PRETA,73,0,99,172,0,0.1,14878.0,1156.07,0.0,12.0,5.0,3.0
2020-08-06,RAFAEL JAMBEIRO,116,1,48,165,1,0.09,22621.0,729.41,0.0,9.0,1.0,0.0
2020-08-06,CORACAO DE MARIA,70,2,92,164,0,0.09,22605.0,725.5,0.0,10.0,1.0,0.0
2020-08-06,MONTE SANTO,49,0,111,160,0,0.09,49418.0,323.77,0.0,11.0,5.0,1.0
2020-08-06,IACU,73,0,64,137,2,0.08,24305.0,563.67,0.0,18.0,6.0,6.0
2020-08-06,SOUTO SOARES,9,0,125,134,1,0.07,16979.0,789.21,1.0,11.0,1.0,0.0
2020-08-06,TERRA NOVA,78,1,46,125,6,0.07,13033.0,959.1,1.0,5.0,2.0,1.0
