date,id,municipio,total_ativos
2020-07-22,1,SALVADOR,2686
2020-07-22,2,FEIRA DE SANTANA,486
2020-07-22,3,ILHEUS,354
2020-07-22,4,JEQUIE,340
2020-07-22,5,ITABUNA,324
2020-07-22,6,CAMACARI,192
2020-07-22,7,LAURO DE FREITAS,176
2020-07-22,8,VITORIA DA CONQUISTA,155
2020-07-22,9,ALAGOINHAS,132
2020-07-22,10,JUAZEIRO,106
2020-07-22,11,BARREIRAS,104
2020-07-22,12,CANDEIAS,100
2020-07-22,13,LUIS EDUARDO MAGALHAES,98
2020-07-22,14,PORTO SEGURO,93
2020-07-22,15,SANTO AMARO,89
2020-07-22,16,EUNAPOLIS,89
2020-07-22,17,SANTO ANTONIO DE JESUS,87
2020-07-22,18,ITABERABA,81
2020-07-22,19,SIMOES FILHO,77
2020-07-22,20,CATU,77
2020-07-22,21,CAMACAN,76
2020-07-22,22,ARACI,75
2020-07-22,23,MADRE DE DEUS,69
2020-07-22,24,SAO SEBASTIAO DO PASSE,54
2020-07-22,25,SANTO ESTEVAO,53
2020-07-22,26,CAMPO FORMOSO,51
2020-07-22,27,CACHOEIRA,51
2020-07-22,28,MARACAS,50
2020-07-22,29,CONCEICAO DO COITE,50
2020-07-22,30,DIAS DAVILA,47
2020-07-22,31,MATA DE SAO JOAO,46
2020-07-22,32,IRECE,44
2020-07-22,33,JAGUAQUARA,43
2020-07-22,34,GANDU,43
2020-07-22,35,CONCEICAO DO ALMEIDA,43
2020-07-22,36,IPIAU,42
2020-07-22,37,ITAPETINGA,40
2020-07-22,38,CIPO,40
2020-07-22,39,POJUCA,37
2020-07-22,40,IBIRATAIA,37
2020-07-22,41,CRUZ DAS ALMAS,37
2020-07-22,42,CONCEICAO DA FEIRA,37
2020-07-22,43,TEIXEIRA DE FREITAS,36
2020-07-22,44,POCOES,36
2020-07-22,45,LENCOIS,36
2020-07-22,46,CAMAMU,36
2020-07-22,47,ITACARE,35
2020-07-22,48,BRUMADO,35
2020-07-22,49,VERA CRUZ,34
2020-07-22,50,VALENCA,34
2020-07-22,51,RIO REAL,34
2020-07-22,52,UBATA,33
2020-07-22,53,SAO GONCALO DOS CAMPOS,33
2020-07-22,54,RIBEIRA DO POMBAL,33
2020-07-22,55,ITAJUIPE,33
2020-07-22,56,UNA,32
2020-07-22,57,SOBRADINHO,32
2020-07-22,58,PAULO AFONSO,32
2020-07-22,59,OUROLANDIA,32
2020-07-22,60,JITAUNA,32
2020-07-22,61,CAFARNAUM,31
2020-07-22,62,ARATACA,31
2020-07-22,63,SAO FRANCISCO DO CONDE,30
2020-07-22,64,ITAPE,30
2020-07-22,65,PARIPIRANGA,29
2020-07-22,66,NOVA SOURE,29
2020-07-22,67,MUCURI,29
2020-07-22,68,TAPEROA,28
2020-07-22,69,MEDEIROS NETO,28
2020-07-22,70,IRAQUARA,28
2020-07-22,71,CRISOPOLIS,28
2020-07-22,72,CASA NOVA,28
2020-07-22,73,ITAPARICA,27
2020-07-22,74,QUEIMADAS,26
2020-07-22,75,IBICARAI,26
2020-07-22,76,GENTIO DO OURO,26
2020-07-22,77,BUERAREMA,26
2020-07-22,78,URUCUCA,25
