date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-07-25,FEIRA DE SANTANA,6034,3,990,7027,165,4.88,614872,1142.84,0
2020-07-25,ITABERABA,213,24,482,719,7,0.50,64489,1114.92,0
2020-07-25,CONCEICAO DO COITE,402,1,289,692,50,0.48,66612,1038.85,0
2020-07-25,ARACI,252,0,353,605,3,0.42,54379,1112.56,0
2020-07-25,SERRINHA,253,0,253,506,17,0.35,80861,625.77,0
2020-07-25,SAO GONCALO DOS CAMPOS,78,0,226,304,14,0.21,37550,809.59,1
2020-07-25,CONCEICAO DO JACUIPE,233,0,48,281,0,0.20,33153,847.59,0
2020-07-25,QUEIMADAS,74,0,162,236,11,0.16,25439,927.71,0
2020-07-25,VALENTE,59,0,175,234,1,0.16,28473,821.83,15
2020-07-25,SANTA BARBARA,191,0,28,219,4,0.15,20791,1053.34,0
2020-07-25,RIACHAO DO JACUIPE,58,0,157,215,11,0.15,33436,643.02,0
2020-07-25,SANTO ESTEVAO,152,0,46,198,0,0.14,52850,374.65,0
2020-07-25,AMELIA RODRIGUES,146,0,47,193,2,0.13,25102,768.86,1
2020-07-25,TEOFILANDIA,54,0,137,191,0,0.13,22518,848.21,0
2020-07-25,SANTALUZ,40,0,134,174,4,0.12,37348,465.89,0
2020-07-25,IPIRA,155,0,17,172,1,0.12,59595,288.61,0
2020-07-25,TANQUINHO,17,1,151,169,0,0.12,7918,2134.38,0
2020-07-25,IRAQUARA,11,0,151,162,5,0.11,25216,642.45,0
2020-07-25,RUY BARBOSA,25,0,137,162,3,0.11,30814,525.74,0
2020-07-25,MONTE SANTO,42,0,98,140,3,0.10,49418,283.30,0
2020-07-25,RETIROLANDIA,80,0,59,139,0,0.10,14396,965.55,0
2020-07-25,SERRA PRETA,56,0,83,139,0,0.10,14878,934.27,0
2020-07-25,CORACAO DE MARIA,59,2,77,138,1,0.10,22605,610.48,0
2020-07-25,RAFAEL JAMBEIRO,104,0,33,137,3,0.10,22621,605.63,0
2020-07-25,SOUTO SOARES,6,0,110,116,0,0.08,16979,683.20,0
2020-07-25,TUCANO,48,1,59,108,3,0.08,50687,213.07,0
2020-07-25,TERRA NOVA,74,1,33,108,3,0.08,13033,828.67,0
2020-07-25,PINTADAS,56,0,49,105,0,0.07,10437,1006.04,1
2020-07-25,IACU,56,0,48,104,1,0.07,24305,427.90,0
2020-07-25,LENCOIS,8,0,93,101,0,0.07,11409,885.27,0
2020-07-25,CANSANCAO,28,0,63,91,0,0.06,34834,261.24,1
2020-07-25,NORDESTINA,18,1,58,77,0,0.05,13130,586.44,0
2020-07-25,EUCLIDES DA CUNHA,33,0,44,77,2,0.05,60585,127.09,0
2020-07-25,CAPELA DO ALTO ALEGRE,57,0,19,76,0,0.05,11637,653.09,0
2020-07-25,SEABRA,34,0,39,73,0,0.05,44091,165.57,0
2020-07-25,SANTANOPOLI S,54,0,7,61,0,0.04,8943,682.10,0
2020-07-25,BARROCAS,38,0,20,58,0,0.04,15978,363.00,0
2020-07-25,ITAETE,3,0,54,57,0,0.04,16056,355.01,1
2020-07-25,LAMARAO,30,0,19,49,0,0.03,8307,589.86,0
2020-07-25,IRARA,41,0,7,48,4,0.03,29034,165.32,0
2020-07-25,AGUA FRIA,37,1,9,47,0,0.03,16970,276.96,0
2020-07-25,PE DE SERRA,5,0,41,46,0,0.03,13578,338.78,1
2020-07-25,ANGUERA,41,0,1,42,0,0.03,11221,374.30,3
2020-07-25,IPECAETA,34,0,6,40,6,0.03,14487,276.11,1
2020-07-25,NOVA FATIMA,7,1,31,39,0,0.03,7812,499.23,1
2020-07-25,TEODORO SAMPAIO,19,0,14,33,0,0.02,7425,444.44,1
2020-07-25,QUIJINGUE,10,0,22,32,0,0.02,27580,116.03,2
2020-07-25,CANDEAL,25,0,5,30,0,0.02,8258,363.28,1
2020-07-25,ANTONIO CARDOSO,20,0,7,27,3,0.02,11683,231.11,2
2020-07-25,MARCIONILIO SOUZA,20,0,4,24,0,0.02,10406,230.64,3
2020-07-25,BIRITINGA,15,0,9,24,0,0.02,15979,150.20,0
2020-07-25,BOA VISTA DO TUPIM,4,0,15,19,1,0.01,18576,102.28,0
2020-07-25,MACAJUBA,16,0,3,19,0,0.01,11348,167.43,1
2020-07-25,MUCUGE,6,3,9,18,0,0.01,9062,198.63,2
2020-07-25,UTINGA,7,0,11,18,0,0.01,19178,93.86,1
2020-07-25,BONITO,6,0,9,15,1,0.01,16764,89.48,0
2020-07-25,PALMEIRAS,1,0,12,13,3,0.01,9019,144.14,0
2020-07-25,ANDARAI,5,1,7,13,1,0.01,13143,98.91,1
2020-07-25,SAO DOMINGOS,8,0,4,12,0,0.01,9058,132.48,39
2020-07-25,PIATA,4,0,7,11,0,0.01,17123,64.24,3
2020-07-25,BAIXA GRANDE,7,0,3,10,0,0.01,20468,48.86,0
2020-07-25,IBITIARA,2,0,8,10,0,0.01,16339,61.20,21
2020-07-25,MUNDO NOVO,5,0,4,9,1,0.01,26776,33.61,5
2020-07-25,ABAIRA,4,2,0,6,0,0.00,8739,68.66,27
2020-07-25,BONINAL,0,0,5,5,1,0.00,14368,34.80,28
2020-07-25,NOVA REDENCAO,2,0,1,3,0,0.00,9118,32.90,28
2020-07-25,LAJEDINHO,0,0,3,3,0,0.00,3783,79.30,1
2020-07-25,ICHU,1,0,1,2,0,0.00,6206,32.23,13
2020-07-25,IBIQUERA,1,0,0,1,0,0.00,4044,24.73,2
2020-07-25,WAGNER,0,0,1,1,0,0.00,9345,10.70,25
2020-07-25,TOTAL,9684,42,5307,15033,335,10
2020-07-25,IRECE,128,0,264,392,10,0.27,72967,537.23,0
2020-07-25,CAPIM GROSSO,84,0,301,385,1,0.27,30662,1255.63,0
2020-07-25,JACOBINA,52,0,208,260,2,0.18,80518,322.91,0
2020-07-25,GENTIO DO OURO,4,0,160,164,0,0.11,11233,1459.98,1
2020-07-25,JOAO DOURADO,10,0,143,153,3,0.11,25188,607.43,0
2020-07-25,CAFARNAUM,1,0,111,112,3,0.08,18437,607.47,0
2020-07-25,UMBURANAS,9,2,97,108,1,0.08,19222,561.86,0
2020-07-25,MAIRI,44,0,56,100,3,0.07,18676,535.45,0
2020-07-25,AMERICA DOURADA,4,0,79,83,0,0.06,16094,515.72,1
2020-07-25,OUROLANDIA,6,0,67,73,8,0.05,17451,418.31,1
2020-07-25,PRESIDENTE DUTRA,12,0,61,73,2,0.05,15142,482.10,0
2020-07-25,LAPAO,21,1,49,71,0,0.05,27223,260.81,0
2020-07-25,CALDEIRAO GRANDE,5,0,58,63,2,0.04,13327,472.72,0
2020-07-25,CANARANA,17,0,41,58,1,0.04,26176,221.58,1
2020-07-25,XIQUE-XIQUE,14,0,39,53,1,0.04,46483,114.02,0
2020-07-25,VARZEA DA ROCA,27,0,25,52,14,0.04,14104,368.69,0
2020-07-25,VARZEA NOVA,10,0,35,45,5,0.03,12697,354.41,0
2020-07-25,MIGUEL CALMON,12,0,32,44,1,0.03,26023,169.08,0
2020-07-25,TAPIRAMUTA,21,0,19,40,0,0.03,17010,235.16,0
2020-07-25,CAEM,6,0,33,39,0,0.03,9213,423.31,22
2020-07-25,SAO GABRIEL,1,0,37,38,0,0.03,18793,202.20,0
2020-07-25,SERROLANDIA,7,2,26,35,0,0.02,13397,261.25,1
2020-07-25,QUIXABEIRA,21,0,14,35,0,0.02,8972,390.10,0
2020-07-25,JUSSARA,2,0,19,21,0,0.01,15284,137.40,3
2020-07-25,SAO JOSE DO JACUIPE,3,0,16,19,0,0.01,10462,181.61,1
2020-07-25,PIRITIBA,10,0,9,19,3,0.01,24755,76.75,2
2020-07-25,MORRO DO CHAPEU,12,0,6,18,0,0.01,35413,50.83,1
2020-07-25,MIRANGABA,8,0,8,16,0,0.01,18338,87.25,0
2020-07-25,IBITITA,10,0,2,12,0,0.01,17113,70.12,3
2020-07-25,MULUNGU DO MORRO,3,0,9,12,0,0.01,10889,110.20,6
2020-07-25,CENTRAL,5,0,5,10,0,0.01,17266,57.92,1
2020-07-25,BARRO ALTO,5,0,4,9,0,0.01,14931,60.28,1
2020-07-25,ITAGUACU DA BAHIA,1,0,7,8,0,0.01,14429,55.44,13
2020-07-25,UIBAI,2,0,5,7,0,0.00,13887,50.41,10
2020-07-25,SAUDE,0,0,7,7,0,0.00,12913,54.21,8
2020-07-25,IBIPEBA,0,0,7,7,0,0.00,18211,38.44,23
2020-07-25,BARRA DO MENDES,2,0,4,6,0,0.00,13865,43.27,0
2020-07-25,VARZEA DO POCO,3,0,1,4,0,0.00,9170,43.62,1
2020-07-25,TOTAL,582,5,2064,2651,60,2
2020-07-25,TEIXEIRA DE FREITAS,425,17,1686,2128,15,1.48,160487,1325.96,0
2020-07-25,EUNAPOLIS,403,100,1063,1566,11,1.09,113380,1381.20,0
2020-07-25,PORTO SEGURO,424,6,953,1383,23,0.96,148686,930.15,0
2020-07-25,ITAMARAJU,137,54,810,1001,25,0.70,64486,1552.27,0
2020-07-25,MEDEIROS NETO,39,103,269,411,48,0.29,22688,1811.53,0
2020-07-25,MUCURI,71,18,240,329,2,0.23,41748,788.06,0
2020-07-25,NOVA VICOSA,117,9,145,271,3,0.19,43376,624.77,0
2020-07-25,SANTA CRUZ CABRALIA,135,0,131,266,7,0.18,27778,957.59,0
2020-07-25,PRADO,56,9,170,235,5,0.16,28174,834.10,0
2020-07-25,ITABELA,123,28,69,220,5,0.15,30584,719.33,0
2020-07-25,BELMONTE,74,0,131,205,2,0.14,23328,878.77,0
2020-07-25,ALCOBACA,21,57,124,202,3,0.14,22470,898.98,0
2020-07-25,ITANHEM,25,34,127,186,1,0.13,19405,958.52,0
2020-07-25,GUARATINGA,92,0,54,146,4,0.10,20843,700.47,0
2020-07-25,CARAVELAS,45,18,66,129,2,0.09,22016,585.94,0
2020-07-25,ITAPEBI,101,0,14,115,0,0.08,10259,1120.97,0
2020-07-25,VEREDA,45,0,29,74,3,0.05,6205,1192.59,1
2020-07-25,IBIRAPUA,18,0,49,67,1,0.05,8637,775.73,2
2020-07-25,JUCURUCU,5,0,32,37,0,0.03,9126,405.44,0
2020-07-25,ITAGIMIRIM,28,0,7,35,0,0.02,6869,509.54,1
2020-07-25,LAJEDAO,8,0,3,11,0,0.01,3955,278.13,3
2020-07-25,TOTAL,2392,453,6172,9017,160,6
2020-07-25,SALVADOR,41497,699,9793,51989,31,36.13,2872347,1809.98,0
2020-07-25,LAURO DE FREITAS,2138,7,1938,4083,35,2.84,198440,2057.55,0
2020-07-25,CAMACARI,1886,103,1591,3580,69,2.49,299132,1196.80,0
2020-07-25,SIMOES FILHO,618,0,800,1418,11,0.99,134377,1055.24,0
2020-07-25,CANDEIAS,498,118,770,1386,18,0.96,87076,1591.71,0
2020-07-25,SANTO ANTONIO DE JESUS,703,2,391,1096,11,0.76,101512,1079.68,0
2020-07-25,DIAS DAVILA,491,48,301,840,6,0.58,81089,1035.90,0
2020-07-25,SAO FRANCISCO DO CONDE,166,2,369,537,6,0.37,39802,1349.18,0
2020-07-25,SAO SEBASTIAO DO PASSE,125,0,401,526,12,0.37,44300,1187.36,0
2020-07-25,SANTO AMARO,431,6,74,511,1,0.36,60069,850.69,0
2020-07-25,PRESIDENTE TANCREDO NEVES,59,6,442,507,17,0.35,27719,1829.07,0
2020-07-25,MADRE DE DEUS,253,1,213,467,5,0.32,21093,2214.00,0
2020-07-25,POJUCA,223,1,221,445,3,0.31,39519,1126.04,0
2020-07-25,CONCEICAO DA FEIRA,141,1,222,364,4,0.25,22581,1611.97,0
2020-07-25,CRUZ DAS ALMAS,249,0,83,332,4,0.23,63239,524.99,0
2020-07-25,MATA DE SAO JOAO,282,11,33,326,3,0.23,46583,699.83,0
2020-07-25,CACHOEIRA,223,0,23,246,1,0.17,33470,734.99,1
2020-07-25,MARAGOGIPE,158,0,88,246,7,0.17,44677,550.62,0
2020-07-25,VERA CRUZ,175,0,41,216,1,0.15,43223,499.73,1
2020-07-25,NAZARE,120,1,83,204,2,0.14,28525,715.16,0
2020-07-25,ITAPARICA,93,0,102,195,4,0.14,22228,877.27,0
2020-07-25,CONCEICAO DO ALMEIDA,92,0,94,186,3,0.13,17247,1078.45,0
2020-07-25,AMARGOSA,109,8,53,170,3,0.12,37241,456.49,0
2020-07-25,SAO FELIPE,37,0,114,151,15,0.10,21074,716.52,0
2020-07-25,MURITIBA,103,0,38,141,0,0.10,29399,479.61,0
2020-07-25,CASTRO ALVES,18,18,102,138,3,0.10,26264,525.43,0
2020-07-25,SAPEACU,74,0,45,119,4,0.08,17398,683.99,0
2020-07-25,CONDE,79,0,36,115,1,0.08,25837,445.10,0
2020-07-25,JAGUARIPE,27,0,86,113,2,0.08,18788,601.45,0
2020-07-25,LAJE,28,4,56,88,1,0.06,23840,369.13,0
2020-07-25,SAO FELIX,38,0,43,81,2,0.06,14740,549.53,0
2020-07-25,GOVERNADOR MANGABEIRA,51,0,29,80,2,0.06,20722,386.06,1
2020-07-25,MILAGRES,24,0,51,75,0,0.05,10950,684.93,2
2020-07-25,SALINAS DA MARGARIDA,17,0,50,67,2,0.05,15667,427.65,0
2020-07-25,ITATIM,26,5,30,61,1,0.04,14487,421.07,0
2020-07-25,MUTUIPE,31,4,25,60,6,0.04,22221,270.01,0
2020-07-25,MUNIZ FERREIRA,15,0,29,44,3,0.03,7422,592.83,0
2020-07-25,VARZEDO,31,6,7,44,0,0.03,8838,497.85,0
2020-07-25,SAUBARA,29,0,13,42,0,0.03,12043,348.75,0
2020-07-25,CABACEIRAS DO PARAGUACU,22,0,10,32,0,0.02,18807,170.15,1
2020-07-25,SANTA TERESINHA,6,1,23,30,0,0.02,10405,288.32,1
2020-07-25,ELISIO MEDRADO,23,2,4,29,0,0.02,8122,357.05,0
2020-07-25,ARATUIPE,7,0,20,27,0,0.02,8825,305.95,2
2020-07-25,DOM MACEDO COSTA,4,0,19,23,0,0.02,4058,566.78,0
2020-07-25,SAO MIGUEL DAS MATAS,11,1,8,20,2,0.01,11675,171.31,1
2020-07-25,UBAIRA,10,0,7,17,0,0.01,19895,85.45,1
2020-07-25,NOVA ITARANA,3,0,14,17,0,0.01,8226,206.66,1
2020-07-25,JIQUIRICA,14,0,1,15,0,0.01,14537,103.18,1
2020-07-25,TOTAL,51458,1055,18986,71499,301,50
2020-07-25,ALAGOINHAS,720,0,789,1509,43,1.05,151596,995.41,0
2020-07-25,CATU,305,0,414,719,23,0.50,54704,1314.35,0
2020-07-25,RIBEIRA DO POMBAL,291,4,34,329,2,0.23,53807,611.44,0
2020-07-25,NOVA SOURE,14,1,207,222,1,0.15,26947,823.84,0
2020-07-25,RIO REAL,80,0,123,203,8,0.14,40732,498.38,0
2020-07-25,ITAPICURU,18,0,146,164,18,0.11,35576,460.98,0
2020-07-25,ENTRE RIOS,48,20,86,154,4,0.11,41780,368.60,0
2020-07-25,ESPLANADA,27,8,101,136,3,0.09,37237,365.23,0
2020-07-25,JANDAIRA,22,1,105,128,6,0.09,10709,1195.26,0
2020-07-25,CORONEL JOAO SA,5,0,103,108,2,0.08,15895,679.46,0
2020-07-25,CIPO,11,0,96,107,0,0.07,17300,618.50,0
2020-07-25,CRISOPOLIS,31,3,67,101,0,0.07,21103,478.60,0
2020-07-25,INHAMBUPE,37,0,64,101,4,0.07,39926,252.97,0
2020-07-25,PARIPIRANGA,26,0,64,90,4,0.06,28989,310.46,0
2020-07-25,CICERO DANTAS,15,0,61,76,0,0.05,32515,233.74,0
2020-07-25,BANZAE,51,0,20,71,0,0.05,13229,536.70,0
2020-07-25,OLINDINA,7,0,62,69,0,0.05,28229,244.43,0
2020-07-25,ARAMARI,47,0,18,65,0,0.05,11397,570.33,0
2020-07-25,SITIO DO QUINTO,16,0,44,60,2,0.04,9986,600.84,0
2020-07-25,ACAJUTIBA,13,5,42,60,1,0.04,15159,395.80,0
2020-07-25,APORA,12,3,42,57,5,0.04,17731,321.47,0
2020-07-25,ADUSTINA,11,0,44,55,0,0.04,17040,322.77,8
2020-07-25,ANTAS,12,0,38,50,3,0.03,19291,259.19,1
2020-07-25,FATIMA,15,0,27,42,0,0.03,17890,234.77,0
2020-07-25,NOVO TRIUNFO,5,0,35,40,0,0.03,15440,259.07,3
2020-07-25,RIBEIRA DO AMPARO,4,0,28,32,0,0.02,14592,219.30,0
2020-07-25,SATIRO DIAS,21,0,9,30,0,0.02,17273,173.68,0
2020-07-25,ARACAS,21,0,8,29,0,0.02,12177,238.15,0
2020-07-25,OURICANGAS,18,0,5,23,0,0.02,8564,268.57,0
2020-07-25,HELIOPOLIS,8,0,14,22,0,0.02,13031,168.83,0
2020-07-25,CARDEAL DA SILVA,12,0,2,14,0,0.01,9295,150.62,0
2020-07-25,ITANAGRA,6,0,8,14,0,0.01,6441,217.36,1
2020-07-25,PEDRAO,1,0,2,3,1,0.00,7347,40.83,6
2020-07-25,TOTAL,1930,45,2908,4883,130,3
2020-07-25,JUAZEIRO,445,1,1800,2246,50,1.56,216707,1036.42,0
2020-07-25,CAMPO FORMOSO,92,0,417,509,22,0.35,71206,714.83,0
2020-07-25,PAULO AFONSO,225,0,146,371,11,0.26,117782,314.99,0
2020-07-25,SOBRADINHO,35,0,261,296,16,0.21,23191,1276.36,0
2020-07-25,SENHOR DO BONFIM,74,0,185,259,4,0.18,79015,327.79,0
2020-07-25,CASA NOVA,21,0,215,236,9,0.16,71969,327.92,0
2020-07-25,FILADELFIA,37,0,195,232,2,0.16,16377,1416.62,0
2020-07-25,PINDOBACU,51,0,129,180,29,0.13,20150,893.30,0
2020-07-25,JAGUARARI,12,0,162,174,10,0.12,33570,518.32,0
2020-07-25,CURACA,30,0,105,135,1,0.09,34700,389.05,0
2020-07-25,UAUA,31,0,103,134,21,0.09,24240,552.81,0
2020-07-25,MACURURE,9,6,82,97,0,0.07,7824,1239.78,0
2020-07-25,SENTO SE,13,0,72,85,2,0.06,40684,208.93,0
2020-07-25,ANTONIO GONCALVES,35,0,43,78,2,0.05,11798,661.13,0
2020-07-25,CANUDOS,4,0,64,68,0,0.05,16668,407.97,0
2020-07-25,PILAO ARCADO,21,0,47,68,2,0.05,35048,194.02,0
2020-07-25,CAMPO ALEGRE DE LOURDES,16,0,51,67,0,0.05,28798,232.66,0
2020-07-25,REMANSO,20,0,40,60,0,0.04,41008,146.31,6
2020-07-25,JEREMOABO,10,0,41,51,1,0.04,40463,126.04,1
2020-07-25,PONTO NOVO,40,0,7,47,1,0.03,14914,315.14,0
2020-07-25,SANTA BRIGIDA,11,0,30,41,3,0.03,14213,288.47,0
2020-07-25,GLORIA,18,0,23,41,2,0.03,15221,269.36,0
2020-07-25,ABARE,5,0,30,35,0,0.02,20086,174.25,0
2020-07-25,ITIUBA,14,1,19,34,0,0.02,36089,94.21,0
2020-07-25,ANDORINHA,10,0,18,28,0,0.02,14595,191.85,2
2020-07-25,PEDRO ALEXANDRE,5,0,13,18,1,0.01,16667,108.00,0
2020-07-25,RODELAS,6,0,6,12,0,0.01,9331,128.60,6
2020-07-25,CHORROCHO,3,0,5,8,0,0.01,11177,71.58,3
2020-07-25,TOTAL,1293,8,4309,5610,189,4
2020-07-25,BARREIRAS,739,2,413,1154,31,0.80,155439,742.41,0
2020-07-25,LUIS EDUARDO MAGALHAES,363,2,402,767,62,0.53,87519,876.38,0
2020-07-25,SAO DESIDERIO,33,0,116,149,1,0.10,33742,441.59,0
2020-07-25,IBOTIRAMA,37,0,87,124,2,0.09,26927,460.50,0
2020-07-25,BOM JESUS DA LAPA,26,0,84,110,0,0.08,69148,159.08,0
2020-07-25,CORRENTINA,12,1,59,72,14,0.05,32137,224.04,0
2020-07-25,RIACHAO DAS NEVES,30,1,38,69,0,0.05,22339,308.88,0
2020-07-25,BURITIRAMA,18,0,47,65,0,0.05,21174,306.98,0
2020-07-25,BARRA,12,0,50,62,2,0.04,53578,115.72,0
2020-07-25,CRISTOPOLIS,15,1,29,45,0,0.03,13910,323.51,6
2020-07-25,OLIVEIRA DOS BREJINHOS,17,0,28,45,0,0.03,21825,206.19,3
2020-07-25,MANSIDAO,3,0,39,42,0,0.03,13643,307.85,1
2020-07-25,MUQUEM DE SAO FRANCISCO,23,1,16,40,1,0.03,11348,352.49,0
2020-07-25,SANTA RITA DE CASSIA,8,0,27,35,1,0.02,28338,123.51,0
2020-07-25,CORIBE,26,1,7,34,0,0.02,14194,239.54,0
2020-07-25,SANTA MARIA DA VITORIA,15,0,14,29,0,0.02,39845,72.78,1
2020-07-25,SAO FELIX DO CORIBE,7,6,12,25,1,0.02,15391,162.43,0
2020-07-25,MORPARA,11,0,13,24,1,0.02,8519,281.72,2
2020-07-25,PARATINGA,3,0,18,21,0,0.01,32000,65.63,0
2020-07-25,COCOS,20,0,0,20,2,0.01,18777,106.51,0
2020-07-25,FORMOSA DO RIO PRETO,5,0,15,20,0,0.01,25591,78.15,12
2020-07-25,FEIRA DA MATA,15,0,0,15,0,0.01,5665,264.78,1
2020-07-25,ANGICAL,6,1,7,14,0,0.01,13977,100.16,0
2020-07-25,JABORANDI,6,0,4,10,0,0.01,8385,119.26,0
2020-07-25,BAIANOPOLIS,6,0,3,9,0,0.01,13877,64.86,1
2020-07-25,SERRA DO RAMALHO,6,0,1,7,0,0.00,31472,22.24,18
2020-07-25,COTEGIPE,2,0,4,6,0,0.00,13782,43.54,0
2020-07-25,TABOCAS DO BREJO VELHO,0,0,5,5,0,0.00,12518,39.94,28
2020-07-25,CATOLANDIA,4,0,1,5,0,0.00,3577,139.78,2
2020-07-25,SERRA DOURADA,1,0,2,3,0,0.00,17386,17.26,1
2020-07-25,WANDERLEY,0,0,1,1,0,0.00,12238,8.17,52
2020-07-25,TOTAL,1469,16,1542,3027,118,2
2020-07-25,VITORIA DA CONQUISTA,747,2,1298,2047,23,1.42,338480,604.76,0
2020-07-25,ITAPETINGA,254,2,309,565,27,0.39,76147,741.99,0
2020-07-25,BRUMADO,243,9,161,413,1,0.29,67195,614.63,0
2020-07-25,POCOES,33,0,377,410,7,0.28,46871,874.74,0
2020-07-25,IGUAI,45,23,270,338,3,0.23,26916,1255.76,0
2020-07-25,BARRA DO CHOCA,83,0,157,240,2,0.17,31603,759.42,0
2020-07-25,CANDIDO SALES,12,0,191,203,3,0.14,25189,805.91,0
2020-07-25,URANDI,11,0,158,169,5,0.12,16658,1014.53,0
2020-07-25,GUANAMBI,83,0,82,165,2,0.11,84481,195.31,0
2020-07-25,PLANALTO,10,0,123,133,2,0.09,26265,506.38,0
2020-07-25,MACARANI,87,1,42,130,1,0.09,18755,693.15,0
2020-07-25,IBICUI,22,0,85,107,2,0.07,16198,660.58,0
2020-07-25,ITORORO,34,0,68,102,2,0.07,20382,500.44,0
2020-07-25,NOVA CANAA,10,0,87,97,2,0.07,16462,589.24,0
2020-07-25,ENCRUZILHAD A,8,0,81,89,0,0.06,17006,523.34,0
