date,id,municipio,total_obitos_munres
2020-07-25,2,ADUSTINA,1
2020-07-25,3,AGUA FRIA,1
2020-07-25,4,AIQUARA,3
2020-07-25,5,ALAGOINHAS,30
2020-07-25,6,ALCOBACA,2
2020-07-25,7,ALMADINA,1
2020-07-25,8,AMARGOSA,6
2020-07-25,9,AMELIA RODRIGUES,1
2020-07-25,10,ANAGE,1
2020-07-25,11,ANDORINHA,1
2020-07-25,12,ANTONIO GONCALVES,1
2020-07-25,13,APORA,2
2020-07-25,14,ARACI,4
2020-07-25,15,ARATUIPE,1
2020-07-25,16,AURELINO LEAL,2
2020-07-25,17,BARRA,1
2020-07-25,18,BARRA DO CHOCA,2
2020-07-25,19,BARREIRAS,12
2020-07-25,20,BARRO PRETO,3
2020-07-25,21,BELMONTE,1
2020-07-25,22,BONITO,1
2020-07-25,23,BRUMADO,3
2020-07-25,24,BUERAREMA,9
2020-07-25,25,BURITIRAMA,1
2020-07-25,26,CABACEIRAS DO PARAGUACU,1
2020-07-25,27,CACHOEIRA,5
2020-07-25,28,CACULE*,1
2020-07-25,29,CAETITE,2
2020-07-25,30,CAIRU,3
2020-07-25,31,CALDEIRAO GRANDE,1
2020-07-25,32,CAMACAN,15
2020-07-25,33,CAMACARI*,53
2020-07-25,34,CAMAMU*,8
2020-07-25,35,CAMPO ALEGRE DE LOURDES,2
2020-07-25,36,CAMPO FORMOSO,5
2020-07-25,37,CANAVIEIRAS,3
2020-07-25,38,CANDEIAS*,30
2020-07-25,39,CANDIDO SALES,5
2020-07-25,40,CANSANCAO,2
2020-07-25,41,CANUDOS,2
2020-07-25,42,CAPIM GROSSO,4
2020-07-25,43,CARDEAL DA SILVA,1
2020-07-25,44,CASA NOVA,5
2020-07-25,45,CASTRO ALVES,3
2020-07-25,46,CATU,6
2020-07-25,47,CICERO DANTAS,1
2020-07-25,48,COARACI,5
2020-07-25,49,CONCEICAO DA FEIRA,2
2020-07-25,50,CONCEICAO DO ALMEIDA,2
2020-07-25,51,CONCEICAO DO COITE,3
2020-07-25,52,CONCEICAO DO JACUIPE,1
2020-07-25,53,CONDE,4
2020-07-25,54,CONDEUBA,1
2020-07-25,55,CORACAO DE MARIA,1
2020-07-25,56,CORDEIROS,1
2020-07-25,57,COTEGIPE,1
2020-07-25,58,CRISOPOLIS,1
2020-07-25,59,CRUZ DAS ALMAS,4
2020-07-25,60,CURACA,1
2020-07-25,61,DARIO MEIRA,2
2020-07-25,62,DIAS DAVILA,18
2020-07-25,63,ENTRE RIOS,1
2020-07-25,64,ESPLANADA,1
