regex,municipio
^[^A-Z]*SÃO[^A-Z]+DOMINGOS[^A-Z]*$,São Domingos
^[^A-Z]*IPECAETA[^A-Z]*$,Ipecaetá
^[^A-Z]*IPECAETÁ[^A-Z]*$,Ipecaetá
^[^A-Z]*UTINGA[^A-Z]*$,Utinga
^[^A-Z]*BOA[^A-Z]+VISTA[^A-Z]+DO[^A-Z]+TUPIM[^A-Z]*$,Boa Vista do Tupim
^[^A-Z]*ABAIRA[^A-Z]*$,Abaíra
^[^A-Z]*ABAÍRA[^A-Z]*$,Abaíra
^[^A-Z]*SOUTO[^A-Z]+SOARES[^A-Z]*$,Souto Soares
^[^A-Z]*NOVA[^A-Z]+FATIMA[^A-Z]*$,Nova Fátima
^[^A-Z]*NOVA[^A-Z]+FÁTIMA[^A-Z]*$,Nova Fátima
^[^A-Z]*BONINAL[^A-Z]*$,Boninal
^[^A-Z]*PALMEIRAS[^A-Z]*$,Palmeiras
^[^A-Z]*NOVA[^A-Z]+REDENCAO[^A-Z]*$,Nova Redenção
^[^A-Z]*NOVA[^A-Z]+REDENÇÃO[^A-Z]*$,Nova Redenção
^[^A-Z]*ICHU[^A-Z]*$,Ichu
^[^A-Z]*BAIXA[^A-Z]+GRANDE[^A-Z]*$,Baixa Grande
^[^A-Z]*WAGNER[^A-Z]*$,Wagner
^[^A-Z]*MUNDO[^A-Z]+NOVO[^A-Z]*$,Mundo Novo
^[^A-Z]*BIRITINGA[^A-Z]*$,Biritinga
^[^A-Z]*JACOBINA[^A-Z]*$,Jacobina
^[^A-Z]*CAPIM[^A-Z]+GROSSO[^A-Z]*$,Capim Grosso
^[^A-Z]*IRECE[^A-Z]*$,Irecê
^[^A-Z]*IRECÊ[^A-Z]*$,Irecê
^[^A-Z]*JOAO[^A-Z]+DOURADO[^A-Z]*$,João Dourado
^[^A-Z]*JOÃO[^A-Z]+DOURADO[^A-Z]*$,João Dourado
^[^A-Z]*UMBURANAS[^A-Z]*$,Umburanas
^[^A-Z]*CAEM[^A-Z]*$,Caém
^[^A-Z]*CAÉM[^A-Z]*$,Caém
^[^A-Z]*MAIRI[^A-Z]*$,Mairi
^[^A-Z]*CALDEIRAO[^A-Z]+GRANDE[^A-Z]*$,Caldeirão Grande
^[^A-Z]*CALDEIRÃO[^A-Z]+GRANDE[^A-Z]*$,Caldeirão Grande
^[^A-Z]*PRESIDENTE[^A-Z]+DUTRA[^A-Z]*$,Presidente Dutra
^[^A-Z]*XIQUE-XIQUE[^A-Z]*$,Xique-Xique
^[^A-Z]*LAPAO[^A-Z]*$,Lapão
^[^A-Z]*LAPÃO[^A-Z]*$,Lapão
^[^A-Z]*CANARANA[^A-Z]*$,Canarana
^[^A-Z]*SERROLANDIA[^A-Z]*$,Serrolândia
^[^A-Z]*SERROLÂNDIA[^A-Z]*$,Serrolândia
^[^A-Z]*AMERICA[^A-Z]+DOURADA[^A-Z]*$,América Dourada
^[^A-Z]*AMÉRICA[^A-Z]+DOURADA[^A-Z]*$,América Dourada
^[^A-Z]*MIGUEL[^A-Z]+CALMON[^A-Z]*$,Miguel Calmon
^[^A-Z]*GENTIO[^A-Z]+DO[^A-Z]+OURO[^A-Z]*$,Gentio do Ouro
^[^A-Z]*VARZEA[^A-Z]+NOVA[^A-Z]*$,Várzea Nova
^[^A-Z]*VÁRZEA[^A-Z]+NOVA[^A-Z]*$,Várzea Nova
^[^A-Z]*QUIXABEIRA[^A-Z]*$,Quixabeira
^[^A-Z]*MORRO[^A-Z]+DO[^A-Z]+CHAPEU[^A-Z]*$,Morro do Chapéu
^[^A-Z]*MORRO[^A-Z]+DO[^A-Z]+CHAPÉU[^A-Z]*$,Morro do Chapéu
^[^A-Z]*OUROLANDIA[^A-Z]*$,Ourolândia
^[^A-Z]*OUROLÂNDIA[^A-Z]*$,Ourolândia
^[^A-Z]*MULUNGU[^A-Z]+DO[^A-Z]+MORRO[^A-Z]*$,Mulungu do Morro
^[^A-Z]*MIRANGABA[^A-Z]*$,Mirangaba
^[^A-Z]*IBIPEBA[^A-Z]*$,Ibipeba
^[^A-Z]*PIRITIBA[^A-Z]*$,Piritiba
^[^A-Z]*VARZEA[^A-Z]+DA[^A-Z]+ROCA[^A-Z]*$,Várzea da Roça
^[^A-Z]*VÁRZEA[^A-Z]+DA[^A-Z]+ROÇA[^A-Z]*$,Várzea da Roça
^[^A-Z]*UIBAI[^A-Z]*$,Uibaí
^[^A-Z]*UIBAÍ[^A-Z]*$,Uibaí
^[^A-Z]*SAO[^A-Z]+JOSE[^A-Z]+DO[^A-Z]+JACUIPE[^A-Z]*$,São José do Jacuípe
^[^A-Z]*SÃO[^A-Z]+JOSÉ[^A-Z]+DO[^A-Z]+JACUÍPE[^A-Z]*$,São José do Jacuípe
^[^A-Z]*SAO[^A-Z]+GABRIEL[^A-Z]*$,São Gabriel
^[^A-Z]*SÃO[^A-Z]+GABRIEL[^A-Z]*$,São Gabriel
^[^A-Z]*CAFARNAUM[^A-Z]*$,Cafarnaum
^[^A-Z]*TAPIRAMUTA[^A-Z]*$,Tapiramutá
^[^A-Z]*TAPIRAMUTÁ[^A-Z]*$,Tapiramutá
^[^A-Z]*BARRA[^A-Z]+DO[^A-Z]+MENDES[^A-Z]*$,Barra do Mendes
^[^A-Z]*ITAGUACU[^A-Z]+DA[^A-Z]+BAHIA[^A-Z]*$,Itaguaçu da Bahia
^[^A-Z]*ITAGUAÇU[^A-Z]+DA[^A-Z]+BAHIA[^A-Z]*$,Itaguaçu da Bahia
^[^A-Z]*JUSSARA[^A-Z]*$,Jussara
^[^A-Z]*TEIXEIRA[^A-Z]+DE[^A-Z]+FREITAS[^A-Z]*$,Teixeira de Freitas
^[^A-Z]*EUNAPOLIS[^A-Z]*$,Eunápolis
^[^A-Z]*EUNÁPOLIS[^A-Z]*$,Eunápolis
^[^A-Z]*PORTO[^A-Z]+SEGURO[^A-Z]*$,Porto Seguro
^[^A-Z]*ITAMARAJU[^A-Z]*$,Itamaraju
^[^A-Z]*MUCURI[^A-Z]*$,Mucuri
^[^A-Z]*NOVA[^A-Z]+VICOSA[^A-Z]*$,Nova Viçosa
^[^A-Z]*NOVA[^A-Z]+VIÇOSA[^A-Z]*$,Nova Viçosa
^[^A-Z]*PRADO[^A-Z]*$,Prado
^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+CABRALIA[^A-Z]*$,Santa Cruz Cabrália
^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+CABRÁLIA[^A-Z]*$,Santa Cruz Cabrália
^[^A-Z]*ITANHEM[^A-Z]*$,Itanhém
^[^A-Z]*ITANHÉM[^A-Z]*$,Itanhém
^[^A-Z]*MEDEIROS[^A-Z]+NETO[^A-Z]*$,Medeiros Neto
^[^A-Z]*BELMONTE[^A-Z]*$,Belmonte
^[^A-Z]*ITABELA[^A-Z]*$,Itabela
^[^A-Z]*ITAPEBI[^A-Z]*$,Itapebi
^[^A-Z]*ALCOBACA[^A-Z]*$,Alcobaça
^[^A-Z]*ALCOBAÇA[^A-Z]*$,Alcobaça
^[^A-Z]*IBIRAPUA[^A-Z]*$,Ibirapuã
^[^A-Z]*IBIRAPUÃ[^A-Z]*$,Ibirapuã
^[^A-Z]*GUARATINGA[^A-Z]*$,Guaratinga
^[^A-Z]*CARAVELAS[^A-Z]*$,Caravelas
^[^A-Z]*VEREDA[^A-Z]*$,Vereda
^[^A-Z]*LAJEDAO[^A-Z]*$,Lajedão
^[^A-Z]*LAJEDÃO[^A-Z]*$,Lajedão
^[^A-Z]*ITAGIMIRIM[^A-Z]*$,Itagimirim
^[^A-Z]*JUCURUCU[^A-Z]*$,Jucuruçu
^[^A-Z]*JUCURUÇU[^A-Z]*$,Jucuruçu
^[^A-Z]*TOTAL[^A-Z]*$,Total
^[^A-Z]*SALVADOR[^A-Z]*$,Salvador
^[^A-Z]*LAURO[^A-Z]+DE[^A-Z]+FREITAS[^A-Z]*$,Lauro de Freitas
^[^A-Z]*CAMACARI[^A-Z]*$,Camaçari
^[^A-Z]*CAMAÇARI[^A-Z]*$,Camaçari
^[^A-Z]*SIMOES[^A-Z]+FILHO[^A-Z]*$,Simões Filho
^[^A-Z]*SIMÕES[^A-Z]+FILHO[^A-Z]*$,Simões Filho
^[^A-Z]*CANDEIAS[^A-Z]*$,Candeias
^[^A-Z]*SANTO[^A-Z]+ANTONIO[^A-Z]+DE[^A-Z]+JESUS[^A-Z]*$,Santo Antônio de Jesus
^[^A-Z]*SANTO[^A-Z]+ANTÔNIO[^A-Z]+DE[^A-Z]+JESUS[^A-Z]*$,Santo Antônio de Jesus
^[^A-Z]*DIAS[^A-Z]+DAVILA[^A-Z]*$,Dias Dávila
^[^A-Z]*DIAS[^A-Z]+DÁVILA[^A-Z]*$,Dias Dávila
^[^A-Z]*SAO[^A-Z]+FRANCISCO[^A-Z]+DO[^A-Z]+CONDE[^A-Z]*$,São Francisco do Conde
^[^A-Z]*SÃO[^A-Z]+FRANCISCO[^A-Z]+DO[^A-Z]+CONDE[^A-Z]*$,São Francisco do Conde
^[^A-Z]*MADRE[^A-Z]+DE[^A-Z]+DEUS[^A-Z]*$,Madre de Deus
^[^A-Z]*POJUCA[^A-Z]*$,Pojuca
^[^A-Z]*SAO[^A-Z]+SEBASTIAO[^A-Z]+DO[^A-Z]+PASSE[^A-Z]*$,São Sebastião do Passé
^[^A-Z]*SÃO[^A-Z]+SEBASTIÃO[^A-Z]+DO[^A-Z]+PASSÉ[^A-Z]*$,São Sebastião do Passé
^[^A-Z]*SANTO[^A-Z]+AMARO[^A-Z]*$,Santo Amaro
