date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso,total_ativos,total_obitos_munres,total_obitos_munocor
2020-07-22,FEIRA DE SANTANA,5328,1,867,6196,341,4.79,614872.0,1007.69,0.0,486.0,81.0,73.0
2020-07-22,ITABERABA,158,18,419,595,39,0.46,64489.0,922.64,0.0,81.0,16.0,10.0
2020-07-22,CONCEICAO DO COITE,340,1,223,564,47,0.44,66612.0,846.69,0.0,50.0,3.0,3.0
2020-07-22,ARACI,220,0,321,541,10,0.42,54379.0,994.87,0.0,75.0,4.0,1.0
2020-07-22,SERRINHA,226,0,180,406,26,0.31,80861.0,502.1,0.0,14.0,6.0,2.0
2020-07-22,SAO GONCALO DOS CAMPOS,75,0,205,280,22,0.22,37550.0,745.67,0.0,33.0,3.0,3.0
2020-07-22,CONCEICAO DO JACUIPE,215,0,46,261,2,0.2,33153.0,787.26,0.0,15.0,1.0,1.0
2020-07-22,QUEIMADAS,71,0,150,221,4,0.17,25439.0,868.74,0.0,26.0,2.0,0.0
2020-07-22,VALENTE,57,0,161,218,9,0.17,28473.0,765.64,12.0,5.0,3.0,0.0
2020-07-22,SANTA BARBARA,181,0,27,208,4,0.16,20791.0,1000.43,2.0,6.0,2.0,0.0
2020-07-22,RIACHAO DO JACUIPE,54,0,145,199,6,0.15,33436.0,595.17,0.0,6.0,3.0,1.0
2020-07-22,SANTO ESTEVAO,134,0,44,178,6,0.14,52850.0,336.8,0.0,53.0,2.0,0.0
2020-07-22,TEOFILANDIA,46,0,131,177,2,0.14,22518.0,786.04,0.0,7.0,0.0,0.0
2020-07-22,AMELIA RODRIGUES,126,0,47,173,6,0.13,25102.0,689.19,1.0,23.0,1.0,1.0
2020-07-22,SANTALUZ,35,0,129,164,5,0.13,37348.0,439.11,0.0,6.0,3.0,3.0
2020-07-22,IRAQUARA,10,0,143,153,4,0.12,25216.0,606.76,0.0,28.0,0.0,0.0
2020-07-22,IPIRA,134,0,16,150,5,0.12,59595.0,251.7,0.0,18.0,3.0,1.0
2020-07-22,RUY BARBOSA,23,0,121,144,6,0.11,30814.0,467.32,0.0,20.0,2.0,1.0
2020-07-22,MONTE SANTO,41,0,85,126,1,0.1,49418.0,254.97,0.0,12.0,5.0,1.0
2020-07-22,RAFAEL JAMBEIRO,94,0,30,124,2,0.1,22621.0,548.16,0.0,17.0,0.0,0.0
2020-07-22,RETIROLANDIA,68,0,53,121,3,0.09,14396.0,840.51,0.0,21.0,0.0,0.0
2020-07-22,CORACAO DE MARIA,52,2,60,114,11,0.09,22605.0,504.31,0.0,17.0,1.0,0.0
2020-07-22,SERRA PRETA,42,0,71,113,17,0.09,14878.0,759.51,0.0,22.0,2.0,1.0
