date,id,municipio,total_ativos
2020-06-28,1,SALVADOR,9954
2020-06-28,2,FEIRA DE SANTANA,1302
2020-06-28,3,LAURO DE FREITAS,838
2020-06-28,4,TEIXEIRA DE FREITAS,550
2020-06-28,5,CAMACARI,483
2020-06-28,6,ILHEUS,299
2020-06-28,7,GANDU,284
2020-06-28,8,JUAZEIRO,253
2020-06-28,9,SIMOES FILHO,252
2020-06-28,10,PORTO SEGURO,242
2020-06-28,11,ITABUNA,242
2020-06-28,12,VALENCA,235
2020-06-28,13,JEQUIE,212
2020-06-28,14,EUNAPOLIS,193
2020-06-28,15,VITORIA DA CONQUISTA,191
2020-06-28,16,SANTO ANTONIO DE JESUS,185
2020-06-28,17,ALAGOINHAS,183
2020-06-28,18,IPIAU,181
2020-06-28,19,ITAMARAJU,169
2020-06-28,20,ITAJUIPE,134
2020-06-28,21,BARREIRAS,133
2020-06-28,22,CANDEIAS,132
2020-06-28,23,ITABERABA,131
2020-06-28,24,CATU,124
2020-06-28,25,IGUAI,122
2020-06-28,26,LUIS EDUARDO MAGALHAES,118
2020-06-28,27,DIAS DAVILA,108
2020-06-28,28,JAGUAQUARA,98
2020-06-28,29,ITAPETINGA,95
2020-06-28,30,MADRE DE DEUS,93
2020-06-28,31,ARACI,92
2020-06-28,32,CONCEICAO DO JACUIPE,83
2020-06-28,33,SAO FRANCISCO DO CONDE,81
2020-06-28,34,CAMACAN,80
2020-06-28,35,CONCEICAO DO COITE,79
2020-06-28,36,ITUBERA,76
2020-06-28,37,POCOES,74
2020-06-28,38,URUCUCA,71
2020-06-28,39,SANTO AMARO,71
2020-06-28,40,PAULO AFONSO,69
2020-06-28,41,POJUCA,68
2020-06-28,42,SERRINHA,67
2020-06-28,43,BRUMADO,67
2020-06-28,44,SOBRADINHO,62
2020-06-28,45,CAMPO FORMOSO,60
2020-06-28,46,CAPIM GROSSO,59
2020-06-28,47,PINTADAS,58
2020-06-28,48,VERA CRUZ,57
2020-06-28,49,SAO SEBASTIAO DO PASSE,57
2020-06-28,50,RIBEIRA DO POMBAL,57
2020-06-28,51,SAO GONCALO DOS CAMPOS,56
2020-06-28,52,SENHOR DO BONFIM,56
2020-06-28,53,MATA DE SAO JOAO,55
2020-06-28,54,RUY BARBOSA,54
2020-06-28,55,IBICARAI,54
2020-06-28,56,SANTA BARBARA,51
2020-06-28,57,UBAITABA,49
2020-06-28,58,MUCURI,47
2020-06-28,59,FILADELFIA,47
2020-06-28,60,VALENTE,46
2020-06-28,61,AURELINO LEAL,46
2020-06-28,62,PRESIDENTE TANCREDO NEVES,45
2020-06-28,63,MEDEIROS NETO,45
2020-06-28,64,PRADO,44
2020-06-28,65,NOVA VICOSA,43
2020-06-28,66,ITANHEM,43
2020-06-28,67,IRECE,42
2020-06-28,68,SANTA CRUZ CABRALIA,41
2020-06-28,69,TERRA NOVA,40
2020-06-28,70,MAIRI,40
2020-06-28,71,ITACARE,39
2020-06-28,72,ITABELA,39
2020-06-28,73,WENCESLAU GUIMARAES,38
2020-06-28,74,ALCOBACA,38
2020-06-28,75,MARAGOGIPE,36
2020-06-28,76,ITAPEBI,36
2020-06-28,77,CONCEICAO DA FEIRA,36
2020-06-28,78,CAMAMU,35
2020-06-28,79,SANTALUZ,34
2020-06-28,80,MONTE SANTO,34
2020-06-28,81,IBIRAPITANGA,34
2020-06-28,82,CACHOEIRA,34
2020-06-28,83,JOAO DOURADO,33
2020-06-28,84,JACOBINA,33
2020-06-28,85,FLORESTA AZUL,33
2020-06-28,86,PIRAI DO NORTE,32
2020-06-28,87,NORDESTINA,32
2020-06-28,88,AMELIA RODRIGUES,32
2020-06-28,89,TEOLANDIA,31
2020-06-28,90,IPIRA,31
2020-06-28,91,ENCRUZILHADA,31
2020-06-28,92,CRUZ DAS ALMAS,31
2020-06-28,93,CAATIBA,31
2020-06-28,94,CASA NOVA,30
2020-06-28,95,RETIROLANDIA,28
2020-06-28,96,QUEIMADAS,27
2020-06-28,97,MURITIBA,27
2020-06-28,98,ESPLANADA,27
2020-06-28,99,CORACAO DE MARIA,24
2020-06-28,100,JANDAIRA,23
2020-06-28,101,ITAPICURU,23
2020-06-28,102,IGRAPIUNA,23
2020-06-28,103,GUARATINGA,22
2020-06-28,104,ENTRE RIOS,22
2020-06-28,105,CICERO DANTAS,22
2020-06-28,106,CAETITE,22
2020-06-28,107,RIO REAL,21
2020-06-28,108,NOVA SOURE,21
2020-06-28,109,ITAPARICA,21
2020-06-28,110,BOM JESUS DA LAPA,21
2020-06-28,111,UBATA,20
2020-06-28,112,RIACHAO DO JACUIPE,20
2020-06-28,113,COARACI,20
2020-06-28,114,CARAVELAS,20
2020-06-28,115,BUERAREMA,20
2020-06-28,116,JAGUARARI,19
2020-06-28,117,CANDIDO SALES,19
2020-06-28,118,AGUA FRIA,18
2020-06-28,119,NAZARE,18
2020-06-28,120,MANOEL VITORINO,18
2020-06-28,121,CONDE,18
2020-06-28,122,ADUSTINA,18
2020-06-28,123,SANTO ESTEVAO,17
2020-06-28,124,RIACHAO DAS NEVES,17
2020-06-28,125,PARIPIRANGA,17
2020-06-28,126,NOVA IBIA,17
2020-06-28,127,ITAGIBA,17
2020-06-28,128,GUANAMBI,17
2020-06-28,129,CALDEIRAO GRANDE,17
2020-06-28,130,SAO FELIPE,16
2020-06-28,131,PRESIDENTE DUTRA,16
2020-06-28,132,PLANALTO,16
2020-06-28,133,MARAU,16
2020-06-28,134,ITAJU DO COLONIA,16
2020-06-28,135,GENTIO DO OURO,16
2020-06-28,136,CONCEICAO DO ALMEIDA,16
2020-06-28,137,SERROLANDIA,15
2020-06-28,138,RAFAEL JAMBEIRO,15
2020-06-28,139,PINDOBACU,15
2020-06-28,140,MARACAS,15
2020-06-28,141,IBOTIRAMA,15
2020-06-28,142,IBICUI,15
2020-06-28,143,APUAREMA,15
2020-06-28,144,TAPEROA,14
2020-06-28,145,TANQUINHO,14
2020-06-28,146,SITIO DO QUINTO,14
2020-06-28,147,QUIJINGUE,14
2020-06-28,148,GLORIA,14
2020-06-28,149,BELMONTE,14
2020-06-28,150,UMBURANAS,13
2020-06-28,151,IRAQUARA,13
2020-06-28,152,IBIRATAIA,13
2020-06-28,153,VARZEA NOVA,12
2020-06-28,154,UAUA,12
2020-06-28,155,SAO FELIX,12
2020-06-28,156,SERRA PRETA,12
2020-06-28,157,NILO PECANHA,12
2020-06-28,158,MUQUEM DE SAO FRANCISCO,12
2020-06-28,159,LAPAO,12
2020-06-28,160,IRARA,12
2020-06-28,161,TEODORO SAMPAIO,11
2020-06-28,162,SANTA LUZIA,11
2020-06-28,163,PAU BRASIL,11
2020-06-28,164,PARATINGA,11
2020-06-28,165,OLINDINA,11
2020-06-28,166,MACARANI,11
2020-06-28,167,FATIMA,11
2020-06-28,168,CANSANCAO,11
2020-06-28,169,CAIRU,11
2020-06-28,170,CABACEIRAS DO PARAGUACU,11
2020-06-28,171,AMERICA DOURADA,11
2020-06-28,172,ACAJUTIBA,11
2020-06-28,173,SANTA TERESINHA,10
2020-06-28,174,RIBEIRA DO AMPARO,10
2020-06-28,175,NOVO TRIUNFO,10
2020-06-28,176,IBIRAPUA,10
2020-06-28,177,EUCLIDES DA CUNHA,10
2020-06-28,178,CAEM,10
2020-06-28,179,BOM JESUS DA SERRA,10
2020-06-28,180,BARRO PRETO,10
2020-06-28,181,BARRA DO CHOCA,10
2020-06-28,182,SAO JOSE DA VITORIA,9
2020-06-28,183,SAO DESIDERIO,9
2020-06-28,184,SAPEACU,9
2020-06-28,185,PE DE SERRA,9
2020-06-28,186,POTIRAGUA,9
2020-06-28,187,PIRIPA,9
2020-06-28,188,NOVA CANAA,9
2020-06-28,189,ITARANTIM,9
2020-06-28,190,CASTRO ALVES,9
2020-06-28,191,CAPELA DO ALTO ALEGRE,9
2020-06-28,192,APORA,9
2020-06-28,193,AMARGOSA,9
2020-06-28,194,ALMADINA,9
2020-06-28,195,VEREDA,8
2020-06-28,196,TUCANO,8
2020-06-28,197,MILAGRES,8
2020-06-28,198,MACAJUBA,8
2020-06-28,199,JITAUNA,8
2020-06-28,200,ITORORO,8
2020-06-28,201,ITAMBE,8
2020-06-28,202,INHAMBUPE,8
2020-06-28,203,CIPO,8
2020-06-28,204,UNA,7
2020-06-28,205,SEABRA,7
2020-06-28,206,SANTA BRIGIDA,7
2020-06-28,207,PONTO NOVO,7
2020-06-28,208,CONDEUBA,7
2020-06-28,209,URANDI,6
2020-06-28,210,TABOCAS DO BREJO VELHO,6
2020-06-28,211,SATIRO DIAS,6
2020-06-28,212,RIACHO DE SANTANA,6
2020-06-28,213,OURICANGAS,6
2020-06-28,214,OLIVEIRA DOS BREJINHOS,6
2020-06-28,215,MUCUGE,6
2020-06-28,216,MIGUEL CALMON,6
2020-06-28,217,JAGUARIPE,6
2020-06-28,218,ITAPE,6
2020-06-28,219,GOVERNADOR MANGABEIRA,6
2020-06-28,220,CURACA,6
2020-06-28,221,CANDEAL,6
2020-06-28,222,CAMPO ALEGRE DE LOURDES,6
2020-06-28,223,BURITIRAMA,6
2020-06-28,224,ANTONIO GONCALVES,6
2020-06-28,225,SENTO SE,5
2020-06-28,226,SANTANOPOLIS,5
2020-06-28,227,SALINAS DA MARGARIDA,5
2020-06-28,228,PINDAI,5
2020-06-28,229,OUROLANDIA,5
2020-06-28,230,LICINIO DE ALMEIDA,5
2020-06-28,231,LAMARAO,5
2020-06-28,232,CRISTOPOLIS,5
2020-06-28,233,CANARANA,5
2020-06-28,234,BREJOES,5
2020-06-28,235,BOQUIRA,5
2020-06-28,236,ANDARAI,5
2020-06-28,237,ANAGE,5
2020-06-28,238,UIBAI,4
2020-06-28,239,UBAIRA,4
2020-06-28,240,MACAUBAS,4
2020-06-28,241,LIVRAMENTO DE NOSSA SENHORA,4
2020-06-28,242,LAJEDAO,4
2020-06-28,243,ITATIM,4
2020-06-28,244,ITAPITANGA,4
2020-06-28,245,ITAETE,4
2020-06-28,246,IACU,4
2020-06-28,247,HELIOPOLIS,4
2020-06-28,248,GONGOGI,4
2020-06-28,249,DOM MACEDO COSTA,4
2020-06-28,250,BARRA DA ESTIVA,4
2020-06-28,251,BARRA,4
2020-06-28,252,ARACAS,4
2020-06-28,253,XIQUE-XIQUE,3
2020-06-28,254,SOUTO SOARES,3
2020-06-28,255,SANTANA,3
2020-06-28,256,RIO DO PIRES,3
2020-06-28,257,MUNIZ FERREIRA,3
2020-06-28,258,MORRO DO CHAPEU,3
2020-06-28,259,JEREMOABO,3
2020-06-28,260,ITAGI,3
2020-06-28,261,DARIO MEIRA,3
2020-06-28,262,CORIBE,3
2020-06-28,263,CANDIBA,3
2020-06-28,264,BARROCAS,3
2020-06-28,265,ARAMARI,3
2020-06-28,266,ANTONIO CARDOSO,3
2020-06-28,267,ANGUERA,3
2020-06-28,268,ABAIRA,3
2020-06-28,269,TAPIRAMUTA,2
2020-06-28,270,SERRA DO RAMALHO,2
2020-06-28,271,SAUBARA,2
2020-06-28,272,SANTA RITA DE CASSIA,2
2020-06-28,273,RODELAS,2
2020-06-28,274,RIBEIRAO DO LARGO,2
2020-06-28,275,REMANSO,2
2020-06-28,276,PIRITIBA,2
2020-06-28,277,PILAO ARCADO,2
2020-06-28,278,NOVA REDENCAO,2
2020-06-28,279,MUTUIPE,2
2020-06-28,280,MULUNGU DO MORRO,2
2020-06-28,281,MORTUGABA,2
2020-06-28,282,MANSIDAO,2
2020-06-28,283,MALHADA DE PEDRAS,2
2020-06-28,284,MAIQUINIQUE,2
2020-06-28,285,LAJEDO DO TABOCAL,2
2020-06-28,286,JUSSARI,2
2020-06-28,287,JIQUIRICA,2
2020-06-28,288,ITAQUARA,2
2020-06-28,289,ITAMARI,2
2020-06-28,290,IPECAETA,2
2020-06-28,291,IBIPITANGA,2
2020-06-28,292,IBICOARA,2
2020-06-28,293,FORMOSA DO RIO PRETO,2
2020-06-28,294,CARDEAL DA SILVA,2
2020-06-28,295,CAFARNAUM,2
2020-06-28,296,BOA VISTA DO TUPIM,2
2020-06-28,297,BANZAE,2
2020-06-28,298,ARACATU,2
2020-06-28,299,ANTAS,2
2020-06-28,300,ANDORINHA,2
2020-06-28,301,ABARE,2
2020-06-28,302,VARZEA DA ROCA,1
2020-06-28,303,UTINGA,1
2020-06-28,304,TANHACU,1
2020-06-28,305,SAO MIGUEL DAS MATAS,1
2020-06-28,306,SERRA DOURADA,1
2020-06-28,307,SANTA MARIA DA VITORIA,1
2020-06-28,308,SANTA INES,1
2020-06-28,309,SANTA CRUZ DA VITORIA,1
2020-06-28,310,PRESIDENTE JANIO QUADROS,1
2020-06-28,311,PEDRAO,1
2020-06-28,312,PEDRO ALEXANDRE,1
2020-06-28,313,PALMAS DE MONTE ALTO,1
2020-06-28,314,NOVA ITARANA,1
2020-06-28,315,NOVA FATIMA,1
2020-06-28,316,MORPARA,1
2020-06-28,317,MIRANTE,1
2020-06-28,318,MIRANGABA,1
2020-06-28,319,MASCOTE,1
2020-06-28,320,MACURURE,1
2020-06-28,321,LAJE,1
2020-06-28,322,JUCURUCU,1
2020-06-28,323,IUIU,1
2020-06-28,324,ITIRUCU,1
2020-06-28,325,ITANAGRA,1
2020-06-28,326,ICHU,1
2020-06-28,327,IBIQUERA,1
2020-06-28,328,FIRMINO ALVES,1
2020-06-28,329,FEIRA DA MATA,1
2020-06-28,330,ELISIO MEDRADO,1
2020-06-28,331,DOM BASILIO,1
2020-06-28,332,CRISOPOLIS,1
2020-06-28,333,CRAVOLANDIA,1
2020-06-28,334,CORRENTINA,1
2020-06-28,335,CARINHANHA,1
2020-06-28,336,CANUDOS,1
