date,id,municipio,total_obitos_munocor
2020-07-01,2,AMARGOSA,1
2020-07-01,3,ANAGE,1
2020-07-01,4,APORA,1
2020-07-01,5,ARACAJU,1
2020-07-01,6,ARACI,1
2020-07-01,7,ARARIPINA,2
2020-07-01,8,BARRA DO CHOCA,1
2020-07-01,9,BARREIRAS,9
2020-07-01,10,BRUMADO,1
2020-07-01,11,CALDEIRAO GRANDE,1
2020-07-01,12,CAMACAN,4
2020-07-01,13,CAMACARI,17
2020-07-01,14,CANAVIEIRAS,1
2020-07-01,15,CANDEIAS,6
2020-07-01,16,CANDIDO SALES,1
2020-07-01,17,CANSANCAO,1
2020-07-01,18,CAPIM GROSSO,2
2020-07-01,19,CASTRO ALVES,1
2020-07-01,20,CONCEICAO DA FEIRA,1
2020-07-01,21,CONDE,1
2020-07-01,22,DIAS DAVILA,1
2020-07-01,23,EUNAPOLIS,5
2020-07-01,24,FEIRA DE SANTANA,44
2020-07-01,25,FILADELFIA,1
2020-07-01,26,FLORIANO,1
2020-07-01,27,GANDU,6
2020-07-01,28,GUAMARE*,1
2020-07-01,29,IACU,4
2020-07-01,30,IBIRATAIA,2
2020-07-01,31,IGRAPIUNA,1
2020-07-01,32,ILHEUS*,78
2020-07-01,33,IPIAU *,4
2020-07-01,34,IPIRA,1
2020-07-01,35,ITABELA,1
2020-07-01,36,ITABERABA,5
2020-07-01,37,ITABUNA,79
2020-07-01,38,ITACARE,1
2020-07-01,39,ITAJUIPE,1
2020-07-01,40,ITAMARAJU,6
2020-07-01,41,ITAPEBI,1
2020-07-01,42,ITAPETINGA,2
2020-07-01,43,ITUBERA,2
2020-07-01,44,JEQUIE*,36
2020-07-01,45,JOAO DOURADO,1
2020-07-01,46,JUAZEIRO,22
2020-07-01,47,LAURO DE FREITAS*,29
2020-07-01,48,MANOEL VITORINO,1
2020-07-01,49,MEDEIROS NETO,1
2020-07-01,50,MILAGRES,1
2020-07-01,51,MONTE SANTO,1
2020-07-01,52,MUCURI,1
2020-07-01,53,MULUNGU DO MORRO,1
2020-07-01,54,NAZARE,1
2020-07-01,55,NOVA IBIA,1
2020-07-01,56,NOVA VICOSA,2
2020-07-01,57,PAULO AFONSO,8
2020-07-01,58,PETROLINA,4
2020-07-01,59,PILAO ARCADO*,1
2020-07-01,60,POCOES,1
2020-07-01,61,POJUCA,1
2020-07-01,62,PORTO SEGURO,7
2020-07-01,63,PRADO,1
2020-07-01,64,REMANSO,5
2020-07-01,65,RIACHAO DO JACUIPE,1
2020-07-01,66,RIBEIRA DO POMBAL,1
2020-07-01,67,RUY BARBOSA,1
2020-07-01,68,SALVADOR*,1342
2020-07-01,69,SANTA MARIA DA VITORIA,1
2020-07-01,70,SANTA TERESINHA,1
2020-07-01,71,SANTALUZ,1
2020-07-01,72,SANTO ANTONIO DE JESUS,4
2020-07-01,73,SAO FELIX,3
2020-07-01,74,SAO GONCALO DOS CAMPOS,2
2020-07-01,75,SAO SEBASTIAO DO PASSE,1
2020-07-01,76,SEABRA,1
2020-07-01,77,SENHOR DO BONFIM,1
2020-07-01,78,SERRINHA,2
2020-07-01,79,SIMOES FILHO,15
2020-07-01,80,SOBRADINHO,3
2020-07-01,81,TEIXEIRA DE FREITAS,22
2020-07-01,82,URUCUCA,2
2020-07-01,83,UTINGA,1
2020-07-01,84,VALENCA,13
2020-07-01,85,VALENCA,1
2020-07-01,86,VARZEA DA ROCA,1
2020-07-01,87,VERA CRUZ,1
2020-07-01,88,VITORIA DA CONQUISTA,45
2020-07-01,1,SALVADOR,34613
