date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-30,FEIRA DE SANTANA,2841,4,351,3196,138,4.49,614872,519.78,0
2020-06-30,ITABERABA,68,5,174,247,14,0.35,64489,383.01,0
2020-06-30,SERRINHA,134,3,93,230,37,0.32,80861,284.44,0
2020-06-30,ARACI,67,0,143,210,10,0.29,54379,386.18,0
2020-06-30,CONCEICAO DO COITE,73,1,103,177,1,0.25,66612,265.72,0
2020-06-30,VALENTE,79,0,98,177,40,0.25,28473,621.64,3
2020-06-30,CONCEICAO DO JACUIPE,134,0,24,158,0,0.22,33153,476.58,5
2020-06-30,TEOFILANDIA,33,0,111,144,1,0.20,22518,639.49,0
2020-06-30,SANTA BARBARA,127,0,4,131,13,0.18,20791,630.08,0
2020-06-30,SAO GONCALO DOS CAMPOS,46,0,64,110,21,0.15,37550,292.94,0
2020-06-30,AMELIA RODRIGUES,63,0,22,85,8,0.12,25102,338.62,0
2020-06-30,RUY BARBOSA,17,0,66,83,3,0.12,30814,269.36,0
2020-06-30,PINTADAS,39,0,41,80,1,0.11,10437,766.50,0
2020-06-30,IPIRA,65,0,8,73,1,0.10,59595,122.49,0
2020-06-30,MONTE SANTO,33,0,36,69,3,0.10,49418,139.63,0
2020-06-30,SANTALUZ,21,0,48,69,1,0.10,37348,184.75,0
2020-06-30,TERRA NOVA,52,1,11,64,0,0.09,13033,491.06,0
2020-06-30,RIACHAO DO JACUIPE,27,0,34,61,3,0.09,33436,182.44,1
2020-06-30,RAFAEL JAMBEIRO,42,0,15,57,1,0.08,22621,251.98,1
2020-06-30,RETIROLANDIA,22,0,32,54,1,0.08,14396,375.10,0
2020-06-30,NORDESTINA,11,0,42,53,1,0.07,13130,403.66,0
2020-06-30,QUEIMADAS,33,0,17,50,1,0.07,25439,196.55,0
2020-06-30,CORACAO DE MARIA,28,0,21,49,0,0.07,22605,216.77,1
2020-06-30,ITAETE,0,0,47,47,0,0.07,16056,292.73,3
2020-06-30,IACU,27,0,13,40,2,0.06,24305,164.58,1
2020-06-30,SANTO ESTEVAO,21,0,18,39,0,0.05,52850,73.79,1
2020-06-30,CANSANCAO,17,1,18,36,1,0.05,34834,103.35,2
2020-06-30,BARROCAS,18,1,17,36,0,0.05,15978,225.31,0
2020-06-30,AGUA FRIA,25,4,2,31,0,0.04,16970,182.68,2
2020-06-30,TANQUINHO,13,0,16,29,0,0.04,7918,366.25,1
2020-06-30,ANGUERA,28,0,0,28,0,0.04,11221,249.53,0
2020-06-30,IRARA,22,0,6,28,0,0.04,29034,96.44,0
2020-06-30,IRAQUARA,2,0,26,28,18,0.04,25216,111.04,1
2020-06-30,TUCANO,12,0,15,27,3,0.04,50687,53.27,0
2020-06-30,EUCLIDES DA CUNHA,16,0,9,25,4,0.04,60585,41.26,0
2020-06-30,SEABRA,10,0,14,24,0,0.03,44091,54.43,2
2020-06-30,SANTANOPOLI S,23,0,1,24,0,0.03,8943,268.37,0
2020-06-30,LAMARAO,9,3,10,22,0,0.03,8307,264.84,1
2020-06-30,SERRA PRETA,17,0,3,20,0,0.03,14878,134.43,2
2020-06-30,CANDEAL,15,0,3,18,0,0.03,8258,217.97,0
2020-06-30,PE DE SERRA,3,0,15,18,4,0.03,13578,132.57,3
2020-06-30,QUIJINGUE,9,0,9,18,0,0.03,27580,65.26,3
2020-06-30,CAPELA DO ALTO ALEGRE,13,0,1,14,0,0.02,11637,120.31,0
2020-06-30,TEODORO SAMPAIO,8,0,5,13,1,0.02,7425,175.08,2
2020-06-30,ANTONIO CARDOSO,6,0,5,11,0,0.02,11683,94.15,0
2020-06-30,MUCUGE,3,3,5,11,0,0.02,9062,121.39,0
2020-06-30,MACAJUBA,9,0,0,9,0,0.01,11348,79.31,3
2020-06-30,ANDARAI,4,0,4,8,0,0.01,13143,60.87,0
2020-06-30,PIATA,1,0,6,7,0,0.01,17123,40.88,16
2020-06-30,ABAIRA,4,2,1,7,0,0.01,8739,80.10,2
2020-06-30,IBITIARA,2,0,5,7,0,0.01,16339,42.84,13
2020-06-30,MARCIONILIO SOUZA,5,0,2,7,0,0.01,10406,67.27,19
2020-06-30,SAO DOMINGOS,5,0,1,6,0,0.01,9058,66.24,14
2020-06-30,BOA VISTA DO TUPIM,4,0,2,6,0,0.01,18576,32.30,3
2020-06-30,NOVA FATIMA,5,0,0,5,0,0.01,7812,64.00,23
2020-06-30,IPECAETA,3,0,2,5,1,0.01,14487,34.51,4
2020-06-30,BONINAL,1,0,3,4,0,0.01,14368,27.84,3
2020-06-30,SOUTO SOARES,3,0,1,4,0,0.01,16979,23.56,3
