date,id,municipio,total_obitos_munres
2020-06-30,2,ADUSTINA,1
2020-06-30,3,AGUA FRIA,1
2020-06-30,4,AIQUARA,1
2020-06-30,5,ALAGOINHAS,8
2020-06-30,6,ALCOBACA,1
2020-06-30,7,ALMADINA,1
2020-06-30,8,AMARGOSA,1
2020-06-30,9,ANAGE,1
2020-06-30,10,APORA,1
2020-06-30,11,ARACI,1
2020-06-30,12,ARATUIPE,1
2020-06-30,13,AURELINO LEAL,1
2020-06-30,14,BARRA DO CHOCA,1
2020-06-30,15,BARREIRAS,5
2020-06-30,16,BELMONTE,1
2020-06-30,17,BRUMADO,2
2020-06-30,18,BUERAREMA,5
2020-06-30,19,CACHOEIRA,1
2020-06-30,20,CACULE*,1
2020-06-30,21,CAIRU,1
2020-06-30,22,CALDEIRAO GRANDE,1
2020-06-30,23,CAMACAN,7
2020-06-30,24,CAMACARI*,23
2020-06-30,25,CAMAMU*,2
2020-06-30,26,CAMPO ALEGRE DE LOURDES,1
2020-06-30,27,CANAVIEIRAS,2
2020-06-30,28,CANDEIAS*,17
2020-06-30,29,CANDIDO SALES,3
2020-06-30,30,CANSANCAO,2
2020-06-30,31,CANUDOS,1
2020-06-30,32,CAPIM GROSSO,3
2020-06-30,33,CASA NOVA,3
2020-06-30,34,CASTRO ALVES,1
2020-06-30,35,CATU,2
2020-06-30,36,CICERO DANTAS,1
2020-06-30,37,COARACI,3
2020-06-30,38,CONCEICAO DA FEIRA,1
2020-06-30,39,CONDE,4
2020-06-30,40,CRUZ DAS ALMAS,2
2020-06-30,41,DARIO MEIRA,1
2020-06-30,42,DIAS DAVILA,9
2020-06-30,43,EUCLIDES DA CUNHA,1
2020-06-30,44,EUNAPOLIS,10
2020-06-30,45,FEIRA DE SANTANA,48
2020-06-30,46,FILADELFIA,2
2020-06-30,47,GANDU,10
2020-06-30,48,GLORIA,1
2020-06-30,49,GONGOGI,2
2020-06-30,50,GOVERNADOR MANGABEIRA,1
2020-06-30,51,GUARATINGA,2
2020-06-30,52,IACU,4
2020-06-30,53,IBICARAI,1
2020-06-30,54,IBIRAPITANGA,1
2020-06-30,55,IBIRAPUA,1
2020-06-30,56,IBIRATAIA,2
2020-06-30,57,IBITIARA,1
2020-06-30,58,IGRAPIUNA,1
2020-06-30,59,IGUAI,1
2020-06-30,60,ILHEUS,45
2020-06-30,61,IPIAU *,10
2020-06-30,62,IPIRA,2
2020-06-30,63,IRECE,1
2020-06-30,64,ITABELA,1
2020-06-30,65,ITABERABA,9
2020-06-30,66,ITABUNA,56
2020-06-30,67,ITACARE,3
2020-06-30,68,ITAGIBA,3
2020-06-30,69,ITAJUIPE,3
2020-06-30,70,ITAMARAJU,9
2020-06-30,71,ITANAGRA,2
2020-06-30,72,ITANHEM,1
2020-06-30,73,ITAPARICA,3
2020-06-30,74,ITAPE,2
2020-06-30,75,ITAPETINGA,5
2020-06-30,76,ITAPITANGA,1
2020-06-30,77,ITARANTIM,1
2020-06-30,78,ITATIM*,2
2020-06-30,79,ITIUBA*,1
2020-06-30,80,ITORORO,1
2020-06-30,81,ITUACU,1
2020-06-30,82,ITUBERA,4
2020-06-30,83,JACOBINA,1
2020-06-30,84,JAGUARIPE,1
2020-06-30,85,JANDAIRA,1
2020-06-30,86,JEQUIE,29
2020-06-30,87,JITAUNA,2
2020-06-30,88,JOAO DOURADO,1
2020-06-30,89,JUAZEIRO,19
