date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-07-05,FEIRA DE SANTANA,3662,4,509,4175,57,4.84,614872,679.00,0
2020-07-05,ITABERABA,78,7,225,310,0,0.36,64489,480.70,0
2020-07-05,ARACI,70,0,229,299,0,0.35,54379,549.84,0
2020-07-05,SERRINHA,152,3,128,283,0,0.33,80861,349.98,0
2020-07-05,CONCEICAO DO COITE,135,1,120,256,1,0.30,66612,384.32,0
2020-07-05,VALENTE,83,0,144,227,1,0.26,28473,797.25,0
2020-07-05,SAO GONCALO DOS CAMPOS,55,0,129,184,0,0.21,37550,490.01,0
2020-07-05,CONCEICAO DO JACUIPE,136,0,38,174,0,0.20,33153,524.84,0
2020-07-05,SANTA BARBARA,148,0,18,166,7,0.19,20791,798.42,1
2020-07-05,TEOFILANDIA,33,0,117,150,1,0.17,22518,666.13,0
2020-07-05,RUY BARBOSA,19,0,91,110,0,0.13,30814,356.98,0
2020-07-05,AMELIA RODRIGUES,74,0,30,104,6,0.12,25102,414.31,2
2020-07-05,RIACHAO DO JACUIPE,28,0,75,103,2,0.12,33436,308.05,0
2020-07-05,MONTE SANTO,36,0,50,86,1,0.10,49418,174.03,1
2020-07-05,SANTALUZ,23,0,60,83,1,0.10,37348,222.23,0
2020-07-05,PINTADAS,41,0,42,83,0,0.10,10437,795.25,1
2020-07-05,IPIRA,72,0,9,81,2,0.09,59595,135.92,0
2020-07-05,IRAQUARA,4,0,75,79,0,0.09,25216,313.29,0
2020-07-05,QUEIMADAS,51,0,26,77,0,0.09,25439,302.68,0
2020-07-05,TERRA NOVA,58,1,14,73,1,0.08,13033,560.12,0
2020-07-05,RETIROLANDIA,31,0,39,70,0,0.08,14396,486.25,0
2020-07-05,RAFAEL JAMBEIRO,53,0,16,69,0,0.08,22621,305.03,0
2020-07-05,CANSANCAO,23,1,41,65,1,0.08,34834,186.60,1
2020-07-05,NORDESTINA,13,1,45,59,0,0.07,13130,449.35,0
2020-07-05,CORACAO DE MARIA,30,2,26,58,2,0.07,22605,256.58,0
2020-07-05,SANTO ESTEVAO,31,0,22,53,0,0.06,52850,100.28,0
2020-07-05,SOUTO SOARES,4,0,47,51,12,0.06,16979,300.37,0
2020-07-05,ITAETE,1,0,49,50,0,0.06,16056,311.41,0
2020-07-05,IACU,30,0,16,46,1,0.05,24305,189.26,0
2020-07-05,TUCANO,14,0,31,45,2,0.05,50687,88.78,0
2020-07-05,SERRA PRETA,24,0,15,39,0,0.05,14878,262.13,0
2020-07-05,BARROCAS,19,1,18,38,0,0.04,15978,237.83,1
2020-07-05,TANQUINHO,13,0,23,36,0,0.04,7918,454.66,3
2020-07-05,AGUA FRIA,26,4,5,35,0,0.04,16970,206.25,1
2020-07-05,LAMARAO,13,3,15,31,0,0.04,8307,373.18,0
2020-07-05,SANTANOPOLI S,30,0,1,31,0,0.04,8943,346.64,1
2020-07-05,EUCLIDES DA CUNHA,17,0,13,30,0,0.03,60585,49.52,3
2020-07-05,CAPELA DO ALTO ALEGRE,25,0,4,29,2,0.03,11637,249.21,1
2020-07-05,ANGUERA,29,0,0,29,0,0.03,11221,258.44,0
2020-07-05,IRARA,21,0,7,28,0,0.03,29034,96.44,5
2020-07-05,PE DE SERRA,4,0,22,26,0,0.03,13578,191.49,0
2020-07-05,SEABRA,10,0,14,24,0,0.03,44091,54.43,7
2020-07-05,TEODORO SAMPAIO,11,0,8,19,0,0.02,7425,255.89,3
2020-07-05,CANDEAL,16,0,3,19,0,0.02,8258,230.08,1
2020-07-05,QUIJINGUE,9,0,9,18,0,0.02,27580,65.26,8
2020-07-05,MUCUGE,4,3,5,12,0,0.01,9062,132.42,3
2020-07-05,ANTONIO CARDOSO,6,0,6,12,1,0.01,11683,102.71,2
2020-07-05,IBITIARA,2,0,8,10,0,0.01,16339,61.20,1
2020-07-05,MACAJUBA,9,0,0,9,0,0.01,11348,79.31,8
2020-07-05,PIATA,1,0,7,8,0,0.01,17123,46.72,0
2020-07-05,MARCIONILIO SOUZA,5,0,2,7,0,0.01,10406,67.27,24
2020-07-05,IPECAETA,4,0,3,7,0,0.01,14487,48.32,2
2020-07-05,SAO DOMINGOS,5,0,1,6,0,0.01,9058,66.24,19
2020-07-05,UTINGA,2,0,4,6,0,0.01,19178,31.29,4
2020-07-05,BOA VISTA DO TUPIM,4,0,2,6,0,0.01,18576,32.30,8
2020-07-05,BONINAL,1,0,5,6,0,0.01,14368,41.76,8
2020-07-05,PALMEIRAS,1,0,4,5,0,0.01,9019,55.44,0
2020-07-05,ANDARAI,2,0,3,5,0,0.01,13143,38.04,5
2020-07-05,NOVA FATIMA,5,0,0,5,0,0.01,7812,64.00,28
2020-07-05,ABAIRA,3,2,0,5,0,0.01,8739,57.21,7
2020-07-05,NOVA REDENCAO,2,0,1,3,0,0.00,9118,32.90,8
2020-07-05,ICHU,2,0,0,2,0,0.00,6206,32.23,7
2020-07-05,BAIXA GRANDE,2,0,0,2,0,0.00,20468,9.77,8
2020-07-05,BIRITINGA,1,0,1,2,0,0.00,15979,12.52,0
2020-07-05,MUNDO NOVO,1,0,0,1,0,0.00,26776,3.73,12
2020-07-05,WAGNER,0,0,1,1,0,0.00,9345,10.70,5
2020-07-05,TOTAL,5517,33,2671,8221,101,10
2020-07-05,CAPIM GROSSO,12,1,145,158,1,0.18,30662,515.30,0
2020-07-05,JACOBINA,29,1,112,142,0,0.16,80518,176.36,0
2020-07-05,IRECE,22,2,110,134,0,0.16,72967,183.64,0
2020-07-05,JOAO DOURADO,6,0,103,109,0,0.13,25188,432.75,0
2020-07-05,UMBURANAS,8,2,75,85,0,0.10,19222,442.20,0
2020-07-05,MAIRI,25,0,46,71,0,0.08,18676,380.17,0
2020-07-05,PRESIDENTE DUTRA,4,0,54,58,0,0.07,15142,383.04,0
2020-07-05,AMERICA DOURADA,0,0,50,50,0,0.06,16094,310.67,0
2020-07-05,CALDEIRAO GRANDE,4,0,43,47,6,0.05,13327,352.67,0
2020-07-05,GENTIO DO OURO,1,0,43,44,0,0.05,11233,391.70,0
2020-07-05,XIQUE-XIQUE,6,2,30,38,0,0.04,46483,81.75,4
2020-07-05,LAPAO,6,1,26,33,0,0.04,27223,121.22,4
2020-07-05,CANARANA,10,0,20,30,0,0.03,26176,114.61,1
2020-07-05,CAEM,6,0,23,29,0,0.03,9213,314.77,2
2020-07-05,VARZEA NOVA,5,0,23,28,0,0.03,12697,220.52,0
2020-07-05,SERROLANDIA,5,3,18,26,0,0.03,13397,194.07,1
2020-07-05,MIGUEL CALMON,6,0,16,22,0,0.03,26023,84.54,1
2020-07-05,OUROLANDIA,1,0,17,18,1,0.02,17451,103.15,1
2020-07-05,JUSSARA,0,0,12,12,1,0.01,15284,78.51,0
2020-07-05,QUIXABEIRA,5,1,5,11,0,0.01,8972,122.60,4
2020-07-05,MORRO DO CHAPEU,5,0,6,11,0,0.01,35413,31.06,1
2020-07-05,MULUNGU DO MORRO,3,0,6,9,1,0.01,10889,82.65,1
2020-07-05,IBIPEBA,0,0,7,7,0,0.01,18211,38.44,3
2020-07-05,TAPIRAMUTA,6,0,1,7,2,0.01,17010,41.15,2
2020-07-05,UIBAI,1,0,5,6,0,0.01,13887,43.21,1
